GC_content,Replicate,Random_seed,Genome_size,Effective_length_Mb,iMotif_count,Density_IM_per_Mb,Actual_GC_content,Actual_G_content,Actual_C_content,Actual_A_content,Actual_T_content,Pos_strand_C,Pos_strand_G,Neg_strand_C,G_to_C_ratio,A_to_T_ratio,Run_time_seconds,C_distribution,G_distribution
0.1,1,90631062,10000000,20.0,0,0.0,0.1,0.05,0.05,0.45,0.45,0.05,0.05,0.05,1.0,1.0,35.225332,"{""1"": 451454, ""2"": 22454, ""3"": 1145, ""4+"": 50}","{""1"": 451094, ""2"": 22578, ""3"": 1139, ""4+"": 82}"
0.1,2,4273532487,10000000,20.0,0,0.0,0.1,0.05,0.05,0.45,0.45,0.05,0.05,0.05,1.0,1.0,34.643718,"{""1"": 451045, ""2"": 22644, ""3"": 1149, ""4+"": 54}","{""1"": 451367, ""2"": 22484, ""3"": 1153, ""4+"": 51}"
0.1,3,3244147675,10000000,20.0,0,0.0,0.1,0.05,0.05,0.45,0.45,0.05,0.05,0.05,1.0,1.0,34.97354,"{""1"": 451330, ""2"": 22477, ""3"": 1156, ""4+"": 62}","{""1"": 451410, ""2"": 22508, ""3"": 1106, ""4+"": 63}"
0.1,4,3016285918,10000000,20.0,0,0.0,0.1,0.05,0.05,0.45,0.45,0.05,0.05,0.05,1.0,1.0,33.694572,"{""1"": 451119, ""2"": 22614, ""3"": 1152, ""4+"": 49}","{""1"": 451570, ""2"": 22400, ""3"": 1133, ""4+"": 57}"
0.1,5,1714846578,10000000,20.0,0,0.0,0.1,0.05,0.05,0.45,0.45,0.05,0.05,0.05,1.0,1.0,34.781773,"{""1"": 451430, ""2"": 22377, ""3"": 1190, ""4+"": 61}","{""1"": 451320, ""2"": 22519, ""3"": 1139, ""4+"": 56}"
0.1,6,3185813603,10000000,20.0,0,0.0,0.1,0.05,0.05,0.45,0.45,0.05,0.05,0.05,1.0,1.0,34.746613,"{""1"": 451394, ""2"": 22563, ""3"": 1081, ""4+"": 59}","{""1"": 450459, ""2"": 22902, ""3"": 1161, ""4+"": 63}"
0.1,7,1884374263,10000000,20.0,0,0.0,0.1,0.05,0.05,0.45,0.45,0.05,0.05,0.05,1.0,1.0,34.570349,"{""1"": 450999, ""2"": 22719, ""3"": 1095, ""4+"": 68}","{""1"": 451140, ""2"": 22616, ""3"": 1131, ""4+"": 58}"
0.1,8,2798267962,10000000,20.0,0,0.0,0.1,0.05,0.05,0.45,0.45,0.05,0.05,0.05,1.0,1.0,34.178602,"{""1"": 451467, ""2"": 22448, ""3"": 1122, ""4+"": 67}","{""1"": 450699, ""2"": 22834, ""3"": 1137, ""4+"": 55}"
0.1,9,2927072189,10000000,20.0,0,0.0,0.1,0.05,0.05,0.45,0.45,0.05,0.05,0.05,1.0,1.0,34.70387,"{""1"": 450899, ""2"": 22699, ""3"": 1139, ""4+"": 71}","{""1"": 451051, ""2"": 22653, ""3"": 1143, ""4+"": 53}"
0.1,10,288946577,10000000,20.0,0,0.0,0.1,0.05,0.05,0.45,0.45,0.05,0.05,0.05,1.0,1.0,33.74247,"{""1"": 451193, ""2"": 22534, ""3"": 1176, ""4+"": 52}","{""1"": 450875, ""2"": 22719, ""3"": 1141, ""4+"": 65}"
