"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Brain - Spinal cord (cervical c-1)",
20,"Brain - Putamen (basal ganglia)",2.58756607914735
20,"Muscle - Skeletal",3.17870211536507
20,"Vagina",
20,"Colon - Transverse",
20,"Esophagus - Gastroesophageal Junction",0.131224688381762
20,"Adrenal Gland",
20,"Brain - Nucleus accumbens (basal ganglia)",1.63711526013726
20,"Brain - Cerebellar Hemisphere",1.55615177680419
20,"Thyroid",1.20817930005216
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Anterior cingulate cortex (BA24)",2.100442236586
20,"Brain - Substantia nigra",2.02360323291846
20,"Artery - Tibial",2.15953753543716
20,"Brain - Hippocampus",1.93497422394719
20,"Brain - Cortex",1.71728657453393
20,"Brain - Frontal Cortex (BA9)",1.41914652309643
20,"Skin - Not Sun Exposed (Suprapubic)",2.28934207241843
20,"Liver",
20,"Ovary",
20,"Adipose - Visceral (Omentum)",
20,"Brain - Cerebellum",-1.07771222638367
20,"Esophagus - Muscularis",-0.651077439520653
20,"Small Intestine - Terminal Ileum",
20,"Whole Blood",-1.71074774802938
20,"Brain - Amygdala",-0.0752314543731233
20,"Brain - Hypothalamus",-0.0151791555581662
20,"Pituitary",-0.585165518122961
20,"Uterus",
20,"Adipose - Subcutaneous",
20,"Stomach",
20,"Artery - Aorta",
20,"Pancreas",
20,"Kidney - Cortex",
20,"Lung",
20,"Breast - Mammary Tissue",
20,"Spleen",
20,"Prostate",
20,"Minor Salivary Gland",
20,"Skin - Sun Exposed (Lower leg)",
20,"Colon - Sigmoid",-2.03885770973563
20,"Cells - Cultured fibroblasts",-2.20734714455399
20,"Heart - Left Ventricle",-2.7222655554818
20,"Artery - Coronary",-0.968415400384634
20,"Heart - Atrial Appendage",-0.53434961683211
20,"Testis",0.237377447444961
20,"Cells - EBV-transformed lymphocytes",
20,"Esophagus - Mucosa",0.821788096114263
20,"Nerve - Tibial",2.5135762255753
21,"Brain - Spinal cord (cervical c-1)",
21,"Brain - Putamen (basal ganglia)",2.4118255652962
21,"Muscle - Skeletal",2.83020195952055
21,"Vagina",-0.119564437834254
21,"Colon - Transverse",0.743596232154733
21,"Esophagus - Gastroesophageal Junction",0.213444791231225
21,"Adrenal Gland",1.54937930706682
21,"Brain - Nucleus accumbens (basal ganglia)",1.58307617916142
21,"Brain - Cerebellar Hemisphere",1.56333297468979
21,"Thyroid",1.2321234352535
21,"Brain - Caudate (basal ganglia)",
21,"Brain - Anterior cingulate cortex (BA24)",1.97931954489267
21,"Brain - Substantia nigra",1.94544238568774
21,"Artery - Tibial",1.9613874831397
21,"Brain - Hippocampus",1.84454187997028
21,"Brain - Cortex",1.65741037416121
21,"Brain - Frontal Cortex (BA9)",1.40454269272799
21,"Skin - Not Sun Exposed (Suprapubic)",2.02525308605993
21,"Liver",2.42040245490626
21,"Ovary",1.05186558640543
21,"Adipose - Visceral (Omentum)",-2.44069464746642
21,"Brain - Cerebellum",-0.74225653236333
21,"Esophagus - Muscularis",-0.489255423863838
21,"Small Intestine - Terminal Ileum",-1.43498898044787
21,"Whole Blood",-1.41686384791198
21,"Brain - Amygdala",0.0876429995054332
21,"Brain - Hypothalamus",0.206412796711486
21,"Pituitary",-0.358283171170978
21,"Uterus",0.812595873870008
21,"Adipose - Subcutaneous",-3.41552078906765
21,"Stomach",-3.14524721692727
21,"Artery - Aorta",-1.97204663041032
21,"Pancreas",-1.84238834959344
21,"Kidney - Cortex",
21,"Lung",-2.50002957048277
21,"Breast - Mammary Tissue",-1.99370754860602
21,"Spleen",-2.40177738461675
21,"Prostate",-1.21226677683928
21,"Minor Salivary Gland",-1.4854087610307
21,"Skin - Sun Exposed (Lower leg)",-1.51312295822552
21,"Colon - Sigmoid",-1.93834643722004
21,"Cells - Cultured fibroblasts",-2.03623203010694
21,"Heart - Left Ventricle",-2.45588275381317
21,"Artery - Coronary",-0.957667395292413
21,"Heart - Atrial Appendage",-0.580352076562414
21,"Testis",0.137924214134994
21,"Cells - EBV-transformed lymphocytes",1.53021835122729
21,"Esophagus - Mucosa",0.682774623487547
21,"Nerve - Tibial",2.11850725271466
