"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Kidney - Cortex",
20,"Brain - Cerebellum",-0.433795588335407
20,"Vagina",
20,"Artery - Tibial",1.20614159595418
20,"Brain - Cerebellar Hemisphere",0.424173820677234
20,"Adrenal Gland",
20,"Brain - Hypothalamus",-0.173827798128942
20,"Small Intestine - Terminal Ileum",
20,"Brain - Anterior cingulate cortex (BA24)",-2.04714547825545
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Substantia nigra",-1.78552533931928
20,"Heart - Left Ventricle",-2.38260468349305
20,"Muscle - Skeletal",0.114641905372481
20,"Brain - Amygdala",-1.30303175532535
20,"Skin - Sun Exposed (Lower leg)",
20,"Cells - Cultured fibroblasts",-0.885575983666334
20,"Colon - Transverse",
20,"Ovary",
20,"Uterus",
20,"Artery - Coronary",-0.311151265128454
20,"Minor Salivary Gland",
20,"Brain - Nucleus accumbens (basal ganglia)",-2.61458133005678
20,"Testis",-2.48757636568277
20,"Brain - Spinal cord (cervical c-1)",
20,"Cells - EBV-transformed lymphocytes",
20,"Colon - Sigmoid",2.33178651350323
20,"Heart - Atrial Appendage",2.01572028691284
20,"Pituitary",2.73632730535318
20,"Brain - Cortex",2.81780289755706
20,"Lung",
20,"Adipose - Visceral (Omentum)",
20,"Brain - Putamen (basal ganglia)",2.36033688761285
20,"Nerve - Tibial",2.34320307273659
20,"Esophagus - Mucosa",2.60758308336915
20,"Stomach",
20,"Esophagus - Muscularis",0.782435848686526
20,"Brain - Hippocampus",1.80762231388953
20,"Prostate",
20,"Skin - Not Sun Exposed (Suprapubic)",2.78703281316283
20,"Artery - Aorta",
20,"Pancreas",
20,"Brain - Frontal Cortex (BA9)",1.80924390544939
20,"Spleen",
20,"Adipose - Subcutaneous",
20,"Esophagus - Gastroesophageal Junction",3.387134331601
20,"Breast - Mammary Tissue",
20,"Thyroid",2.06059532692468
21,"Kidney - Cortex",
21,"Brain - Cerebellum",-0.434104609090302
21,"Vagina",-0.506056625503899
21,"Artery - Tibial",0.992306665939398
21,"Brain - Cerebellar Hemisphere",0.170609213404971
21,"Adrenal Gland",-1.04003280783504
21,"Brain - Hypothalamus",-0.275322517527651
21,"Small Intestine - Terminal Ileum",-1.89858149431844
21,"Brain - Anterior cingulate cortex (BA24)",-1.96612654330688
