"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Artery - Coronary",-0.421851936430826
20,"Kidney - Cortex",
20,"Esophagus - Muscularis",-0.142171879643956
20,"Vagina",
20,"Prostate",
20,"Uterus",
20,"Brain - Spinal cord (cervical c-1)",
20,"Muscle - Skeletal",0.462613565747864
20,"Artery - Tibial",1.01163990739465
20,"Minor Salivary Gland",
20,"Breast - Mammary Tissue",
20,"Whole Blood",1.0365549176838
20,"Heart - Left Ventricle",2.46291808428059
20,"Lung",
20,"Nerve - Tibial",2.18330268625535
20,"Pituitary",3.05665343009908
20,"Esophagus - Gastroesophageal Junction",2.86522568805523
20,"Pancreas",
20,"Cells - Cultured fibroblasts",2.52709842271477
20,"Heart - Atrial Appendage",3.25332245221931
20,"Brain - Cortex",1.76186749678865
20,"Skin - Not Sun Exposed (Suprapubic)",2.42725121664376
20,"Spleen",
20,"Brain - Hippocampus",0.0311415505651198
20,"Esophagus - Mucosa",-0.634321712323641
20,"Cells - EBV-transformed lymphocytes",
20,"Testis",1.02393184733349
20,"Liver",
20,"Thyroid",2.68708136673779
20,"Adipose - Subcutaneous",
20,"Brain - Cerebellum",1.70785394052287
20,"Brain - Hypothalamus",-0.682845581838257
20,"Colon - Transverse",
20,"Adipose - Visceral (Omentum)",
20,"Artery - Aorta",
20,"Ovary",
20,"Adrenal Gland",
20,"Brain - Putamen (basal ganglia)",-2.41428779178017
20,"Brain - Substantia nigra",-2.08765974601458
20,"Colon - Sigmoid",-0.978181265288493
20,"Brain - Frontal Cortex (BA9)",-1.1553462119613
20,"Brain - Nucleus accumbens (basal ganglia)",-1.665571004905
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Amygdala",-1.4483547772162
20,"Brain - Anterior cingulate cortex (BA24)",-1.6655195513595
20,"Stomach",
20,"Skin - Sun Exposed (Lower leg)",
20,"Brain - Cerebellar Hemisphere",-1.62725860814234
20,"Small Intestine - Terminal Ileum",
21,"Artery - Coronary",-0.28585867519669
21,"Kidney - Cortex",
21,"Esophagus - Muscularis",0.117328188939518
21,"Vagina",-0.0941298933938587
21,"Prostate",0.79208075831554
21,"Uterus",-0.0375616446346195
21,"Brain - Spinal cord (cervical c-1)",
21,"Muscle - Skeletal",0.63573835894607
21,"Artery - Tibial",1.04296534990817
21,"Minor Salivary Gland",0.372165052824189
21,"Breast - Mammary Tissue",-0.262609568097646
21,"Whole Blood",0.8594613703955
21,"Heart - Left Ventricle",2.20210702873488
21,"Lung",2.10375080547664
21,"Nerve - Tibial",2.03471832002198
21,"Pituitary",2.7276968125452
21,"Esophagus - Gastroesophageal Junction",2.56749240000094
21,"Pancreas",2.88812633874379
21,"Cells - Cultured fibroblasts",2.27294478327841
21,"Heart - Atrial Appendage",2.793596604149
21,"Brain - Cortex",1.51020985030701
21,"Skin - Not Sun Exposed (Suprapubic)",2.17898320866746
21,"Spleen",2.66247424503136
21,"Brain - Hippocampus",-0.0163519523181777
21,"Esophagus - Mucosa",-0.389259918932897
21,"Cells - EBV-transformed lymphocytes",0.930424069863749
21,"Testis",0.990092716631903
21,"Liver",2.21322122818379
21,"Thyroid",2.30436392955426
21,"Adipose - Subcutaneous",0.548640470997295
21,"Brain - Cerebellum",1.29663601967583
21,"Brain - Hypothalamus",-0.781174746674546
21,"Colon - Transverse",-0.344243311821868
21,"Adipose - Visceral (Omentum)",-0.536544710828474
21,"Artery - Aorta",-1.06622405024057
21,"Ovary",-3.65991339239629
21,"Adrenal Gland",-1.12734185684809
21,"Brain - Putamen (basal ganglia)",-2.22781506877998
21,"Brain - Substantia nigra",-1.97565208508421
21,"Colon - Sigmoid",-1.06045903134395
21,"Brain - Frontal Cortex (BA9)",-1.20571760049174
21,"Brain - Nucleus accumbens (basal ganglia)",-1.62387763613895
21,"Brain - Caudate (basal ganglia)",
21,"Brain - Amygdala",-1.42006589944023
21,"Brain - Anterior cingulate cortex (BA24)",-1.59631707669281
21,"Stomach",-0.0320393903390901
21,"Skin - Sun Exposed (Lower leg)",-1.65295364511932
21,"Brain - Cerebellar Hemisphere",-1.59160268901276
21,"Small Intestine - Terminal Ileum",-1.16832087064122
22,"Artery - Coronary",-0.158253671963494
22,"Kidney - Cortex",
22,"Esophagus - Muscularis",0.354399371737437
22,"Vagina",0.202399942942873
22,"Prostate",0.770673051100313
22,"Uterus",0.0111948060224277
22,"Brain - Spinal cord (cervical c-1)",-0.943799716629614
22,"Muscle - Skeletal",0.790073742444741
22,"Artery - Tibial",1.06924086219061
22,"Minor Salivary Gland",0.488681615412776
22,"Breast - Mammary Tissue",-0.205351576033663
22,"Whole Blood",0.696102981565781
22,"Heart - Left Ventricle",1.95641701398752
22,"Lung",1.90792145367306
22,"Nerve - Tibial",1.89007584975044
22,"Pituitary",2.41591620448196
22,"Esophagus - Gastroesophageal Junction",2.28476224136486
22,"Pancreas",2.54987857123094
22,"Cells - Cultured fibroblasts",2.02696784442819
22,"Heart - Atrial Appendage",2.36278761532108
22,"Brain - Cortex",1.27826729163395
22,"Skin - Not Sun Exposed (Suprapubic)",1.9445006961202
22,"Spleen",2.29887900882708
22,"Brain - Hippocampus",-0.0653910208120984
22,"Esophagus - Mucosa",-0.165390016605625
22,"Cells - EBV-transformed lymphocytes",0.915977882845587
22,"Testis",0.953885589004444
22,"Liver",1.90273565564397
22,"Thyroid",1.94044522283683
22,"Adipose - Subcutaneous",0.301461551921523
22,"Brain - Cerebellum",0.915490771785667
22,"Brain - Hypothalamus",-0.868020189159447
22,"Colon - Transverse",-0.507540832172839
22,"Adipose - Visceral (Omentum)",-0.565179458564068
22,"Artery - Aorta",-1.04357924913412
22,"Ovary",-3.06948330088902
22,"Adrenal Gland",-1.16870994004685
22,"Brain - Putamen (basal ganglia)",-2.05020136544482
22,"Brain - Substantia nigra",-1.86427011149554
22,"Colon - Sigmoid",-1.13271177050068
22,"Brain - Frontal Cortex (BA9)",-1.24505474957865
22,"Brain - Nucleus accumbens (basal ganglia)",-1.57943036922374
22,"Brain - Caudate (basal ganglia)",-2.80869133329755
22,"Brain - Amygdala",-1.38048461849037
22,"Brain - Anterior cingulate cortex (BA24)",-1.52992430526931
22,"Stomach",-0.281607650282713
22,"Skin - Sun Exposed (Lower leg)",-1.63674567679781
22,"Brain - Cerebellar Hemisphere",-1.54887042890199
22,"Small Intestine - Terminal Ileum",-1.23280904465339
23,"Artery - Coronary",-0.0391795514805051
23,"Kidney - Cortex",
23,"Esophagus - Muscularis",0.568592053402779
23,"Vagina",0.464643534856098
23,"Prostate",0.749056449598859
23,"Uterus",0.0598290111318372
23,"Brain - Spinal cord (cervical c-1)",-0.649260150615431
23,"Muscle - Skeletal",0.926107371568833
23,"Artery - Tibial",1.09041796514151
23,"Minor Salivary Gland",0.594860258955913
23,"Breast - Mammary Tissue",-0.148509523804768
23,"Whole Blood",0.546115772098875
23,"Heart - Left Ventricle",1.72552330805806
23,"Lung",1.72398890150655
23,"Nerve - Tibial",1.74945210889956
23,"Pituitary",2.12107419359496
23,"Esophagus - Gastroesophageal Junction",2.01689109837528
23,"Pancreas",2.23056832550788
23,"Cells - Cultured fibroblasts",1.78950168644325
23,"Heart - Atrial Appendage",1.9603764778589
23,"Brain - Cortex",1.06557048777955
23,"Skin - Not Sun Exposed (Suprapubic)",1.72364246736214
23,"Spleen",1.95763036205054
23,"Brain - Hippocampus",-0.115169766153276
23,"Esophagus - Mucosa",0.0376285717264443
23,"Cells - EBV-transformed lymphocytes",0.892932734601011
23,"Testis",0.915472268519218
23,"Liver",1.60661101478477
23,"Thyroid",1.59535442304316
23,"Adipose - Subcutaneous",0.0741253681326445
23,"Brain - Cerebellum",0.563993609426724
23,"Brain - Hypothalamus",-0.94359314895046
23,"Colon - Transverse",-0.655501025363533
23,"Adipose - Visceral (Omentum)",-0.594580782874258
23,"Artery - Aorta",-1.02060970780648
23,"Ovary",-2.51721309037034
23,"Adrenal Gland",-1.19983956433121
23,"Brain - Putamen (basal ganglia)",-1.88108424254273
23,"Brain - Substantia nigra",-1.75361165626587
23,"Colon - Sigmoid",-1.19493839124042
23,"Brain - Frontal Cortex (BA9)",-1.27373526136767
23,"Brain - Nucleus accumbens (basal ganglia)",-1.53223055563775
23,"Brain - Caudate (basal ganglia)",-2.54262586925496
23,"Brain - Amygdala",-1.33021148807034
23,"Brain - Anterior cingulate cortex (BA24)",-1.46564655244089
23,"Stomach",-0.502356020850912
23,"Skin - Sun Exposed (Lower leg)",-1.60909617139314
23,"Brain - Cerebellar Hemisphere",-1.4993917951255
23,"Small Intestine - Terminal Ileum",-1.28584877649683
24,"Artery - Coronary",0.0712210615030087
24,"Kidney - Cortex",
24,"Esophagus - Muscularis",0.759456618587985
24,"Vagina",0.69360804433547
24,"Prostate",0.727372405662614
24,"Uterus",0.108449888237861
24,"Brain - Spinal cord (cervical c-1)",-0.373050013169751
24,"Muscle - Skeletal",1.0443269016433
24,"Artery - Tibial",1.10644817966035
24,"Minor Salivary Gland",0.690722384517606
24,"Breast - Mammary Tissue",-0.0924002531145117
24,"Whole Blood",0.409135762898906
24,"Heart - Left Ventricle",1.50910117896594
24,"Lung",1.55168226790929
24,"Nerve - Tibial",1.61292393092803
24,"Pituitary",1.84293336756973
24,"Esophagus - Gastroesophageal Junction",1.76373485726056
24,"Pancreas",1.92994267283688
24,"Cells - Cultured fibroblasts",1.56088038960297
24,"Heart - Atrial Appendage",1.58584418388564
24,"Brain - Cortex",0.871650105753544
24,"Skin - Not Sun Exposed (Suprapubic)",1.5162473107534
24,"Spleen",1.63872946652061
24,"Brain - Hippocampus",-0.164882299578447
24,"Esophagus - Mucosa",0.220136423131685
24,"Cells - EBV-transformed lymphocytes",0.861968454456148
24,"Testis",0.875014559244479
24,"Liver",1.32526825631572
24,"Thyroid",1.2691207066309
24,"Adipose - Subcutaneous",-0.133776432572177
24,"Brain - Cerebellum",0.241719945173282
24,"Brain - Hypothalamus",-1.00810486570512
24,"Colon - Transverse",-0.788311970903805
24,"Adipose - Visceral (Omentum)",-0.624394672097596
24,"Artery - Aorta",-0.997232052603722
24,"Ovary",-2.00312257388818
24,"Adrenal Gland",-1.2210305729582
24,"Brain - Putamen (basal ganglia)",-1.72010126084161
24,"Brain - Substantia nigra",-1.64377455041262
24,"Colon - Sigmoid",-1.24713780204488
24,"Brain - Frontal Cortex (BA9)",-1.29213673800453
24,"Brain - Nucleus accumbens (basal ganglia)",-1.48227954685935
24,"Brain - Caudate (basal ganglia)",-2.28611007758049
24,"Brain - Amygdala",-1.26984706188372
24,"Brain - Anterior cingulate cortex (BA24)",-1.40278913355952
24,"Stomach",-0.695547660828493
24,"Skin - Sun Exposed (Lower leg)",-1.57062489268603
24,"Brain - Cerebellar Hemisphere",-1.44349675499862
24,"Small Intestine - Terminal Ileum",-1.32714886757768
25,"Artery - Coronary",0.172805542237754
25,"Kidney - Cortex",
25,"Esophagus - Muscularis",0.926543451945882
25,"Vagina",0.890300633370887
25,"Prostate",0.705762371142942
25,"Uterus",0.157166354884737
25,"Brain - Spinal cord (cervical c-1)",-0.115431348026573
25,"Muscle - Skeletal",1.14521998799306
25,"Artery - Tibial",1.11728302664658
25,"Minor Salivary Gland",0.776289393161897
25,"Breast - Mammary Tissue",-0.0373406056660502
25,"Whole Blood",0.284798974869886
25,"Heart - Left Ventricle",1.30682589473058
25,"Lung",1.39073067181334
25,"Nerve - Tibial",1.48056814929462
25,"Pituitary",1.58125631409191
25,"Esophagus - Gastroesophageal Junction",1.52514940424908
25,"Pancreas",1.64774868448017
25,"Cells - Cultured fibroblasts",1.34143803418657
25,"Heart - Atrial Appendage",1.23867172552458
25,"Brain - Cortex",0.696036812566025
25,"Skin - Not Sun Exposed (Suprapubic)",1.32215401465418
25,"Spleen",1.34217748405614
25,"Brain - Hippocampus",-0.213722732324194
25,"Esophagus - Mucosa",0.382474114678314
25,"Cells - EBV-transformed lymphocytes",0.823764871736959
25,"Testis",0.832674265248259
25,"Liver",1.05912833094647
25,"Thyroid",0.961773250057674
25,"Adipose - Subcutaneous",-0.322652202395877
25,"Brain - Cerebellum",-0.0517548084003802
25,"Brain - Hypothalamus",-1.06176657908101
25,"Colon - Transverse",-0.906161748303703
25,"Adipose - Visceral (Omentum)",-0.654267114572604
25,"Artery - Aorta",-0.973362909871862
25,"Ovary",-1.5272315644905
25,"Adrenal Gland",-1.23258280918497
25,"Brain - Putamen (basal ganglia)",-1.56688998110951
25,"Brain - Substantia nigra",-1.53485662495307
25,"Colon - Sigmoid",-1.28930891139576
25,"Brain - Frontal Cortex (BA9)",-1.30063678163492
25,"Brain - Nucleus accumbens (basal ganglia)",-1.4295786943669
25,"Brain - Caudate (basal ganglia)",-2.03917520220762
25,"Brain - Amygdala",-1.19999189363419
25,"Brain - Anterior cingulate cortex (BA24)",-1.34065736397704
25,"Stomach",-0.86244572900013
25,"Skin - Sun Exposed (Lower leg)",-1.52195160445703
25,"Brain - Cerebellar Hemisphere",-1.38151527583682
25,"Small Intestine - Terminal Ileum",-1.35641811930207
26,"Artery - Coronary",0.265431265974383
26,"Kidney - Cortex",
26,"Esophagus - Muscularis",1.06940293812891
26,"Vagina",1.05572846395203
26,"Prostate",0.684367797891295
26,"Uterus",0.206087328616679
26,"Brain - Spinal cord (cervical c-1)",0.123333801080058
26,"Muscle - Skeletal",1.22927428594313
26,"Artery - Tibial",1.12287402699973
26,"Minor Salivary Gland",0.851582685952781
26,"Breast - Mammary Tissue",0.016352576837066
26,"Whole Blood",0.172741428916158
26,"Heart - Left Ventricle",1.11837272337149
26,"Lung",1.24086323215091
26,"Nerve - Tibial",1.35246159745801
26,"Pituitary",1.33580562084708
26,"Esophagus - Gastroesophageal Junction",1.30099062556924
26,"Pancreas",1.38373343169996
26,"Cells - Cultured fibroblasts",1.13150870047317
26,"Heart - Atrial Appendage",0.91834009489886
26,"Brain - Cortex",0.538261275226839
26,"Skin - Not Sun Exposed (Suprapubic)",1.1412013674247
26,"Spleen",1.06797557647591
26,"Brain - Hippocampus",-0.260885175627254
26,"Esophagus - Mucosa",0.524982223434706
26,"Cells - EBV-transformed lymphocytes",0.779001815769462
26,"Testis",0.788613190598739
26,"Liver",0.808612189386499
26,"Thyroid",0.673341229781161
26,"Adipose - Subcutaneous",-0.492910293541342
26,"Brain - Cerebellum",-0.316855238719891
26,"Brain - Hypothalamus",-1.10478952873558
26,"Colon - Transverse",-1.00923843707323
26,"Adipose - Visceral (Omentum)",-0.683844098637984
26,"Artery - Aorta",-0.948918905956929
26,"Ovary",-1.08955987522519
26,"Adrenal Gland",-1.23479611626855
26,"Brain - Putamen (basal ganglia)",-1.42108796411438
26,"Brain - Substantia nigra",-1.42695571090456
26,"Colon - Sigmoid",-1.32145062777475
26,"Brain - Frontal Cortex (BA9)",-1.29961299440452
26,"Brain - Nucleus accumbens (basal ganglia)",-1.37412934963874
26,"Brain - Caudate (basal ganglia)",-1.80185248706995
26,"Brain - Amygdala",-1.12124653702538
26,"Brain - Anterior cingulate cortex (BA24)",-1.27855655904543
26,"Stomach",-1.00431338415023
26,"Skin - Sun Exposed (Lower leg)",-1.463696070487
26,"Brain - Cerebellar Hemisphere",-1.31377732495547
