"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Prostate",
20,"Breast - Mammary Tissue",
20,"Esophagus - Mucosa",-1.22271991365343
20,"Minor Salivary Gland",
20,"Nerve - Tibial",-1.71924695216931
20,"Heart - Left Ventricle",-1.83794299843029
20,"Lung",
20,"Stomach",
20,"Heart - Atrial Appendage",-2.06393608874584
20,"Pituitary",-2.19611256336222
20,"Liver",
20,"Brain - Cortex",-2.58797860870012
20,"Skin - Sun Exposed (Lower leg)",
20,"Brain - Hippocampus",-0.521070174359748
20,"Esophagus - Gastroesophageal Junction",-1.31094623005943
20,"Esophagus - Muscularis",-1.14558985623816
20,"Cells - Cultured fibroblasts",-2.65398758327268
20,"Artery - Tibial",-1.98524818781297
20,"Brain - Anterior cingulate cortex (BA24)",-2.27735460114432
20,"Colon - Transverse",
20,"Pancreas",
20,"Spleen",
20,"Testis",0.0450747295998924
20,"Artery - Aorta",
20,"Muscle - Skeletal",-0.68197929146407
20,"Artery - Coronary",-1.14733727836051
20,"Brain - Frontal Cortex (BA9)",-0.574028762178902
20,"Brain - Spinal cord (cervical c-1)",
20,"Brain - Amygdala",1.37574687216182
20,"Brain - Putamen (basal ganglia)",1.63997117730729
20,"Kidney - Cortex",
20,"Ovary",
20,"Adipose - Visceral (Omentum)",
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Cerebellum",1.12985877610254
20,"Skin - Not Sun Exposed (Suprapubic)",1.05285189558611
20,"Brain - Nucleus accumbens (basal ganglia)",1.04418258339219
20,"Whole Blood",-0.0720359213617023
20,"Cells - EBV-transformed lymphocytes",
20,"Brain - Cerebellar Hemisphere",1.38849583964143
20,"Adipose - Subcutaneous",
20,"Colon - Sigmoid",0.989744229206896
20,"Adrenal Gland",
20,"Brain - Hypothalamus",1.857814453428
20,"Brain - Substantia nigra",-1.52235576327932
20,"Small Intestine - Terminal Ileum",
20,"Vagina",
20,"Thyroid",-0.723789077519629
20,"Uterus",
21,"Prostate",-1.5546688107292
21,"Breast - Mammary Tissue",-1.10749013393123
21,"Esophagus - Mucosa",-1.11329352325102
21,"Minor Salivary Gland",-1.55969264561925
21,"Nerve - Tibial",-1.62523525957988
21,"Heart - Left Ventricle",-1.7128170856633
21,"Lung",-2.37791257446116
21,"Stomach",-3.20626164564916
21,"Heart - Atrial Appendage",-1.83976385384205
21,"Pituitary",-1.88578703078657
21,"Liver",-2.83468063839044
21,"Brain - Cortex",-2.32009630897276
21,"Skin - Sun Exposed (Lower leg)",-1.77524425170754
21,"Brain - Hippocampus",-0.351565122981041
21,"Esophagus - Gastroesophageal Junction",-1.13298216726679
21,"Esophagus - Muscularis",-0.981785644042914
21,"Cells - Cultured fibroblasts",-2.26047649813169
21,"Artery - Tibial",-1.73892233834398
21,"Brain - Anterior cingulate cortex (BA24)",-1.97468903334247
21,"Colon - Transverse",0.83159720499385
21,"Pancreas",-0.321629205849001
21,"Spleen",-0.904129407613631
21,"Testis",-0.0347167769974734
21,"Artery - Aorta",0.210525120250924
21,"Muscle - Skeletal",-0.741444451152719
21,"Artery - Coronary",-1.13044746962262
21,"Brain - Frontal Cortex (BA9)",-0.54458665443304
21,"Brain - Spinal cord (cervical c-1)",
21,"Brain - Amygdala",1.43280751603244
21,"Brain - Putamen (basal ganglia)",1.61442748111225
21,"Kidney - Cortex",
21,"Ovary",2.07078345243426
21,"Adipose - Visceral (Omentum)",1.30456874526078
21,"Brain - Caudate (basal ganglia)",
21,"Brain - Cerebellum",1.04437624902549
21,"Skin - Not Sun Exposed (Suprapubic)",0.948409515865691
21,"Brain - Nucleus accumbens (basal ganglia)",0.849595136987633
21,"Whole Blood",-0.0190640816463348
21,"Cells - EBV-transformed lymphocytes",-0.174542590156102
21,"Brain - Cerebellar Hemisphere",1.37769042649636
21,"Adipose - Subcutaneous",1.2830023165782
21,"Colon - Sigmoid",1.03961749382126
21,"Adrenal Gland",1.46373169829693
21,"Brain - Hypothalamus",1.75914386747624
21,"Brain - Substantia nigra",-1.24542770333993
21,"Small Intestine - Terminal Ileum",0.411083524657167
21,"Vagina",-1.59591965457942
21,"Thyroid",-0.528843306379614
21,"Uterus",-0.177069179918066
22,"Prostate",-1.54744483869906
22,"Breast - Mammary Tissue",-1.05239769287266
22,"Esophagus - Mucosa",-1.01229162582222
22,"Minor Salivary Gland",-1.49508625385226
22,"Nerve - Tibial",-1.53311377719569
