"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Brain - Hypothalamus",-0.179173793599013
20,"Brain - Amygdala",-1.85291145184661
20,"Muscle - Skeletal",-1.32535439890059
20,"Uterus",
20,"Vagina",
20,"Brain - Frontal Cortex (BA9)",1.48681022146047
20,"Adipose - Visceral (Omentum)",
20,"Pituitary",1.90849804573494
20,"Ovary",
20,"Skin - Sun Exposed (Lower leg)",
20,"Artery - Tibial",2.1327028337033
20,"Cells - Cultured fibroblasts",1.22261617306432
20,"Artery - Aorta",
20,"Thyroid",2.11778453287736
20,"Brain - Cerebellar Hemisphere",1.7016182357443
20,"Heart - Atrial Appendage",0.706482870177001
20,"Artery - Coronary",3.12283798459086
20,"Brain - Putamen (basal ganglia)",2.66855541432283
20,"Heart - Left Ventricle",3.37947490589301
20,"Lung",
20,"Esophagus - Gastroesophageal Junction",2.81886658227397
20,"Esophagus - Mucosa",2.15885360873688
20,"Colon - Sigmoid",1.734270174409
20,"Minor Salivary Gland",
20,"Brain - Spinal cord (cervical c-1)",
20,"Skin - Not Sun Exposed (Suprapubic)",2.41386148826616
20,"Brain - Nucleus accumbens (basal ganglia)",2.17891235308622
20,"Brain - Substantia nigra",2.06351427527893
20,"Brain - Caudate (basal ganglia)",
20,"Adipose - Subcutaneous",
20,"Brain - Anterior cingulate cortex (BA24)",2.24774618102396
20,"Testis",1.98341556349356
20,"Brain - Cerebellum",1.86687694041893
20,"Brain - Cortex",2.02041616647785
20,"Brain - Hippocampus",2.45967225121209
20,"Nerve - Tibial",-0.0142473813294996
20,"Breast - Mammary Tissue",
20,"Cells - EBV-transformed lymphocytes",
20,"Spleen",
20,"Kidney - Cortex",
20,"Pancreas",
20,"Colon - Transverse",
20,"Adrenal Gland",
20,"Whole Blood",2.75481431907873
20,"Small Intestine - Terminal Ileum",
20,"Prostate",
20,"Stomach",
20,"Esophagus - Muscularis",-2.58060402220068
20,"Liver",
21,"Brain - Hypothalamus",0.0687184243368204
21,"Brain - Amygdala",-1.50969716944668
21,"Muscle - Skeletal",-1.00035278828694
21,"Uterus",0.159911212265912
21,"Vagina",0.534898821253655
21,"Brain - Frontal Cortex (BA9)",1.46217589566878
21,"Adipose - Visceral (Omentum)",2.0337694527794
21,"Pituitary",1.75700634746764
21,"Ovary",1.23126239027851
21,"Skin - Sun Exposed (Lower leg)",1.48833732889653
21,"Artery - Tibial",1.90866769844822
21,"Cells - Cultured fibroblasts",1.16217366249108
21,"Artery - Aorta",1.12834678057156
21,"Thyroid",1.93021703965362
21,"Brain - Cerebellar Hemisphere",1.65001429465956
21,"Heart - Atrial Appendage",0.808067782521683
21,"Artery - Coronary",2.7876733280589
21,"Brain - Putamen (basal ganglia)",2.47630635739731
21,"Heart - Left Ventricle",2.95028115620757
21,"Lung",2.51567461663365
21,"Esophagus - Gastroesophageal Junction",2.47029088907735
21,"Esophagus - Mucosa",1.95298349111384
21,"Colon - Sigmoid",1.65509401553561
21,"Minor Salivary Gland",2.20294426693948
21,"Brain - Spinal cord (cervical c-1)",
21,"Skin - Not Sun Exposed (Suprapubic)",2.22173921330355
21,"Brain - Nucleus accumbens (basal ganglia)",2.0392788121984
21,"Brain - Substantia nigra",1.98565725919678
21,"Brain - Caudate (basal ganglia)",
21,"Adipose - Subcutaneous",2.59322461111985
21,"Brain - Anterior cingulate cortex (BA24)",2.10537383847252
21,"Testis",1.74875386066328
21,"Brain - Cerebellum",1.7586460349755
21,"Brain - Cortex",1.90327051679465
21,"Brain - Hippocampus",2.26713047118256
21,"Nerve - Tibial",0.16741844006316
21,"Breast - Mammary Tissue",0.805534545669267
21,"Cells - EBV-transformed lymphocytes",0.903959383274636
21,"Spleen",-0.492242775801035
21,"Kidney - Cortex",
21,"Pancreas",0.0500909363254227
21,"Colon - Transverse",0.164320709150126
21,"Adrenal Gland",2.12256800368871
21,"Whole Blood",2.2763222009688
21,"Small Intestine - Terminal Ileum",-1.73948396408824
21,"Prostate",-2.73521485546554
21,"Stomach",-2.40103657256766
21,"Esophagus - Muscularis",-2.25139544643511
21,"Liver",-1.60011601215517
22,"Brain - Hypothalamus",0.290985383915902
