"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Prostate",
20,"Kidney - Cortex",
20,"Thyroid",0.226846837130356
20,"Whole Blood",1.58567206468549
20,"Artery - Aorta",
20,"Artery - Tibial",-2.21466840246528
20,"Small Intestine - Terminal Ileum",
20,"Esophagus - Gastroesophageal Junction",-1.78308244947511
20,"Colon - Transverse",
20,"Vagina",
20,"Skin - Not Sun Exposed (Suprapubic)",-1.96334495785785
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Hippocampus",-0.586981685360146
20,"Muscle - Skeletal",0.96313429414492
20,"Adrenal Gland",
20,"Minor Salivary Gland",
20,"Cells - EBV-transformed lymphocytes",
20,"Heart - Atrial Appendage",2.25586723459873
20,"Heart - Left Ventricle",1.07547025146729
20,"Pituitary",1.07306542137142
20,"Brain - Anterior cingulate cortex (BA24)",1.88458510252526
20,"Esophagus - Muscularis",2.23319514723919
20,"Brain - Frontal Cortex (BA9)",2.73995370924805
20,"Ovary",
20,"Esophagus - Mucosa",-0.0221518613914263
20,"Spleen",
20,"Artery - Coronary",0.382802822170693
20,"Stomach",
20,"Brain - Spinal cord (cervical c-1)",
20,"Brain - Amygdala",3.07194286038347
20,"Brain - Cortex",3.03031395507635
20,"Brain - Putamen (basal ganglia)",3.19580617748365
20,"Breast - Mammary Tissue",
20,"Liver",
20,"Adipose - Visceral (Omentum)",
20,"Brain - Hypothalamus",3.25453599432287
20,"Brain - Substantia nigra",2.88556536494367
20,"Skin - Sun Exposed (Lower leg)",
20,"Pancreas",
20,"Lung",
20,"Nerve - Tibial",2.5581514011513
20,"Brain - Cerebellum",2.76446133138354
20,"Brain - Nucleus accumbens (basal ganglia)",2.06786897760162
20,"Colon - Sigmoid",2.65035669675703
20,"Adipose - Subcutaneous",
20,"Uterus",
20,"Testis",1.38911164884828
20,"Brain - Cerebellar Hemisphere",2.46868594397061
20,"Cells - Cultured fibroblasts",2.05078341264732
21,"Prostate",2.16013857433325
21,"Kidney - Cortex",
21,"Thyroid",0.210931504058206
21,"Whole Blood",1.40667380791287
21,"Artery - Aorta",-0.758280306361841
21,"Artery - Tibial",-2.09191614512481
21,"Small Intestine - Terminal Ileum",-1.89398220667917
21,"Esophagus - Gastroesophageal Junction",-1.68755752948974
21,"Colon - Transverse",-0.0553517607289973
21,"Vagina",-0.649621037153899
21,"Skin - Not Sun Exposed (Suprapubic)",-1.69803787742135
21,"Brain - Caudate (basal ganglia)",
21,"Brain - Hippocampus",-0.605815239396635
21,"Muscle - Skeletal",0.829371737046141
21,"Adrenal Gland",-2.33227207818892
21,"Minor Salivary Gland",-2.29828561438453
21,"Cells - EBV-transformed lymphocytes",2.68644782734812
