"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Liver",
20,"Muscle - Skeletal",-0.624785441175306
20,"Esophagus - Mucosa",-1.12378396198681
20,"Artery - Aorta",
20,"Colon - Transverse",
20,"Small Intestine - Terminal Ileum",
20,"Brain - Amygdala",-2.26151349480907
20,"Brain - Frontal Cortex (BA9)",-2.08171322688284
20,"Stomach",
20,"Whole Blood",-1.88231644210825
20,"Colon - Sigmoid",-2.3579469082627
20,"Lung",
20,"Nerve - Tibial",-1.43716101865658
20,"Brain - Cortex",-2.79475563693074
20,"Brain - Hippocampus",-2.82313733812428
20,"Cells - Cultured fibroblasts",-2.88226127947957
20,"Brain - Putamen (basal ganglia)",-3.23886842752576
20,"Brain - Substantia nigra",-3.25472009296472
20,"Brain - Anterior cingulate cortex (BA24)",-2.86110191102755
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Cerebellum",-2.73480677894762
20,"Brain - Spinal cord (cervical c-1)",
20,"Skin - Sun Exposed (Lower leg)",
20,"Breast - Mammary Tissue",
20,"Cells - EBV-transformed lymphocytes",
20,"Artery - Coronary",1.6767046906353
20,"Heart - Left Ventricle",1.73449799735167
20,"Thyroid",2.20459149066677
20,"Skin - Not Sun Exposed (Suprapubic)",3.20983257578194
20,"Spleen",
20,"Esophagus - Gastroesophageal Junction",-1.85155068507269
20,"Adipose - Visceral (Omentum)",
20,"Brain - Nucleus accumbens (basal ganglia)",-2.66966282856895
20,"Heart - Atrial Appendage",-0.919941403098075
20,"Vagina",
20,"Brain - Hypothalamus",-0.397131525398897
20,"Pancreas",
20,"Pituitary",-0.173547663494659
20,"Testis",-1.55421631851294
20,"Kidney - Cortex",
20,"Ovary",
20,"Uterus",
20,"Adrenal Gland",
20,"Brain - Cerebellar Hemisphere",-0.110884006083085
20,"Prostate",
20,"Adipose - Subcutaneous",
20,"Minor Salivary Gland",
20,"Artery - Tibial",2.45287382699081
20,"Esophagus - Muscularis",3.09401446311566
21,"Liver",0.609825080067374
21,"Muscle - Skeletal",-0.644279358806965
21,"Esophagus - Mucosa",-1.11951650015246
21,"Artery - Aorta",-2.07514086710503
21,"Colon - Transverse",-2.22407269513274
21,"Small Intestine - Terminal Ileum",-1.79892775811853
21,"Brain - Amygdala",-2.0680829064533
21,"Brain - Frontal Cortex (BA9)",-1.88025769977093
21,"Stomach",-0.908168659144997
21,"Whole Blood",-1.74361996779922
21,"Colon - Sigmoid",-2.14310562526896
21,"Lung",-1.9354338015648
21,"Nerve - Tibial",-1.31358117424103
21,"Brain - Cortex",-2.47356878591424
21,"Brain - Hippocampus",-2.53341778781045
21,"Cells - Cultured fibroblasts",-2.60211578600777
21,"Brain - Putamen (basal ganglia)",-2.8609852539493
21,"Brain - Substantia nigra",-2.85775579629614
21,"Brain - Anterior cingulate cortex (BA24)",-2.60750606416193
21,"Brain - Caudate (basal ganglia)",
21,"Brain - Cerebellum",-2.43803548962118
21,"Brain - Spinal cord (cervical c-1)",
21,"Skin - Sun Exposed (Lower leg)",2.60228771449555
21,"Breast - Mammary Tissue",1.06829109709808
21,"Cells - EBV-transformed lymphocytes",2.19853109205454
21,"Artery - Coronary",1.29042580024367
21,"Heart - Left Ventricle",1.34842332957956
21,"Thyroid",1.80993590463338
21,"Skin - Not Sun Exposed (Suprapubic)",2.81772844787986
21,"Spleen",2.2243782218867
21,"Esophagus - Gastroesophageal Junction",-1.39285145389497
21,"Adipose - Visceral (Omentum)",-2.02653711557556
21,"Brain - Nucleus accumbens (basal ganglia)",-2.29299104338988
21,"Heart - Atrial Appendage",-0.818759216049357
21,"Vagina",-1.98815939297258
21,"Brain - Hypothalamus",-0.306837596788771
21,"Pancreas",0.375099550416788
21,"Pituitary",-0.199762911582581
21,"Testis",-1.42732920537764
21,"Kidney - Cortex",
21,"Ovary",1.91109080004343
21,"Uterus",1.0224171845336
21,"Adrenal Gland",-0.0716234608465898
21,"Brain - Cerebellar Hemisphere",0.0450440957591321
21,"Prostate",2.81946044665089
21,"Adipose - Subcutaneous",1.74841769720546
21,"Minor Salivary Gland",1.25523586108183
21,"Artery - Tibial",2.24357423650758
21,"Esophagus - Muscularis",2.74029439586816
22,"Liver",0.475682625468873
22,"Muscle - Skeletal",-0.659705890012467
22,"Esophagus - Mucosa",-1.11358332282099
22,"Artery - Aorta",-1.91817690725116
22,"Colon - Transverse",-2.07065690307866
22,"Small Intestine - Terminal Ileum",-1.72901921083203
22,"Brain - Amygdala",-1.88301811506728
22,"Brain - Frontal Cortex (BA9)",-1.69163159536839
22,"Stomach",-0.84610869101593
22,"Whole Blood",-1.61051260294522
22,"Colon - Sigmoid",-1.93826175093441
22,"Lung",-1.77181238585505
22,"Nerve - Tibial",-1.18728112236312
22,"Brain - Cortex",-2.16909856595439
22,"Brain - Hippocampus",-2.25627073275205
22,"Cells - Cultured fibroblasts",-2.33179042283029
22,"Brain - Putamen (basal ganglia)",-2.49937909651006
22,"Brain - Substantia nigra",-2.48210790395709
22,"Brain - Anterior cingulate cortex (BA24)",-2.36154645794915
22,"Brain - Caudate (basal ganglia)",-2.85570491649682
22,"Brain - Cerebellum",-2.15282209688633
22,"Brain - Spinal cord (cervical c-1)",-2.71312046387829
22,"Skin - Sun Exposed (Lower leg)",2.09917757250824
22,"Breast - Mammary Tissue",0.843270234102406
22,"Cells - EBV-transformed lymphocytes",2.00262920690446
22,"Artery - Coronary",0.930211608969132
22,"Heart - Left Ventricle",0.988584310086261
22,"Thyroid",1.4452578130777
22,"Skin - Not Sun Exposed (Suprapubic)",2.44440383616084
22,"Spleen",1.91769452535143
22,"Esophagus - Gastroesophageal Junction",-0.969300857027846
