"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Liver",
20,"Artery - Coronary",-2.42331024414432
20,"Brain - Cerebellar Hemisphere",-2.80821062719652
20,"Esophagus - Mucosa",-2.70817147312678
20,"Spleen",
20,"Brain - Hypothalamus",-2.64677445957223
20,"Cells - Cultured fibroblasts",-2.94333565469662
20,"Pancreas",
20,"Esophagus - Gastroesophageal Junction",-1.28828301960438
20,"Thyroid",-0.942310747081439
20,"Vagina",
20,"Adrenal Gland",
20,"Brain - Cortex",-2.25466611832493
20,"Heart - Left Ventricle",-0.388625813626526
20,"Ovary",
20,"Muscle - Skeletal",-2.12051338969084
20,"Heart - Atrial Appendage",-2.84477051774424
20,"Adipose - Visceral (Omentum)",
20,"Colon - Sigmoid",-2.72401811889319
20,"Small Intestine - Terminal Ileum",
20,"Artery - Aorta",
20,"Nerve - Tibial",-1.93934528448205
20,"Brain - Cerebellum",-1.6078213358635
20,"Brain - Caudate (basal ganglia)",
20,"Lung",
20,"Brain - Putamen (basal ganglia)",-2.14327190828813
20,"Testis",-1.57076861209236
20,"Breast - Mammary Tissue",
20,"Prostate",
20,"Brain - Amygdala",0.161130301161219
20,"Esophagus - Muscularis",-0.35880945172858
20,"Colon - Transverse",
20,"Whole Blood",2.46300371801345
20,"Cells - EBV-transformed lymphocytes",
20,"Brain - Spinal cord (cervical c-1)",
20,"Brain - Nucleus accumbens (basal ganglia)",2.01945367621051
20,"Brain - Substantia nigra",1.91791585814945
20,"Kidney - Cortex",
20,"Stomach",
20,"Minor Salivary Gland",
20,"Pituitary",2.3218787479867
20,"Brain - Anterior cingulate cortex (BA24)",2.76594325172884
20,"Skin - Not Sun Exposed (Suprapubic)",2.32112595208149
20,"Skin - Sun Exposed (Lower leg)",
20,"Adipose - Subcutaneous",
20,"Uterus",
20,"Brain - Frontal Cortex (BA9)",1.32870033356894
20,"Artery - Tibial",0.317858959566921
20,"Brain - Hippocampus",0.238079120639697
21,"Liver",-2.94781107240907
21,"Artery - Coronary",-2.24955834646682
21,"Brain - Cerebellar Hemisphere",-2.48998666112264
21,"Esophagus - Mucosa",-2.42198601076626
21,"Spleen",-2.96611483646552
21,"Brain - Hypothalamus",-2.27459803838352
21,"Cells - Cultured fibroblasts",-2.5092762694456
21,"Pancreas",-2.38293196193171
21,"Esophagus - Gastroesophageal Junction",-1.14781511445753
21,"Thyroid",-0.748585465043121
21,"Vagina",0.153143969037895
21,"Adrenal Gland",-0.377457741296721
21,"Brain - Cortex",-2.03427487884302
21,"Heart - Left Ventricle",-0.540954872849044
21,"Ovary",0.97916795233573
21,"Muscle - Skeletal",-2.00097237556245
21,"Heart - Atrial Appendage",-2.57603713774037
21,"Adipose - Visceral (Omentum)",-2.8323430398617
21,"Colon - Sigmoid",-2.47664935895088
21,"Small Intestine - Terminal Ileum",-1.74813625480956
21,"Artery - Aorta",-1.5164317097672
21,"Nerve - Tibial",-1.78960466734399
21,"Brain - Cerebellum",-1.57171893875367
21,"Brain - Caudate (basal ganglia)",
21,"Lung",-2.16578254573931
21,"Brain - Putamen (basal ganglia)",-1.88893286768964
21,"Testis",-1.41303601281935
21,"Breast - Mammary Tissue",-0.696862008964668
21,"Prostate",-0.983076975225442
21,"Brain - Amygdala",0.254637803431576
21,"Esophagus - Muscularis",-0.197531519801565
21,"Colon - Transverse",0.216350938374269
21,"Whole Blood",2.12189612301934
21,"Cells - EBV-transformed lymphocytes",2.24524606203561
21,"Brain - Spinal cord (cervical c-1)",
21,"Brain - Nucleus accumbens (basal ganglia)",1.74624188979455
21,"Brain - Substantia nigra",1.67390303879419
21,"Kidney - Cortex",
21,"Stomach",-2.76894231455015
21,"Minor Salivary Gland",2.11592240935654
21,"Pituitary",2.14510119910154
21,"Brain - Anterior cingulate cortex (BA24)",2.53030075514009
21,"Skin - Not Sun Exposed (Suprapubic)",2.17573141313049
21,"Skin - Sun Exposed (Lower leg)",0.808259672306086
21,"Adipose - Subcutaneous",2.28759863293516
21,"Uterus",0.934363757846034
21,"Brain - Frontal Cortex (BA9)",1.2865649949333
21,"Artery - Tibial",0.423092318646635
21,"Brain - Hippocampus",0.296136624386384
22,"Liver",-2.60461400387042
