"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Testis",0.739916758595519
20,"Cells - Cultured fibroblasts",-0.172465780769026
20,"Stomach",
20,"Colon - Sigmoid",-1.603534201543
20,"Kidney - Cortex",
20,"Adipose - Visceral (Omentum)",
20,"Prostate",
20,"Skin - Sun Exposed (Lower leg)",
20,"Heart - Left Ventricle",-1.48900142648256
20,"Small Intestine - Terminal Ileum",
20,"Ovary",
20,"Adrenal Gland",
20,"Colon - Transverse",
20,"Spleen",
20,"Nerve - Tibial",-0.161957635754819
20,"Pancreas",
20,"Esophagus - Muscularis",-2.66455611995836
20,"Artery - Aorta",
20,"Skin - Not Sun Exposed (Suprapubic)",-2.82401827713428
20,"Artery - Coronary",-1.75824292938245
20,"Liver",
20,"Heart - Atrial Appendage",-3.20950437869857
20,"Brain - Amygdala",-0.793505143737571
20,"Uterus",
20,"Brain - Spinal cord (cervical c-1)",
20,"Muscle - Skeletal",-1.04421992763773
20,"Esophagus - Gastroesophageal Junction",2.57252846409866
20,"Adipose - Subcutaneous",
20,"Esophagus - Mucosa",2.64034061614236
20,"Breast - Mammary Tissue",
20,"Whole Blood",1.97675537724226
20,"Brain - Cortex",2.44577313395899
20,"Brain - Cerebellum",2.42706979354047
20,"Brain - Anterior cingulate cortex (BA24)",2.38216514041922
20,"Brain - Caudate (basal ganglia)",
20,"Lung",
20,"Pituitary",2.11499504689783
20,"Vagina",
20,"Brain - Putamen (basal ganglia)",2.91993549819682
20,"Brain - Cerebellar Hemisphere",2.61584714619967
20,"Brain - Nucleus accumbens (basal ganglia)",2.86864692983197
20,"Brain - Substantia nigra",2.72858993494183
20,"Minor Salivary Gland",
20,"Thyroid",0.575524546938351
20,"Cells - EBV-transformed lymphocytes",
20,"Brain - Hippocampus",1.89457268789742
20,"Brain - Hypothalamus",1.39869393230097
20,"Artery - Tibial",1.46321887891334
20,"Brain - Frontal Cortex (BA9)",1.12970300133308
21,"Testis",0.452233973464329
21,"Cells - Cultured fibroblasts",-0.33624611925116
21,"Stomach",-0.982729523430031
21,"Colon - Sigmoid",-1.53050232192751
