"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Uterus",
20,"Prostate",
20,"Spleen",
20,"Esophagus - Mucosa",2.51956854538957
20,"Ovary",
20,"Brain - Caudate (basal ganglia)",
20,"Esophagus - Muscularis",2.00300271723251
20,"Breast - Mammary Tissue",
20,"Adrenal Gland",
20,"Lung",
20,"Brain - Amygdala",-0.773233694317098
20,"Brain - Frontal Cortex (BA9)",1.22393438417352
20,"Brain - Hypothalamus",0.542359420674507
20,"Brain - Anterior cingulate cortex (BA24)",1.58140011858018
20,"Brain - Cortex",1.54604383692641
20,"Muscle - Skeletal",1.38517804011359
20,"Small Intestine - Terminal Ileum",
20,"Artery - Tibial",1.68371693444906
20,"Cells - Cultured fibroblasts",0.0748745572103357
20,"Brain - Putamen (basal ganglia)",2.06400481183645
20,"Brain - Nucleus accumbens (basal ganglia)",2.47422434138765
20,"Minor Salivary Gland",
20,"Brain - Hippocampus",2.0430752989902
20,"Brain - Substantia nigra",2.24712488073917
20,"Adipose - Subcutaneous",
20,"Skin - Sun Exposed (Lower leg)",
20,"Kidney - Cortex",
20,"Colon - Transverse",
20,"Esophagus - Gastroesophageal Junction",1.93038905186713
20,"Brain - Spinal cord (cervical c-1)",
20,"Pancreas",
20,"Artery - Coronary",2.03716622654726
20,"Skin - Not Sun Exposed (Suprapubic)",2.58826036651552
20,"Whole Blood",1.95901423854161
20,"Testis",0.500764971941725
20,"Adipose - Visceral (Omentum)",
20,"Nerve - Tibial",2.57346928993898
20,"Colon - Sigmoid",-1.66205608814172
20,"Thyroid",0.386437126407414
20,"Brain - Cerebellum",-1.7752057541313
20,"Brain - Cerebellar Hemisphere",-1.87709975538606
20,"Heart - Atrial Appendage",-2.28572638426848
20,"Artery - Aorta",
20,"Heart - Left Ventricle",1.27220392343492
20,"Pituitary",-2.43332457353801
20,"Cells - EBV-transformed lymphocytes",
20,"Liver",
20,"Stomach",
20,"Vagina",
21,"Uterus",1.35251653036405
21,"Prostate",0.876144145839885
21,"Spleen",1.59168272834229
21,"Esophagus - Mucosa",2.20331599983458
21,"Ovary",1.0036036131091
21,"Brain - Caudate (basal ganglia)",
21,"Esophagus - Muscularis",1.86134687233286
21,"Breast - Mammary Tissue",2.79657713611656
21,"Adrenal Gland",2.79730331795613
21,"Lung",2.99463766102927
21,"Brain - Amygdala",-0.555199213764884
21,"Brain - Frontal Cortex (BA9)",1.22396999206445
21,"Brain - Hypothalamus",0.6563015066858
21,"Brain - Anterior cingulate cortex (BA24)",1.50530435272734
21,"Brain - Cortex",1.48916355875888
21,"Muscle - Skeletal",1.36301834941693
21,"Small Intestine - Terminal Ileum",0.659510260965941
21,"Artery - Tibial",1.54140411271902
21,"Cells - Cultured fibroblasts",0.172669437186171
21,"Brain - Putamen (basal ganglia)",1.93796098299737
21,"Brain - Nucleus accumbens (basal ganglia)",2.26589141302986
21,"Minor Salivary Gland",2.34928932249848
21,"Brain - Hippocampus",1.92439392667408
21,"Brain - Substantia nigra",2.14417518590818
21,"Adipose - Subcutaneous",2.3714897386319
21,"Skin - Sun Exposed (Lower leg)",1.2092828668879
21,"Kidney - Cortex",
21,"Colon - Transverse",3.17602418256772
21,"Esophagus - Gastroesophageal Junction",1.6239781310092
21,"Brain - Spinal cord (cervical c-1)",
21,"Pancreas",1.95625623925048
21,"Artery - Coronary",1.81409960536148
21,"Skin - Not Sun Exposed (Suprapubic)",2.30929361435319
21,"Whole Blood",1.80131306449224
21,"Testis",0.4532645147384
21,"Adipose - Visceral (Omentum)",2.53413549352471
21,"Nerve - Tibial",2.1462254974419
21,"Colon - Sigmoid",-1.54248026085246
21,"Thyroid",0.233951798743308
21,"Brain - Cerebellum",-1.63818922533053
21,"Brain - Cerebellar Hemisphere",-1.7749588611242
21,"Heart - Atrial Appendage",-2.08737446694545
21,"Artery - Aorta",-0.977605895743419
21,"Heart - Left Ventricle",0.783977117775289
21,"Pituitary",-2.1446427040989
21,"Cells - EBV-transformed lymphocytes",-3.08509856848952
21,"Liver",-2.80450941700289
21,"Stomach",-1.13333829630434
21,"Vagina",-1.74626527411286
22,"Uterus",0.971833659057404
22,"Prostate",0.77504393107341
22,"Spleen",1.46329631171842
22,"Esophagus - Mucosa",1.90471971063231
22,"Ovary",1.0480259990455
22,"Brain - Caudate (basal ganglia)",2.9687625609284
22,"Esophagus - Muscularis",1.72035570553361
22,"Breast - Mammary Tissue",2.39186808709719
22,"Adrenal Gland",2.47287132771714
22,"Lung",2.59571343657542
22,"Brain - Amygdala",-0.34612316331912
22,"Brain - Frontal Cortex (BA9)",1.22135636409291
22,"Brain - Hypothalamus",0.7571433324694
22,"Brain - Anterior cingulate cortex (BA24)",1.43406258342137
22,"Brain - Cortex",1.43351937805019
22,"Muscle - Skeletal",1.33715504746636
22,"Small Intestine - Terminal Ileum",0.831214679095831
22,"Artery - Tibial",1.40625549836252
22,"Cells - Cultured fibroblasts",0.262622098996816
22,"Brain - Putamen (basal ganglia)",1.81192481825184
22,"Brain - Nucleus accumbens (basal ganglia)",2.06833182545553
22,"Minor Salivary Gland",2.17770136574264
22,"Brain - Hippocampus",1.80979386798648
22,"Brain - Substantia nigra",2.03528858658165
22,"Adipose - Subcutaneous",2.10012064418765
22,"Skin - Sun Exposed (Lower leg)",1.22086304106682
22,"Kidney - Cortex",
22,"Colon - Transverse",2.63821170317995
22,"Esophagus - Gastroesophageal Junction",1.33944103268545
22,"Brain - Spinal cord (cervical c-1)",1.36283329157639
22,"Pancreas",1.8843765074032
22,"Artery - Coronary",1.59773692253681
22,"Skin - Not Sun Exposed (Suprapubic)",2.04273362120897
22,"Whole Blood",1.64813717869842
22,"Testis",0.40646632775281
22,"Adipose - Visceral (Omentum)",2.12997419858002
22,"Nerve - Tibial",1.74616249149429
22,"Colon - Sigmoid",-1.42954367076688
22,"Thyroid",0.0876486223188704
22,"Brain - Cerebellum",-1.50840403157406
22,"Brain - Cerebellar Hemisphere",-1.67712329878399
