"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Cells - Cultured fibroblasts",0.709139892799475
20,"Liver",
20,"Adrenal Gland",
20,"Brain - Substantia nigra",1.85495590577149
20,"Lung",
20,"Colon - Sigmoid",3.40233078873994
20,"Esophagus - Mucosa",3.27180584870661
20,"Brain - Hypothalamus",2.75022649726623
20,"Adipose - Visceral (Omentum)",
20,"Brain - Nucleus accumbens (basal ganglia)",2.63476299156071
20,"Brain - Putamen (basal ganglia)",2.39803558427517
20,"Artery - Aorta",
20,"Pancreas",
20,"Artery - Tibial",1.76013622794766
20,"Heart - Left Ventricle",2.29638251031004
20,"Skin - Sun Exposed (Lower leg)",
20,"Small Intestine - Terminal Ileum",
20,"Adipose - Subcutaneous",
20,"Thyroid",2.56740108002029
20,"Esophagus - Gastroesophageal Junction",1.77300717142392
20,"Stomach",
20,"Brain - Cerebellum",2.15648837163645
20,"Esophagus - Muscularis",2.70090916046289
20,"Cells - EBV-transformed lymphocytes",
20,"Uterus",
20,"Heart - Atrial Appendage",0.0805989044842154
20,"Spleen",
20,"Brain - Amygdala",2.33001028206253
20,"Muscle - Skeletal",2.72390742772333
20,"Brain - Spinal cord (cervical c-1)",
20,"Pituitary",2.90249374343019
20,"Brain - Frontal Cortex (BA9)",1.06391773683419
20,"Nerve - Tibial",2.05915409341389
20,"Minor Salivary Gland",
20,"Breast - Mammary Tissue",
20,"Colon - Transverse",
20,"Ovary",
20,"Artery - Coronary",-2.41149811937579
20,"Skin - Not Sun Exposed (Suprapubic)",-1.73523515589536
20,"Brain - Anterior cingulate cortex (BA24)",-1.15329747882695
20,"Whole Blood",-1.19183968890155
20,"Brain - Caudate (basal ganglia)",
20,"Prostate",
20,"Brain - Cerebellar Hemisphere",-0.176582007832047
20,"Kidney - Cortex",
20,"Brain - Cortex",-2.44251993388706
20,"Vagina",
20,"Brain - Hippocampus",-1.72201556888349
20,"Testis",-1.94916171481586
21,"Cells - Cultured fibroblasts",0.775178464152073
21,"Liver",0.564265407370784
21,"Adrenal Gland",0.868039333037496
21,"Brain - Substantia nigra",1.73571499555079
21,"Lung",1.11273390765915
21,"Colon - Sigmoid",2.90510117699088
21,"Esophagus - Mucosa",2.83701605328519
21,"Brain - Hypothalamus",2.48669744278072
21,"Adipose - Visceral (Omentum)",2.64964911347465
21,"Brain - Nucleus accumbens (basal ganglia)",2.41950093172353
21,"Brain - Putamen (basal ganglia)",2.23733894188356
21,"Artery - Aorta",2.42945176845475
21,"Pancreas",2.58022712910045
