"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Vagina",
20,"Cells - Cultured fibroblasts",0.544199733172007
20,"Heart - Atrial Appendage",-0.0310948259212237
20,"Thyroid",-0.0904126168055506
20,"Adipose - Visceral (Omentum)",
20,"Liver",
20,"Lung",
20,"Skin - Not Sun Exposed (Suprapubic)",-0.681917088281896
20,"Spleen",
20,"Testis",-1.48297992987903
20,"Esophagus - Gastroesophageal Junction",-1.92747428018824
20,"Minor Salivary Gland",
20,"Artery - Tibial",-2.69349121358381
20,"Heart - Left Ventricle",-2.58450044734742
20,"Brain - Cerebellar Hemisphere",-0.939797261494601
20,"Brain - Cortex",-0.941927852891525
20,"Brain - Hippocampus",-0.603535571131034
20,"Brain - Nucleus accumbens (basal ganglia)",-1.70911357352974
20,"Brain - Putamen (basal ganglia)",-1.7998438254524
20,"Artery - Coronary",-2.45347604773731
20,"Prostate",
20,"Brain - Caudate (basal ganglia)",
20,"Adrenal Gland",
20,"Brain - Substantia nigra",-2.23738581465468
20,"Ovary",
20,"Brain - Spinal cord (cervical c-1)",
20,"Colon - Sigmoid",3.36203617890714
20,"Breast - Mammary Tissue",
20,"Pancreas",
20,"Kidney - Cortex",
20,"Stomach",
20,"Whole Blood",0.684668134946117
20,"Brain - Frontal Cortex (BA9)",1.67492992525324
20,"Colon - Transverse",
20,"Brain - Hypothalamus",1.06121585876638
20,"Brain - Amygdala",0.809868464384527
20,"Cells - EBV-transformed lymphocytes",
20,"Pituitary",0.663149799390854
20,"Brain - Cerebellum",-0.29833741214744
20,"Muscle - Skeletal",-0.504349142726249
20,"Artery - Aorta",
20,"Esophagus - Mucosa",1.43719613655512
20,"Small Intestine - Terminal Ileum",
20,"Adipose - Subcutaneous",
20,"Nerve - Tibial",-1.1517213281293
20,"Skin - Sun Exposed (Lower leg)",
20,"Esophagus - Muscularis",-1.25571098204915
20,"Brain - Anterior cingulate cortex (BA24)",-1.83578919210364
20,"Uterus",
21,"Vagina",-1.6321367793521
21,"Cells - Cultured fibroblasts",0.638195979174962
21,"Heart - Atrial Appendage",0.046081765578248
21,"Thyroid",0.0393171999646953
21,"Adipose - Visceral (Omentum)",2.4722308375164
21,"Liver",1.31846102170601
21,"Lung",1.72861300155581
21,"Skin - Not Sun Exposed (Suprapubic)",-0.335300570593075
21,"Spleen",-1.73945874606751
21,"Testis",-1.38193263157128
21,"Esophagus - Gastroesophageal Junction",-1.71700057724275
21,"Minor Salivary Gland",-1.73711226471109
21,"Artery - Tibial",-2.39080894832684
21,"Heart - Left Ventricle",-2.33035982750499
21,"Brain - Cerebellar Hemisphere",-0.880577689300307
21,"Brain - Cortex",-0.970436823204791
21,"Brain - Hippocampus",-0.654921514958531
21,"Brain - Nucleus accumbens (basal ganglia)",-1.44279467670242
21,"Brain - Putamen (basal ganglia)",-1.57833595776116
21,"Artery - Coronary",-2.21376557414392
21,"Prostate",-1.6611105247292
21,"Brain - Caudate (basal ganglia)",
21,"Adrenal Gland",-2.79797004679165
21,"Brain - Substantia nigra",-2.1007201190714
21,"Ovary",3.30226336371194
21,"Brain - Spinal cord (cervical c-1)",
21,"Colon - Sigmoid",2.93410990532112
21,"Breast - Mammary Tissue",2.66164731571408
21,"Pancreas",2.25570209852641
21,"Kidney - Cortex",
21,"Stomach",0.58143743492514
21,"Whole Blood",0.463666487409792
21,"Brain - Frontal Cortex (BA9)",1.3547119152745
21,"Colon - Transverse",1.66526570239509
21,"Brain - Hypothalamus",0.725658259786104
21,"Brain - Amygdala",0.585382795724278
21,"Cells - EBV-transformed lymphocytes",0.653705195383007
21,"Pituitary",0.407016201774198
21,"Brain - Cerebellum",-0.449661422633144
21,"Muscle - Skeletal",-0.562407958667746
21,"Artery - Aorta",-0.0553469620862782
21,"Esophagus - Mucosa",1.04426218026636
21,"Small Intestine - Terminal Ileum",0.700909880646059
21,"Adipose - Subcutaneous",-1.84232754734595
21,"Nerve - Tibial",-1.1261113787131
21,"Skin - Sun Exposed (Lower leg)",-1.3878637758907
21,"Esophagus - Muscularis",-1.17648748710028
21,"Brain - Anterior cingulate cortex (BA24)",-1.75626457422376
21,"Uterus",-0.640231336183884
22,"Vagina",-1.33743733725848
22,"Cells - Cultured fibroblasts",0.723643106686657
22,"Heart - Atrial Appendage",0.123145118469855
22,"Thyroid",0.15395722009142
22,"Adipose - Visceral (Omentum)",2.2931825764318
22,"Liver",1.33133874094413
22,"Lung",1.63385415205809
22,"Skin - Not Sun Exposed (Suprapubic)",-0.0190786289459527
22,"Spleen",-1.54323020773787
22,"Testis",-1.28131041190495
22,"Esophagus - Gastroesophageal Junction",-1.52001026684611
22,"Minor Salivary Gland",-1.64689806924137
22,"Artery - Tibial",-2.1055991957878
