"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Artery - Coronary",0.650003369772363
20,"Colon - Transverse",
20,"Esophagus - Gastroesophageal Junction",-1.32335645739123
20,"Minor Salivary Gland",
20,"Testis",-0.251108461283212
20,"Spleen",
20,"Kidney - Cortex",
20,"Prostate",
20,"Stomach",
20,"Cells - Cultured fibroblasts",-1.98275333722092
20,"Lung",
20,"Colon - Sigmoid",-2.09699941481455
20,"Pituitary",-2.78566614561191
20,"Adipose - Visceral (Omentum)",
20,"Brain - Cortex",-3.10298161020845
20,"Brain - Hippocampus",-2.49616984536851
20,"Heart - Atrial Appendage",-2.87191552857909
20,"Skin - Not Sun Exposed (Suprapubic)",-2.55236457921977
20,"Vagina",
20,"Uterus",
20,"Brain - Substantia nigra",-1.40162357187618
20,"Small Intestine - Terminal Ileum",
20,"Nerve - Tibial",2.49128538747999
20,"Brain - Cerebellar Hemisphere",2.61815566407896
20,"Brain - Frontal Cortex (BA9)",2.40417490557428
20,"Muscle - Skeletal",1.98078860470778
20,"Brain - Cerebellum",0.465690982007855
20,"Brain - Hypothalamus",0.490712025590585
20,"Brain - Nucleus accumbens (basal ganglia)",1.71917482902332
20,"Whole Blood",2.19868808075477
20,"Adipose - Subcutaneous",
20,"Artery - Tibial",1.91803313043969
20,"Artery - Aorta",
20,"Skin - Sun Exposed (Lower leg)",
20,"Thyroid",0.410937550320501
20,"Brain - Anterior cingulate cortex (BA24)",0.404464937449546
20,"Ovary",
20,"Cells - EBV-transformed lymphocytes",
20,"Esophagus - Muscularis",2.90704905106099
20,"Brain - Amygdala",0.748481201523152
20,"Heart - Left Ventricle",2.23584528326963
20,"Breast - Mammary Tissue",
20,"Esophagus - Mucosa",1.14185363589399
20,"Liver",
20,"Pancreas",
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Spinal cord (cervical c-1)",
20,"Adrenal Gland",
20,"Brain - Putamen (basal ganglia)",1.80499495965594
21,"Artery - Coronary",0.462479637372715
21,"Colon - Transverse",-1.29546310634076
21,"Esophagus - Gastroesophageal Junction",-1.28254387138359
21,"Minor Salivary Gland",0.0656500461157156
21,"Testis",-0.371309540005732
21,"Spleen",-2.53571421992276
21,"Kidney - Cortex",
21,"Prostate",-2.03087743532935
21,"Stomach",-1.40836936527347
21,"Cells - Cultured fibroblasts",-1.90648745691633
21,"Lung",-2.65045032353004
21,"Colon - Sigmoid",-1.97409956376643
21,"Pituitary",-2.52553598357741
21,"Adipose - Visceral (Omentum)",-2.36886211163212
21,"Brain - Cortex",-2.71179097479399
21,"Brain - Hippocampus",-2.18152996924804
21,"Heart - Atrial Appendage",-2.53871693917582
21,"Skin - Not Sun Exposed (Suprapubic)",-2.15681850340956
21,"Vagina",-1.46937538742999
21,"Uterus",-0.952551855439703
21,"Brain - Substantia nigra",-1.01026176737642
21,"Small Intestine - Terminal Ileum",0.198683282931035
21,"Nerve - Tibial",2.27799107108697
21,"Brain - Cerebellar Hemisphere",2.4229069250371
21,"Brain - Frontal Cortex (BA9)",2.25086649624238
21,"Muscle - Skeletal",1.78599931606668
21,"Brain - Cerebellum",0.623707341836759
21,"Brain - Hypothalamus",0.655549358577257
21,"Brain - Nucleus accumbens (basal ganglia)",1.67867523109476
21,"Whole Blood",2.05700553628504
21,"Adipose - Subcutaneous",1.87682905561901
21,"Artery - Tibial",1.79055433442306
21,"Artery - Aorta",1.52375370085539
21,"Skin - Sun Exposed (Lower leg)",0.407435147494104
21,"Thyroid",0.458337467313127
21,"Brain - Anterior cingulate cortex (BA24)",0.554176053442141
21,"Ovary",1.00297613508789
21,"Cells - EBV-transformed lymphocytes",2.01766432601759
21,"Esophagus - Muscularis",2.28615149190869
21,"Brain - Amygdala",0.65614409107155
21,"Heart - Left Ventricle",1.87523560533926
21,"Breast - Mammary Tissue",0.27369657950938
21,"Esophagus - Mucosa",0.839256870272813
21,"Liver",1.08893617154401
21,"Pancreas",1.95910216631753
21,"Brain - Caudate (basal ganglia)",
21,"Brain - Spinal cord (cervical c-1)",
21,"Adrenal Gland",2.2006727537141
21,"Brain - Putamen (basal ganglia)",1.74406950680468
22,"Artery - Coronary",0.288259926370158
22,"Colon - Transverse",-1.08886149338821
22,"Esophagus - Gastroesophageal Junction",-1.24199834231999
22,"Minor Salivary Gland",-0.158184544828341
22,"Testis",-0.481674021788376
22,"Spleen",-2.22018863028922
22,"Kidney - Cortex",
22,"Prostate",-1.89518249493909
22,"Stomach",-1.37810856847478
22,"Cells - Cultured fibroblasts",-1.82685143895242
22,"Lung",-2.41887501422013
22,"Colon - Sigmoid",-1.85108944349604
22,"Pituitary",-2.27824030710466
22,"Adipose - Visceral (Omentum)",-2.11835823626512
22,"Brain - Cortex",-2.34046753299777
22,"Brain - Hippocampus",-1.88726452526013
22,"Heart - Atrial Appendage",-2.22666479075089
22,"Skin - Not Sun Exposed (Suprapubic)",-1.78577761576564
22,"Vagina",-1.19627793006914
22,"Uterus",-0.76504707441335
22,"Brain - Substantia nigra",-0.653039598597868
22,"Small Intestine - Terminal Ileum",0.35494205053822
22,"Nerve - Tibial",2.07353910221132
22,"Brain - Cerebellar Hemisphere",2.23086964341846
22,"Brain - Frontal Cortex (BA9)",2.09853871523604
22,"Muscle - Skeletal",1.60330669389628
22,"Brain - Cerebellum",0.763275245227132
22,"Brain - Hypothalamus",0.799981047041705
22,"Brain - Nucleus accumbens (basal ganglia)",1.63381992004541
22,"Whole Blood",1.9191257195196
22,"Adipose - Subcutaneous",1.77377936686988
22,"Artery - Tibial",1.66784798776875
22,"Artery - Aorta",1.49003660144187
22,"Skin - Sun Exposed (Lower leg)",0.462368687650699
22,"Thyroid",0.504573180054511
22,"Brain - Anterior cingulate cortex (BA24)",0.687849060316705
22,"Ovary",0.966285387421604
22,"Cells - EBV-transformed lymphocytes",1.61621233972889
22,"Esophagus - Muscularis",1.7056114116409
22,"Brain - Amygdala",0.555709803583151
22,"Heart - Left Ventricle",1.53497469210814
22,"Breast - Mammary Tissue",0.140984658816488
22,"Esophagus - Mucosa",0.558195525485448
22,"Liver",0.814434218136111
22,"Pancreas",1.60392829220591
22,"Brain - Caudate (basal ganglia)",0.953365286521291
22,"Brain - Spinal cord (cervical c-1)",0.85045014670009
22,"Adrenal Gland",1.9547295151749
22,"Brain - Putamen (basal ganglia)",1.66752271549114
23,"Artery - Coronary",0.127132752587201
23,"Colon - Transverse",-0.900105996058624
23,"Esophagus - Gastroesophageal Junction",-1.20139484582781
23,"Minor Salivary Gland",-0.363886726313836
23,"Testis",-0.582180796266638
23,"Spleen",-1.92607310418853
23,"Kidney - Cortex",
23,"Prostate",-1.76462580129011
23,"Stomach",-1.34656648722311
23,"Cells - Cultured fibroblasts",-1.74410989873465
23,"Lung",-2.19752382254692
23,"Colon - Sigmoid",-1.7277940289272
23,"Pituitary",-2.04338424423724
23,"Adipose - Visceral (Omentum)",-1.87665954189118
23,"Brain - Cortex",-1.98890706312793
23,"Brain - Hippocampus",-1.61296445685725
23,"Heart - Atrial Appendage",-1.93505179424894
23,"Skin - Not Sun Exposed (Suprapubic)",-1.43892760661404
23,"Vagina",-0.937934077497924
23,"Uterus",-0.585918798803145
23,"Brain - Substantia nigra",-0.329008130736589
23,"Small Intestine - Terminal Ileum",0.49738373352706
23,"Nerve - Tibial",1.87775014492975
23,"Brain - Cerebellar Hemisphere",2.04229115146697
23,"Brain - Frontal Cortex (BA9)",1.94740890536005
23,"Muscle - Skeletal",1.43236467405914
23,"Brain - Cerebellum",0.88489112689797
23,"Brain - Hypothalamus",0.924694830755413
23,"Brain - Nucleus accumbens (basal ganglia)",1.58465982827021
23,"Whole Blood",1.78510434135334
23,"Adipose - Subcutaneous",1.67312089710428
23,"Artery - Tibial",1.54985708839884
23,"Artery - Aorta",1.45305681948784
23,"Skin - Sun Exposed (Lower leg)",0.513126741261469
23,"Thyroid",0.549614180049203
23,"Brain - Anterior cingulate cortex (BA24)",0.80552603743221
23,"Ovary",0.927686172422882
23,"Cells - EBV-transformed lymphocytes",1.23859151304499
23,"Esophagus - Muscularis",1.16618664070301
23,"Brain - Amygdala",0.4484551800528
23,"Heart - Left Ventricle",1.21505408816686
23,"Breast - Mammary Tissue",0.0120619839352159
23,"Esophagus - Mucosa",0.298717992595749
23,"Liver",0.558563570517199
23,"Pancreas",1.27066233152705
23,"Brain - Caudate (basal ganglia)",0.773085473951595
23,"Brain - Spinal cord (cervical c-1)",0.919092995400327
23,"Adrenal Gland",1.71582170179588
23,"Brain - Putamen (basal ganglia)",1.57680226001736
24,"Artery - Coronary",-0.021113368153772
24,"Colon - Transverse",-0.72866188113712
24,"Esophagus - Gastroesophageal Junction",-1.16040835753429
24,"Minor Salivary Gland",-0.551426237968041
24,"Testis",-0.672808753075959
24,"Spleen",-1.6532984213199
24,"Kidney - Cortex",
24,"Prostate",-1.63915358905728
24,"Stomach",-1.31365222080708
24,"Cells - Cultured fibroblasts",-1.65852745166816
24,"Lung",-1.98625464531663
24,"Colon - Sigmoid",-1.60403829498356
24,"Pituitary",-1.82057292301871
24,"Adipose - Visceral (Omentum)",-1.64385196120233
24,"Brain - Cortex",-1.65700534349264
24,"Brain - Hippocampus",-1.35822070749186
24,"Heart - Atrial Appendage",-1.66317066061464
24,"Skin - Not Sun Exposed (Suprapubic)",-1.11595416628056
24,"Vagina",-0.694307535456528
24,"Uterus",-0.415063771762566
24,"Brain - Substantia nigra",-0.0372184289887593
24,"Small Intestine - Terminal Ileum",0.626727265357763
24,"Nerve - Tibial",1.69044486331854
24,"Brain - Cerebellar Hemisphere",1.85741878142656
24,"Brain - Frontal Cortex (BA9)",1.79769440941924
24,"Muscle - Skeletal",1.27282719241762
24,"Brain - Cerebellum",0.989051421568189
24,"Brain - Hypothalamus",1.03037844948987
24,"Brain - Nucleus accumbens (basal ganglia)",1.53124588816412
24,"Whole Blood",1.65499711268126
24,"Adipose - Subcutaneous",1.57485541113567
24,"Artery - Tibial",1.43652463423537
24,"Artery - Aorta",1.41287542326468
24,"Skin - Sun Exposed (Lower leg)",0.559694543022463
24,"Thyroid",0.59342995880168
24,"Brain - Anterior cingulate cortex (BA24)",0.907249064147479
24,"Ovary",0.887412157894988
24,"Cells - EBV-transformed lymphocytes",0.884874351116838
24,"Esophagus - Muscularis",0.668635009539989
24,"Brain - Amygdala",0.33565706147535
24,"Heart - Left Ventricle",0.915465338105989
24,"Breast - Mammary Tissue",-0.112754209592931
24,"Esophagus - Mucosa",0.0608726626677737
24,"Liver",0.321709541838455
24,"Pancreas",0.959212734085411
24,"Brain - Caudate (basal ganglia)",0.610888031467607
24,"Brain - Spinal cord (cervical c-1)",0.96999048924565
24,"Adrenal Gland",1.48432456813804
24,"Brain - Putamen (basal ganglia)",1.47335581468543
25,"Artery - Coronary",-0.156689920030359
25,"Colon - Transverse",-0.573994415409003
25,"Esophagus - Gastroesophageal Junction",-1.1187138530667
25,"Minor Salivary Gland",-0.720772819418258
25,"Testis",-0.753536781851866
25,"Spleen",-1.40179536138249
25,"Kidney - Cortex",
25,"Prostate",-1.51871209291539
25,"Stomach",-1.27927486851532
25,"Cells - Cultured fibroblasts",-1.57036871315851
25,"Lung",-1.78492537933549
25,"Colon - Sigmoid",-1.47964721658893
25,"Pituitary",-1.60941147149261
25,"Adipose - Visceral (Omentum)",-1.42002142689054
25,"Brain - Cortex",-1.34465815240002
25,"Brain - Hippocampus",-1.12262422061639
25,"Heart - Atrial Appendage",-1.41031410079261
25,"Skin - Not Sun Exposed (Suprapubic)",-0.816542985091024
25,"Vagina",-0.465362009685118
25,"Uterus",-0.252378736445168
25,"Brain - Substantia nigra",0.223278441449539
25,"Small Intestine - Terminal Ileum",0.743691579490611
25,"Nerve - Tibial",1.51144392145418
25,"Brain - Cerebellar Hemisphere",1.67649986554115
25,"Brain - Frontal Cortex (BA9)",1.64961257021837
25,"Muscle - Skeletal",1.12434818483431
25,"Brain - Cerebellum",1.07625256395673
25,"Brain - Hypothalamus",1.11771964301655
25,"Brain - Nucleus accumbens (basal ganglia)",1.47362903212211
25,"Whole Blood",1.52885974439825
25,"Adipose - Subcutaneous",1.47898467377751
25,"Artery - Tibial",1.32779362320039
25,"Artery - Aorta",1.36955348104376
25,"Skin - Sun Exposed (Lower leg)",0.602057327629636
25,"Thyroid",0.635990007816492
25,"Brain - Anterior cingulate cortex (BA24)",0.993060219821404
25,"Ovary",0.845697011641214
25,"Cells - EBV-transformed lymphocytes",0.555133359095287
25,"Esophagus - Muscularis",0.213714348597186
25,"Brain - Amygdala",0.218592288845655
25,"Heart - Left Ventricle",0.63619998651602
25,"Breast - Mammary Tissue",-0.233146686226379
25,"Esophagus - Mucosa",-0.155292073234523
25,"Liver",0.104257445251191
25,"Pancreas",0.669487949685475
25,"Brain - Caudate (basal ganglia)",0.465719473383767
25,"Brain - Spinal cord (cervical c-1)",1.0036918869019
25,"Adrenal Gland",1.26061336876233
25,"Brain - Putamen (basal ganglia)",1.35863105379735
26,"Artery - Coronary",-0.279808387220081
26,"Colon - Transverse",-0.435568865659515
26,"Esophagus - Gastroesophageal Junction",-1.07598630805238
26,"Minor Salivary Gland",-0.871896210291748
26,"Testis",-0.824343772229802
26,"Spleen",-1.17149470407547
26,"Kidney - Cortex",
26,"Prostate",-1.40324754753933
26,"Stomach",-1.24334352963649
26,"Cells - Cultured fibroblasts",-1.479898298611
26,"Lung",-1.59339392140968
26,"Colon - Sigmoid",-1.35444576866708
26,"Pituitary",-1.40950501770252
26,"Adipose - Visceral (Omentum)",-1.20525387164786
26,"Brain - Cortex",-1.05176126815823
26,"Brain - Hippocampus",-0.905765939683318
26,"Heart - Atrial Appendage",-1.17577482572759
26,"Skin - Not Sun Exposed (Suprapubic)",-0.540379753371315
26,"Vagina",-0.251061205923969
26,"Uterus",-0.0977604360045617
26,"Brain - Substantia nigra",0.453431415382198
