"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Minor Salivary Gland",
20,"Brain - Spinal cord (cervical c-1)",
20,"Brain - Substantia nigra",-1.49519513037273
20,"Skin - Not Sun Exposed (Suprapubic)",0.562346389131421
20,"Muscle - Skeletal",0.889436402226472
20,"Artery - Coronary",-0.721743981304028
20,"Skin - Sun Exposed (Lower leg)",
20,"Adipose - Visceral (Omentum)",
20,"Adipose - Subcutaneous",
20,"Lung",
20,"Heart - Atrial Appendage",-2.1164900943873
20,"Esophagus - Gastroesophageal Junction",-2.37514633803485
20,"Esophagus - Mucosa",-1.74550991421365
20,"Kidney - Cortex",
20,"Vagina",
20,"Spleen",
20,"Whole Blood",-0.557648628057674
20,"Brain - Hippocampus",-2.9899737571568
20,"Artery - Tibial",-1.97641829609321
20,"Breast - Mammary Tissue",
20,"Brain - Cerebellum",-2.97610480137583
20,"Liver",
20,"Stomach",
20,"Uterus",
20,"Pancreas",
20,"Colon - Sigmoid",-3.05816655813123
20,"Small Intestine - Terminal Ileum",
20,"Nerve - Tibial",-2.1047089742955
20,"Brain - Amygdala",-1.97148182599919
20,"Heart - Left Ventricle",-1.89979704633638
20,"Esophagus - Muscularis",-2.34007570258262
20,"Testis",-2.47502667379541
20,"Adrenal Gland",
20,"Pituitary",-2.48294089912445
20,"Prostate",
20,"Thyroid",0.536488832121628
20,"Cells - EBV-transformed lymphocytes",
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Putamen (basal ganglia)",2.88956750359632
20,"Brain - Cerebellar Hemisphere",-0.813705684009346
20,"Colon - Transverse",
20,"Ovary",
20,"Artery - Aorta",
20,"Cells - Cultured fibroblasts",0.138407553480473
20,"Brain - Anterior cingulate cortex (BA24)",0.255465512123182
20,"Brain - Frontal Cortex (BA9)",-0.299316209665333
20,"Brain - Hypothalamus",1.51608873062176
20,"Brain - Cortex",1.52887305876356
20,"Brain - Nucleus accumbens (basal ganglia)",2.27899087556306
21,"Minor Salivary Gland",1.83463986539744
21,"Brain - Spinal cord (cervical c-1)",
21,"Brain - Substantia nigra",-1.21917908105532
21,"Skin - Not Sun Exposed (Suprapubic)",0.418366074636677
21,"Muscle - Skeletal",0.579630813654924
21,"Artery - Coronary",-0.751458736804445
21,"Skin - Sun Exposed (Lower leg)",-1.04833818338221
21,"Adipose - Visceral (Omentum)",-0.749611199961317
21,"Adipose - Subcutaneous",-1.05628482398378
21,"Lung",-1.38273015774291
21,"Heart - Atrial Appendage",-1.93240293430725
21,"Esophagus - Gastroesophageal Junction",-2.13878569894592
21,"Esophagus - Mucosa",-1.63654987696273
21,"Kidney - Cortex",
21,"Vagina",-2.12305793619639
21,"Spleen",-1.47825536329878
21,"Whole Blood",-0.522979054110863
21,"Brain - Hippocampus",-2.5236600631212
21,"Artery - Tibial",-1.82333703607857
21,"Breast - Mammary Tissue",-2.45223323061846
21,"Brain - Cerebellum",-2.67041250416108
21,"Liver",-3.19757893025042
21,"Stomach",-2.90300010416544
21,"Uterus",-2.68072360576718
21,"Pancreas",-2.55620307538456
21,"Colon - Sigmoid",-2.71242400549827
21,"Small Intestine - Terminal Ileum",-2.66733570449143
21,"Nerve - Tibial",-1.95770067499207
21,"Brain - Amygdala",-1.84541442154673
21,"Heart - Left Ventricle",-1.82716381423296
21,"Esophagus - Muscularis",-2.15700983509433
21,"Testis",-2.2662693611481
21,"Adrenal Gland",-2.98927357131748
21,"Pituitary",-2.310651992424
21,"Prostate",1.54713190417617
21,"Thyroid",0.277698957844041
21,"Cells - EBV-transformed lymphocytes",2.6364798633611
21,"Brain - Caudate (basal ganglia)",
21,"Brain - Putamen (basal ganglia)",2.60929928209356
21,"Brain - Cerebellar Hemisphere",-0.567842456677133
21,"Colon - Transverse",-0.829048003266362
21,"Ovary",-1.41386815847438
21,"Artery - Aorta",-0.117137048817828
21,"Cells - Cultured fibroblasts",0.185561688425229
21,"Brain - Anterior cingulate cortex (BA24)",0.394327038823703
21,"Brain - Frontal Cortex (BA9)",-0.0803512601931164
21,"Brain - Hypothalamus",1.50080888217568
21,"Brain - Cortex",1.5132042879444
21,"Brain - Nucleus accumbens (basal ganglia)",2.11730496945272
22,"Minor Salivary Gland",1.52820983884681
22,"Brain - Spinal cord (cervical c-1)",-0.908691318595745
22,"Brain - Substantia nigra",-0.964387797065001
22,"Skin - Not Sun Exposed (Suprapubic)",0.283878654638819
22,"Muscle - Skeletal",0.294153121232288
22,"Artery - Coronary",-0.776916292233654
22,"Skin - Sun Exposed (Lower leg)",-1.07137928306352
22,"Adipose - Visceral (Omentum)",-0.840641661949125
22,"Adipose - Subcutaneous",-1.13754916798206
22,"Lung",-1.33831948065357
22,"Heart - Atrial Appendage",-1.75772625804003
22,"Esophagus - Gastroesophageal Junction",-1.91472130263031
22,"Esophagus - Mucosa",-1.53051727694639
22,"Kidney - Cortex",
22,"Vagina",-1.78171023406151
22,"Spleen",-1.31062204983942
22,"Whole Blood",-0.493723317085447
22,"Brain - Hippocampus",-2.09103359497963
22,"Artery - Tibial",-1.6741796091471
22,"Breast - Mammary Tissue",-2.23810607479054
22,"Brain - Cerebellum",-2.37679510142301
22,"Liver",-2.80330655273665
22,"Stomach",-2.54021897143047
22,"Uterus",-2.33782287800105
22,"Pancreas",-2.25223328992443
22,"Colon - Sigmoid",-2.38397713711595
22,"Small Intestine - Terminal Ileum",-2.4255783306599
22,"Nerve - Tibial",-1.81613774659963
22,"Brain - Amygdala",-1.72623443599703
22,"Heart - Left Ventricle",-1.75268563661504
22,"Esophagus - Muscularis",-1.98023117467694
22,"Testis",-2.06524430712242
22,"Adrenal Gland",-2.66053492310629
22,"Pituitary",-2.14073820347222
22,"Prostate",1.07381688460694
22,"Thyroid",0.0412173350060087
22,"Cells - EBV-transformed lymphocytes",2.26356739428239
22,"Brain - Caudate (basal ganglia)",2.21710496393831
22,"Brain - Putamen (basal ganglia)",2.33878801099045
22,"Brain - Cerebellar Hemisphere",-0.333805203062857
22,"Colon - Transverse",-0.714912425022795
22,"Ovary",-1.1837184649444
22,"Artery - Aorta",-0.0401298191327285
22,"Cells - Cultured fibroblasts",0.236092490792149
22,"Brain - Anterior cingulate cortex (BA24)",0.522728638063116
22,"Brain - Frontal Cortex (BA9)",0.120975551151202
22,"Brain - Hypothalamus",1.47892841992802
22,"Brain - Cortex",1.49147123660574
22,"Brain - Nucleus accumbens (basal ganglia)",1.96202050098452
23,"Minor Salivary Gland",1.24149041712137
23,"Brain - Spinal cord (cervical c-1)",-0.797992802017434
23,"Brain - Substantia nigra",-0.730408811248293
23,"Skin - Not Sun Exposed (Suprapubic)",0.158752118415269
23,"Muscle - Skeletal",0.0325655128843202
23,"Artery - Coronary",-0.798181342705447
23,"Skin - Sun Exposed (Lower leg)",-1.0868210882837
23,"Adipose - Visceral (Omentum)",-0.915746298774551
23,"Adipose - Subcutaneous",-1.2047378590873
23,"Lung",-1.29423449905359
23,"Heart - Atrial Appendage",-1.59222069354925
23,"Esophagus - Gastroesophageal Junction",-1.70279940340469
23,"Esophagus - Mucosa",-1.42744756777581
23,"Kidney - Cortex",
23,"Vagina",-1.46383436031038
23,"Spleen",-1.15746215835169
23,"Whole Blood",-0.469600600511813
23,"Brain - Hippocampus",-1.69113772411425
23,"Artery - Tibial",-1.52902013975142
23,"Breast - Mammary Tissue",-2.03164271521567
23,"Brain - Cerebellum",-2.09528439342813
23,"Liver",-2.4290918854213
23,"Stomach",-2.20045006626759
23,"Uterus",-2.01606473313329
23,"Pancreas",-1.96878230105012
23,"Colon - Sigmoid",-2.07282598903469
23,"Small Intestine - Terminal Ileum",-2.19346479192817
23,"Nerve - Tibial",-1.68005266136617
23,"Brain - Amygdala",-1.61352468609865
23,"Heart - Left Ventricle",-1.67639252520373
23,"Esophagus - Muscularis",-1.80975096543242
23,"Testis",-1.8718843280154
23,"Adrenal Gland",-2.34995474021168
23,"Pituitary",-1.9733733189162
23,"Prostate",0.635904376585621
23,"Thyroid",-0.173237103016181
23,"Cells - EBV-transformed lymphocytes",1.91299360294068
23,"Brain - Caudate (basal ganglia)",1.83313146322187
23,"Brain - Putamen (basal ganglia)",2.07815148407786
23,"Brain - Cerebellar Hemisphere",-0.112217730251819
23,"Colon - Transverse",-0.605589872646431
23,"Ovary",-0.96368482780125
23,"Artery - Aorta",0.0341545714568672
23,"Cells - Cultured fibroblasts",0.289336503466868
23,"Brain - Anterior cingulate cortex (BA24)",0.64049716181366
23,"Brain - Frontal Cortex (BA9)",0.304903620569922
23,"Brain - Hypothalamus",1.45079666680064
23,"Brain - Cortex",1.46382616819313
23,"Brain - Nucleus accumbens (basal ganglia)",1.81293855888799
24,"Minor Salivary Gland",0.974467003018084
24,"Brain - Spinal cord (cervical c-1)",-0.703276049603815
24,"Brain - Substantia nigra",-0.516829656451951
24,"Skin - Not Sun Exposed (Suprapubic)",0.0428544552433686
24,"Muscle - Skeletal",-0.205569823463314
24,"Artery - Coronary",-0.815318583333675
24,"Skin - Sun Exposed (Lower leg)",-1.09491586101893
24,"Adipose - Visceral (Omentum)",-0.975641196155447
24,"Adipose - Subcutaneous",-1.25828498373795
24,"Lung",-1.25043903013374
24,"Heart - Atrial Appendage",-1.43564686879849
24,"Esophagus - Gastroesophageal Junction",-1.50286625558576
24,"Esophagus - Mucosa",-1.32737620306202
24,"Kidney - Cortex",
24,"Vagina",-1.16920711699524
24,"Spleen",-1.01854622710142
24,"Whole Blood",-0.45033008792038
24,"Brain - Hippocampus",-1.32301582190732
24,"Artery - Tibial",-1.38793275234413
24,"Breast - Mammary Tissue",-1.83292827721001
24,"Brain - Cerebellum",-1.82591218044287
24,"Liver",-2.0750025895809
24,"Stomach",-1.88320775178758
24,"Uterus",-1.71566303169843
24,"Pancreas",-1.70543340558781
24,"Colon - Sigmoid",-1.77897059730476
24,"Small Intestine - Terminal Ileum",-1.97101651188324
24,"Nerve - Tibial",-1.54947789153959
24,"Brain - Amygdala",-1.5068679886002
24,"Heart - Left Ventricle",-1.59831449172014
24,"Esophagus - Muscularis",-1.64558045146286
24,"Testis",-1.68612224012402
24,"Adrenal Gland",-2.05731772401686
24,"Pituitary",-1.80873112540304
24,"Prostate",0.233281907288025
24,"Thyroid",-0.365945422846013
24,"Cells - EBV-transformed lymphocytes",1.58478959975389
24,"Brain - Caudate (basal ganglia)",1.47295087985558
24,"Brain - Putamen (basal ganglia)",1.8275074951467
24,"Brain - Cerebellar Hemisphere",0.0962961546706809
24,"Colon - Transverse",-0.501190378947073
24,"Ovary",-0.753775857824915
24,"Artery - Aorta",0.105467085853001
24,"Cells - Cultured fibroblasts",0.344630269335055
24,"Brain - Anterior cingulate cortex (BA24)",0.747459462047508
24,"Brain - Frontal Cortex (BA9)",0.471672344265368
24,"Brain - Hypothalamus",1.41676294571538
24,"Brain - Cortex",1.43042134615216
24,"Brain - Nucleus accumbens (basal ganglia)",1.66986023189267
25,"Minor Salivary Gland",0.727124999333858
25,"Brain - Spinal cord (cervical c-1)",-0.623417104953356
25,"Brain - Substantia nigra",-0.323237865522469
25,"Skin - Not Sun Exposed (Suprapubic)",-0.0639463455994446
25,"Muscle - Skeletal",-0.420690699884881
25,"Artery - Coronary",-0.828392709232106
25,"Skin - Sun Exposed (Lower leg)",-1.09591586324536
25,"Adipose - Visceral (Omentum)",-1.02104243980967
25,"Adipose - Subcutaneous",-1.29862462837237
25,"Lung",-1.2068968910849
25,"Heart - Atrial Appendage",-1.28776541175131
25,"Esophagus - Gastroesophageal Junction",-1.31476811349018
25,"Esophagus - Mucosa",-1.23033863641606
25,"Kidney - Cortex",
25,"Vagina",-0.897605306168318
25,"Spleen",-0.893644794354478
25,"Whole Blood",-0.435630962841478
25,"Brain - Hippocampus",-0.985711259741018
25,"Artery - Tibial",-1.25099157137785
25,"Breast - Mammary Tissue",-1.64204788608966
25,"Brain - Cerebellum",-1.56871026273371
25,"Liver",-1.74110632649197
25,"Stomach",-1.58800639110114
25,"Uterus",-1.43683163423103
25,"Pancreas",-1.46176990036369
25,"Colon - Sigmoid",-1.5024109979766
25,"Small Intestine - Terminal Ileum",-1.75825491411212
25,"Nerve - Tibial",-1.42444590936794
25,"Brain - Amygdala",-1.40584716025031
25,"Heart - Left Ventricle",-1.51848154788543
25,"Esophagus - Muscularis",-1.48773087687032
25,"Testis",-1.50789085974533
25,"Adrenal Gland",-1.78240857590511
25,"Pituitary",-1.64698540957984
25,"Prostate",-0.134162996110284
25,"Thyroid",-0.537188691107134
25,"Cells - EBV-transformed lymphocytes",1.27898649513989
25,"Brain - Caudate (basal ganglia)",1.13662451759322
25,"Brain - Putamen (basal ganglia)",1.58697383798785
25,"Brain - Cerebellar Hemisphere",0.29111264461922
25,"Colon - Transverse",-0.401823976734638
25,"Ovary",-0.554000165795457
25,"Artery - Aorta",0.173558686957741
25,"Cells - Cultured fibroblasts",0.401310331282389
25,"Brain - Anterior cingulate cortex (BA24)",0.843442390736881
25,"Brain - Frontal Cortex (BA9)",0.621521118439828
25,"Brain - Hypothalamus",1.37717657959411
25,"Brain - Cortex",1.39140903392845
25,"Brain - Nucleus accumbens (basal ganglia)",1.53258660872806
26,"Minor Salivary Gland",0.49944980886558
26,"Brain - Spinal cord (cervical c-1)",-0.557292011664527
26,"Brain - Substantia nigra",-0.14922097130644
26,"Skin - Not Sun Exposed (Suprapubic)",-0.161782294835812
26,"Muscle - Skeletal",-0.613234928454636
26,"Artery - Coronary",-0.837468415514599
26,"Skin - Sun Exposed (Lower leg)",-1.09007335693915
26,"Adipose - Visceral (Omentum)",-1.05266611545519
26,"Adipose - Subcutaneous",-1.32619087942899
