"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Brain - Hypothalamus",-2.70747863439894
20,"Brain - Putamen (basal ganglia)",-3.06805308587505
20,"Liver",
20,"Brain - Caudate (basal ganglia)",
20,"Colon - Sigmoid",-2.91471279490469
20,"Brain - Substantia nigra",-2.79956591316719
20,"Testis",-2.79568475486952
20,"Brain - Anterior cingulate cortex (BA24)",-2.66857349443132
20,"Brain - Cortex",-2.61005350878534
20,"Whole Blood",-1.76633659110321
20,"Heart - Left Ventricle",-1.91086901759623
20,"Lung",
20,"Pancreas",
20,"Spleen",
20,"Heart - Atrial Appendage",-2.27925023168264
20,"Small Intestine - Terminal Ileum",
20,"Cells - Cultured fibroblasts",-1.50718416307869
20,"Brain - Frontal Cortex (BA9)",-0.148522995727188
20,"Nerve - Tibial",-0.0913333829344637
20,"Cells - EBV-transformed lymphocytes",
20,"Pituitary",-1.55243803042482
20,"Stomach",
20,"Brain - Cerebellum",-2.43020688090721
20,"Brain - Hippocampus",-2.70289155320341
20,"Minor Salivary Gland",
20,"Esophagus - Mucosa",0.394977717898113
20,"Uterus",
20,"Esophagus - Muscularis",-1.23278218592283
20,"Vagina",
20,"Kidney - Cortex",
20,"Brain - Cerebellar Hemisphere",2.06856163315284
20,"Adipose - Subcutaneous",
20,"Adipose - Visceral (Omentum)",
20,"Artery - Tibial",1.83208848794433
20,"Muscle - Skeletal",2.18210164564801
20,"Ovary",
20,"Skin - Sun Exposed (Lower leg)",
20,"Esophagus - Gastroesophageal Junction",1.85171341413337
20,"Artery - Aorta",
20,"Brain - Nucleus accumbens (basal ganglia)",1.02738876607192
20,"Brain - Spinal cord (cervical c-1)",
20,"Brain - Amygdala",1.86172876325711
20,"Artery - Coronary",2.43646784364937
20,"Breast - Mammary Tissue",
20,"Colon - Transverse",
20,"Prostate",
20,"Skin - Not Sun Exposed (Suprapubic)",1.12869702193101
20,"Adrenal Gland",
20,"Thyroid",-1.50503675370851
21,"Brain - Hypothalamus",-2.47853478465099
21,"Brain - Putamen (basal ganglia)",-2.74864293349013
21,"Liver",-2.85659894322331
21,"Brain - Caudate (basal ganglia)",
21,"Colon - Sigmoid",-2.5643309762523
21,"Brain - Substantia nigra",-2.52999914453985
21,"Testis",-2.52705816942273
21,"Brain - Anterior cingulate cortex (BA24)",-2.39710472153971
21,"Brain - Cortex",-2.37837833662748
21,"Whole Blood",-1.68697878366218
21,"Heart - Left Ventricle",-1.82532480021576
21,"Lung",-1.37131859389976
21,"Pancreas",-2.22829057927021
21,"Spleen",-2.0590144289915
21,"Heart - Atrial Appendage",-2.06523824155441
21,"Small Intestine - Terminal Ileum",-1.46621944802836
21,"Cells - Cultured fibroblasts",-1.40031656781522
21,"Brain - Frontal Cortex (BA9)",-0.229012270769706
21,"Nerve - Tibial",-0.0512566710474458
21,"Cells - EBV-transformed lymphocytes",-2.10821834981905
21,"Pituitary",-1.42480816870799
21,"Stomach",-3.1572944842427
21,"Brain - Cerebellum",-2.11644726111012
21,"Brain - Hippocampus",-2.270894445439
21,"Minor Salivary Gland",-0.891440604562792
21,"Esophagus - Mucosa",0.495047116674415
21,"Uterus",0.543709441539954
21,"Esophagus - Muscularis",-0.953610174664118
21,"Vagina",-1.21373719564654
21,"Kidney - Cortex",
21,"Brain - Cerebellar Hemisphere",1.89900195860484
21,"Adipose - Subcutaneous",2.49426018060897
21,"Adipose - Visceral (Omentum)",2.74894495936143
21,"Artery - Tibial",1.70350639192669
21,"Muscle - Skeletal",1.98749608712439
21,"Ovary",1.75657058069314
21,"Skin - Sun Exposed (Lower leg)",1.90451012728331
21,"Esophagus - Gastroesophageal Junction",1.77917113635342
21,"Artery - Aorta",1.50968874516539
21,"Brain - Nucleus accumbens (basal ganglia)",1.077723480836
21,"Brain - Spinal cord (cervical c-1)",
21,"Brain - Amygdala",1.70966161166665
21,"Artery - Coronary",2.22878498333573
21,"Breast - Mammary Tissue",2.98336215413089
21,"Colon - Transverse",-0.456615013404719
21,"Prostate",-1.53558859619453
21,"Skin - Not Sun Exposed (Suprapubic)",0.897682571107594
21,"Adrenal Gland",0.523390001019589
21,"Thyroid",-1.25945665166552
22,"Brain - Hypothalamus",-2.25229551141569
22,"Brain - Putamen (basal ganglia)",-2.44342165788797
22,"Liver",-2.55830126461018
22,"Brain - Caudate (basal ganglia)",-2.22805854726018
22,"Colon - Sigmoid",-2.23286045222958
22,"Brain - Substantia nigra",-2.26784744384138
22,"Testis",-2.2685309406971
22,"Brain - Anterior cingulate cortex (BA24)",-2.13916164475735
22,"Brain - Cortex",-2.15487876054804
22,"Whole Blood",-1.60926259401743
22,"Heart - Left Ventricle",-1.73982449434178
22,"Lung",-1.35740676650989
22,"Pancreas",-2.04436972372037
22,"Spleen",-1.87029490993369
22,"Heart - Atrial Appendage",-1.86423851868868
22,"Small Intestine - Terminal Ileum",-1.42378207612192
22,"Cells - Cultured fibroblasts",-1.29747803309883
22,"Brain - Frontal Cortex (BA9)",-0.29729155862082
22,"Nerve - Tibial",-0.0158689719389662
22,"Cells - EBV-transformed lymphocytes",-1.77227988438617
22,"Pituitary",-1.28648133382025
22,"Stomach",-2.57334997362359
22,"Brain - Cerebellum",-1.81506911976726
22,"Brain - Hippocampus",-1.86645148239522
22,"Minor Salivary Gland",-0.55415800969901
22,"Esophagus - Mucosa",0.587806192313096
22,"Uterus",0.608830002534565
22,"Esophagus - Muscularis",-0.690733186872449
22,"Vagina",-0.905342434687295
22,"Kidney - Cortex",
22,"Brain - Cerebellar Hemisphere",1.74005884548581
22,"Adipose - Subcutaneous",2.28263099650872
22,"Adipose - Visceral (Omentum)",2.49624348902592
22,"Artery - Tibial",1.58056235390164
22,"Muscle - Skeletal",1.80263966468302
22,"Ovary",1.68157439433818
22,"Skin - Sun Exposed (Lower leg)",1.82698844607098
22,"Esophagus - Gastroesophageal Junction",1.70377976184183
22,"Artery - Aorta",1.47268048858722
22,"Brain - Nucleus accumbens (basal ganglia)",1.12072822533214
22,"Brain - Spinal cord (cervical c-1)",2.78991671339907
22,"Brain - Amygdala",1.54786476705119
22,"Artery - Coronary",2.0246700954974
22,"Breast - Mammary Tissue",2.68385714194975
22,"Colon - Transverse",-0.5684737575001
22,"Prostate",-1.23920915966166
22,"Skin - Not Sun Exposed (Suprapubic)",0.678652602659554
22,"Adrenal Gland",0.639311521481724
22,"Thyroid",-1.03200163745652
23,"Brain - Hypothalamus",-2.02923887414834
23,"Brain - Putamen (basal ganglia)",-2.1523800806994
23,"Liver",-2.27407561015285
23,"Brain - Caudate (basal ganglia)",-2.0380843166114
23,"Colon - Sigmoid",-1.92023758439523
23,"Brain - Substantia nigra",-2.01355627756397
23,"Testis",-2.02014048085212
23,"Brain - Anterior cingulate cortex (BA24)",-1.89447648511086
23,"Brain - Cortex",-1.93951294015212
23,"Whole Blood",-1.5328230119147
23,"Heart - Left Ventricle",-1.65428936722464
23,"Lung",-1.34120773415429
23,"Pancreas",-1.86889722556313
23,"Spleen",-1.69101336164972
23,"Heart - Atrial Appendage",-1.67595169109177
23,"Small Intestine - Terminal Ileum",-1.37967748549852
23,"Cells - Cultured fibroblasts",-1.19865649955604
23,"Brain - Frontal Cortex (BA9)",-0.354012157492372
23,"Nerve - Tibial",0.0147175197329734
23,"Cells - EBV-transformed lymphocytes",-1.45440840150264
23,"Pituitary",-1.1389386823675
23,"Stomach",-2.0289355480347
23,"Brain - Cerebellum",-1.52655737154482
23,"Brain - Hippocampus",-1.48927908629721
23,"Minor Salivary Gland",-0.242134578941521
23,"Esophagus - Mucosa",0.67327174364086
23,"Uterus",0.67009403228376
23,"Esophagus - Muscularis",-0.444248722934968
23,"Vagina",-0.615025355872932
23,"Kidney - Cortex",
23,"Brain - Cerebellar Hemisphere",1.59124690017022
23,"Adipose - Subcutaneous",2.08094124350075
23,"Adipose - Visceral (Omentum)",2.25446976308345
23,"Artery - Tibial",1.46315048578386
23,"Muscle - Skeletal",1.62736407692256
23,"Ovary",1.60744632327038
23,"Skin - Sun Exposed (Lower leg)",1.74790549886379
23,"Esophagus - Gastroesophageal Junction",1.62584258849901
23,"Artery - Aorta",1.43360861472058
23,"Brain - Nucleus accumbens (basal ganglia)",1.15636333851878
23,"Brain - Spinal cord (cervical c-1)",2.45617920728779
23,"Brain - Amygdala",1.37813504429165
23,"Artery - Coronary",1.82431386450413
23,"Breast - Mammary Tissue",2.39630874250357
23,"Colon - Transverse",-0.669756808195029
23,"Prostate",-0.969662131421653
23,"Skin - Not Sun Exposed (Suprapubic)",0.471562527276405
23,"Adrenal Gland",0.738773669520466
23,"Thyroid",-0.822245247138473
24,"Brain - Hypothalamus",-1.80984293230424
24,"Brain - Putamen (basal ganglia)",-1.87550902355523
24,"Liver",-2.00406851504909
24,"Brain - Caudate (basal ganglia)",-1.8446728342607
24,"Colon - Sigmoid",-1.62639873430778
24,"Brain - Substantia nigra",-1.76757111219982
24,"Testis",-1.78192420204723
24,"Brain - Anterior cingulate cortex (BA24)",-1.66278146362689
24,"Brain - Cortex",-1.73223903504486
24,"Whole Blood",-1.4572950270997
24,"Heart - Left Ventricle",-1.56864068611466
24,"Lung",-1.32266672670067
24,"Pancreas",-1.70180678603168
24,"Spleen",-1.52106347844204
24,"Heart - Atrial Appendage",-1.50007838677001
24,"Small Intestine - Terminal Ileum",-1.33445809262213
24,"Cells - Cultured fibroblasts",-1.10383990781335
24,"Brain - Frontal Cortex (BA9)",-0.399825365596229
24,"Nerve - Tibial",0.0403906093104941
24,"Cells - EBV-transformed lymphocytes",-1.15442200687989
24,"Pituitary",-0.983661370955643
24,"Stomach",-1.52366591289397
24,"Brain - Cerebellum",-1.25139693110902
24,"Brain - Hippocampus",-1.13909367937007
24,"Minor Salivary Gland",0.0447574144758792
24,"Esophagus - Mucosa",0.751460569484554
24,"Uterus",0.727562836050049
24,"Esophagus - Muscularis",-0.21425428323889
24,"Vagina",-0.342973661721777
24,"Kidney - Cortex",
24,"Brain - Cerebellar Hemisphere",1.45208072903255
24,"Adipose - Subcutaneous",1.88896538672711
24,"Adipose - Visceral (Omentum)",2.0233987981022
24,"Artery - Tibial",1.35116489948803
24,"Muscle - Skeletal",1.46150102244165
24,"Ovary",1.53414538578017
24,"Skin - Sun Exposed (Lower leg)",1.66731190844853
24,"Esophagus - Gastroesophageal Junction",1.5456629142253
24,"Artery - Aorta",1.39247446848058
24,"Brain - Nucleus accumbens (basal ganglia)",1.18458915935435
24,"Brain - Spinal cord (cervical c-1)",2.13580989630015
24,"Brain - Amygdala",1.20226925826891
24,"Artery - Coronary",1.62790697472566
24,"Breast - Mammary Tissue",2.12065397897409
24,"Colon - Transverse",-0.760323796232403
24,"Prostate",-0.726682654103134
24,"Skin - Not Sun Exposed (Suprapubic)",0.276367755647665
24,"Adrenal Gland",0.821998368970489
24,"Thyroid",-0.629761016768612
25,"Brain - Hypothalamus",-1.59458574533875
25,"Brain - Putamen (basal ganglia)",-1.61279930808625
25,"Liver",-1.74842651449661
25,"Brain - Caudate (basal ganglia)",-1.64926446713538
25,"Colon - Sigmoid",-1.35128026352592
25,"Brain - Substantia nigra",-1.53033741424112
25,"Testis",-1.55391951644192
25,"Brain - Anterior cingulate cortex (BA24)",-1.44380880133207
25,"Brain - Cortex",-1.53301520483137
25,"Whole Blood",-1.38231362931817
25,"Heart - Left Ventricle",-1.48279971826226
25,"Lung",-1.30172897401684
25,"Pancreas",-1.54303210635926
25,"Spleen",-1.36033895461315
25,"Heart - Atrial Appendage",-1.33631923372971
25,"Small Intestine - Terminal Ileum",-1.28867631395671
25,"Cells - Cultured fibroblasts",-1.01301619849721
25,"Brain - Frontal Cortex (BA9)",-0.435382481144271
25,"Nerve - Tibial",0.0610381021354714
25,"Cells - EBV-transformed lymphocytes",-0.872138806229404
25,"Pituitary",-0.822130556190544
25,"Stomach",-1.05715577361931
25,"Brain - Cerebellum",-0.99007271312605
25,"Brain - Hippocampus",-0.815611683838936
25,"Minor Salivary Gland",0.306645697319412
25,"Esophagus - Mucosa",0.822389468670903
25,"Uterus",0.781297719095885
25,"Esophagus - Muscularis",-0.000847368171404634
25,"Vagina",-0.0893750547522307
25,"Kidney - Cortex",
25,"Brain - Cerebellar Hemisphere",1.32207493844726
25,"Adipose - Subcutaneous",1.7064778913298
25,"Adipose - Visceral (Omentum)",1.80280561065027
25,"Artery - Tibial",1.24449970692885
25,"Muscle - Skeletal",1.30488219983898
25,"Ovary",1.46163060015796
25,"Skin - Sun Exposed (Lower leg)",1.58525829761203
25,"Esophagus - Gastroesophageal Junction",1.463544036921
25,"Artery - Aorta",1.34927939478231
25,"Brain - Nucleus accumbens (basal ganglia)",1.20536602679727
25,"Brain - Spinal cord (cervical c-1)",1.82899629062295
25,"Brain - Amygdala",1.02206422386394
25,"Artery - Coronary",1.43564011053177
25,"Breast - Mammary Tissue",1.8568298745432
25,"Colon - Transverse",-0.840034352355221
25,"Prostate",-0.510005870334546
25,"Skin - Not Sun Exposed (Suprapubic)",0.0930236984628661
25,"Adrenal Gland",0.889207543666445
25,"Thyroid",-0.454122482403797
26,"Brain - Hypothalamus",-1.38394537270718
26,"Brain - Putamen (basal ganglia)",-1.36424175592326
26,"Liver",-1.50729614369318
26,"Brain - Caudate (basal ganglia)",-1.45329958216267
26,"Colon - Sigmoid",-1.09481853360829
26,"Brain - Substantia nigra",-1.30230065018004
26,"Testis",-1.33616383619564
26,"Brain - Anterior cingulate cortex (BA24)",-1.23729071925304
26,"Brain - Cortex",-1.34179960911677
26,"Whole Blood",-1.30751380831579
26,"Heart - Left Ventricle",-1.39668773091775
26,"Lung",-1.27833970597051
26,"Pancreas",-1.39250688777902
26,"Spleen",-1.20873348446551
26,"Heart - Atrial Appendage",-1.18437485997725
26,"Small Intestine - Terminal Ileum",-1.24288456596621
26,"Cells - Cultured fibroblasts",-0.926173312234164
26,"Brain - Frontal Cortex (BA9)",-0.461334802348327
26,"Nerve - Tibial",0.076547803549965
26,"Cells - EBV-transformed lymphocytes",-0.607376905262664
26,"Pituitary",-0.655827394678162
26,"Stomach",-0.629019835628657
26,"Brain - Cerebellum",-0.743069632262106
26,"Brain - Hippocampus",-0.51854952192892
