"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Heart - Left Ventricle",2.45463291344478
20,"Skin - Not Sun Exposed (Suprapubic)",2.85006892517086
20,"Brain - Substantia nigra",0.846736664471417
20,"Brain - Nucleus accumbens (basal ganglia)",1.66574589618715
20,"Brain - Frontal Cortex (BA9)",0.762816011274052
20,"Artery - Tibial",0.900385119643113
20,"Esophagus - Gastroesophageal Junction",1.2673920717699
20,"Brain - Caudate (basal ganglia)",
20,"Muscle - Skeletal",3.06964774555868
20,"Spleen",
20,"Brain - Anterior cingulate cortex (BA24)",2.00557183115449
20,"Nerve - Tibial",2.21019059763122
20,"Cells - Cultured fibroblasts",-1.20846927948337
20,"Colon - Sigmoid",-0.567606022706118
20,"Lung",
20,"Esophagus - Muscularis",-0.312555009140225
20,"Pituitary",0.673772869565921
20,"Brain - Spinal cord (cervical c-1)",
20,"Heart - Atrial Appendage",-2.81938712829996
20,"Brain - Hypothalamus",-2.67313158802371
20,"Testis",-2.7009599257036
20,"Minor Salivary Gland",
20,"Thyroid",-2.81345584612696
20,"Adipose - Subcutaneous",
20,"Adrenal Gland",
20,"Small Intestine - Terminal Ileum",
20,"Brain - Cortex",-2.25686459221401
20,"Liver",
20,"Brain - Hippocampus",-2.16079070275637
20,"Breast - Mammary Tissue",
20,"Esophagus - Mucosa",-2.490882593624
20,"Brain - Amygdala",-2.64157565483053
20,"Pancreas",
20,"Prostate",
20,"Artery - Coronary",0.256957127293992
20,"Colon - Transverse",
20,"Artery - Aorta",
20,"Brain - Putamen (basal ganglia)",1.3748756150735
20,"Brain - Cerebellar Hemisphere",2.28673289991412
20,"Brain - Cerebellum",2.33351945155836
20,"Kidney - Cortex",
20,"Skin - Sun Exposed (Lower leg)",
20,"Stomach",
20,"Vagina",
20,"Adipose - Visceral (Omentum)",
20,"Ovary",
20,"Uterus",
21,"Heart - Left Ventricle",2.20332105513902
21,"Skin - Not Sun Exposed (Suprapubic)",2.51031825538279
21,"Brain - Substantia nigra",0.980246215490774
21,"Brain - Nucleus accumbens (basal ganglia)",1.65570812129525
21,"Brain - Frontal Cortex (BA9)",0.845164412057263
21,"Artery - Tibial",0.976843013483769
21,"Esophagus - Gastroesophageal Junction",1.25836180000885
21,"Brain - Caudate (basal ganglia)",
21,"Muscle - Skeletal",2.71649871791556
21,"Spleen",1.72454647585526
21,"Brain - Anterior cingulate cortex (BA24)",1.89189885233005
21,"Nerve - Tibial",2.03073087506133
21,"Cells - Cultured fibroblasts",-1.03326384553276
21,"Colon - Sigmoid",-0.42259553094
21,"Lung",-1.20706519318746
21,"Esophagus - Muscularis",-0.048523412058077
21,"Pituitary",0.75418070262788
21,"Brain - Spinal cord (cervical c-1)",
21,"Heart - Atrial Appendage",-2.4878156296137
21,"Brain - Hypothalamus",-2.27412939116177
21,"Testis",-2.30066106444546
21,"Minor Salivary Gland",-2.3443786459278
21,"Thyroid",-2.55104921460674
21,"Adipose - Subcutaneous",-2.75610836065545
21,"Adrenal Gland",-2.32875672372788
21,"Small Intestine - Terminal Ileum",-2.29153543729443
21,"Brain - Cortex",-2.07592273878182
21,"Liver",-2.38756428223083
21,"Brain - Hippocampus",-1.94557165801005
21,"Breast - Mammary Tissue",-2.13553513738905
21,"Esophagus - Mucosa",-2.19445347978628
21,"Brain - Amygdala",-2.30891249670473
21,"Pancreas",-2.99652586579816
21,"Prostate",-0.863472705524406
21,"Artery - Coronary",0.0410629576643431
21,"Colon - Transverse",-1.29256273294778
21,"Artery - Aorta",2.16872266362431
21,"Brain - Putamen (basal ganglia)",1.2250829231685
21,"Brain - Cerebellar Hemisphere",2.07906327833554
21,"Brain - Cerebellum",2.0209706602946
21,"Kidney - Cortex",
21,"Skin - Sun Exposed (Lower leg)",1.97019692196395
21,"Stomach",-0.0913159508003502
21,"Vagina",-2.36821323353686
21,"Adipose - Visceral (Omentum)",0.859369463483019
21,"Ovary",-1.31485622200831
21,"Uterus",-1.05719671028527
22,"Heart - Left Ventricle",1.96606683128049
22,"Skin - Not Sun Exposed (Suprapubic)",2.18915159318015
22,"Brain - Substantia nigra",1.08522673292737
22,"Brain - Nucleus accumbens (basal ganglia)",1.63689751571182
22,"Brain - Frontal Cortex (BA9)",0.917421696485152
22,"Artery - Tibial",1.04394966565069
22,"Esophagus - Gastroesophageal Junction",1.24718133333456
22,"Brain - Caudate (basal ganglia)",1.49196401409126
22,"Muscle - Skeletal",2.38371289388058
22,"Spleen",1.61421805892111
22,"Brain - Anterior cingulate cortex (BA24)",1.77551270483062
22,"Nerve - Tibial",1.85876754737872
22,"Cells - Cultured fibroblasts",-0.859289519865119
22,"Colon - Sigmoid",-0.283755408559411
22,"Lung",-0.837545284471484
22,"Esophagus - Muscularis",0.195430433722975
22,"Pituitary",0.824387757826562
22,"Brain - Spinal cord (cervical c-1)",0.298614677242027
22,"Heart - Atrial Appendage",-2.16782683651475
22,"Brain - Hypothalamus",-1.89709063136904
22,"Testis",-1.92126296157432
22,"Minor Salivary Gland",-2.12859759045713
22,"Thyroid",-2.29901329042962
22,"Adipose - Subcutaneous",-2.49760499063132
22,"Adrenal Gland",-2.15608841613888
22,"Small Intestine - Terminal Ileum",-2.13875174079598
22,"Brain - Cortex",-1.90472393204835
22,"Liver",-2.22983052136349
22,"Brain - Hippocampus",-1.75154182572204
22,"Breast - Mammary Tissue",-2.02531535348101
22,"Esophagus - Mucosa",-1.91532337831611
22,"Brain - Amygdala",-2.00405964766017
22,"Pancreas",-2.60948143392492
22,"Prostate",-0.701793473706769
22,"Artery - Coronary",-0.157250935441795
22,"Colon - Transverse",-1.23282609404018
22,"Artery - Aorta",1.75681281359273
22,"Brain - Putamen (basal ganglia)",1.07185558523024
22,"Brain - Cerebellar Hemisphere",1.87458743207942
22,"Brain - Cerebellum",1.72568125670313
22,"Kidney - Cortex",
22,"Skin - Sun Exposed (Lower leg)",1.77348496759295
22,"Stomach",-0.182181304369428
22,"Vagina",-2.00001847936458
22,"Adipose - Visceral (Omentum)",0.671492394442194
22,"Ovary",-1.26648408306812
22,"Uterus",-1.01264000950954
23,"Heart - Left Ventricle",1.74257423337776
23,"Skin - Not Sun Exposed (Suprapubic)",1.88640968852441
23,"Brain - Substantia nigra",1.16337543931597
23,"Brain - Nucleus accumbens (basal ganglia)",1.60958816333064
23,"Brain - Frontal Cortex (BA9)",0.979778577141167
23,"Artery - Tibial",1.10187962522443
23,"Esophagus - Gastroesophageal Junction",1.23372677388311
23,"Brain - Caudate (basal ganglia)",1.43740043834352
23,"Muscle - Skeletal",2.07092811747548
23,"Spleen",1.5038258985941
23,"Brain - Anterior cingulate cortex (BA24)",1.65701780198991
23,"Nerve - Tibial",1.69420455928602
23,"Cells - Cultured fibroblasts",-0.687272489962811
23,"Colon - Sigmoid",-0.151206943151676
23,"Lung",-0.497484070817179
23,"Esophagus - Muscularis",0.41916269500863
23,"Pituitary",0.884670131796846
23,"Brain - Spinal cord (cervical c-1)",0.34557882612557
23,"Heart - Atrial Appendage",-1.85982331761885
23,"Brain - Hypothalamus",-1.5418430953363
23,"Testis",-1.56265672723821
23,"Minor Salivary Gland",-1.92229503689229
23,"Thyroid",-2.05728161318114
23,"Adipose - Subcutaneous",-2.25080230803854
23,"Adrenal Gland",-1.99048263815666
23,"Small Intestine - Terminal Ileum",-1.98892437151317
23,"Brain - Cortex",-1.7429213684712
23,"Liver",-2.07613936032069
23,"Brain - Hippocampus",-1.57736457629158
23,"Breast - Mammary Tissue",-1.91440483062937
23,"Esophagus - Mucosa",-1.65332488056448
23,"Brain - Amygdala",-1.7255501107686
23,"Pancreas",-2.24514491014877
