"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Esophagus - Mucosa",0.555747094702503
20,"Heart - Left Ventricle",1.11229558548012
20,"Skin - Sun Exposed (Lower leg)",
20,"Brain - Caudate (basal ganglia)",
20,"Cells - EBV-transformed lymphocytes",
20,"Brain - Nucleus accumbens (basal ganglia)",1.39962187016056
20,"Adipose - Subcutaneous",
20,"Brain - Frontal Cortex (BA9)",2.18697075737224
20,"Brain - Hippocampus",2.28007128333575
20,"Heart - Atrial Appendage",1.37644367855206
20,"Brain - Anterior cingulate cortex (BA24)",1.57855427382616
20,"Brain - Putamen (basal ganglia)",0.974877002628723
20,"Brain - Cerebellum",1.13877326017982
20,"Brain - Cerebellar Hemisphere",0.0996980422989567
20,"Brain - Cortex",0.414405003156753
20,"Adrenal Gland",
20,"Muscle - Skeletal",0.405486653559439
20,"Nerve - Tibial",-0.948191817408186
20,"Prostate",
20,"Whole Blood",-0.885427867520187
20,"Breast - Mammary Tissue",
20,"Pituitary",-1.61081428739363
20,"Vagina",
20,"Pancreas",
20,"Stomach",
20,"Minor Salivary Gland",
20,"Small Intestine - Terminal Ileum",
20,"Artery - Coronary",-2.1601874848504
20,"Lung",
20,"Kidney - Cortex",
20,"Liver",
20,"Spleen",
20,"Esophagus - Gastroesophageal Junction",-2.9215568763822
20,"Esophagus - Muscularis",-2.24683652006214
20,"Brain - Amygdala",-2.85541000969931
20,"Thyroid",-2.01699814250067
20,"Brain - Hypothalamus",-3.47691818289167
20,"Brain - Substantia nigra",-2.77129607439832
20,"Testis",-1.85113726708043
20,"Artery - Aorta",
20,"Cells - Cultured fibroblasts",-1.24373977382979
20,"Adipose - Visceral (Omentum)",
20,"Colon - Sigmoid",-2.13898150745677
20,"Skin - Not Sun Exposed (Suprapubic)",-0.808833713499941
20,"Brain - Spinal cord (cervical c-1)",
20,"Colon - Transverse",
20,"Uterus",
20,"Artery - Tibial",-1.20158464248225
20,"Ovary",
21,"Esophagus - Mucosa",0.232032838725818
21,"Heart - Left Ventricle",0.788699580216473
21,"Skin - Sun Exposed (Lower leg)",2.90775602159524
21,"Brain - Caudate (basal ganglia)",
21,"Cells - EBV-transformed lymphocytes",1.41338249360961
21,"Brain - Nucleus accumbens (basal ganglia)",1.42276828548586
21,"Adipose - Subcutaneous",2.6297777405935
21,"Brain - Frontal Cortex (BA9)",2.05678850748531
21,"Brain - Hippocampus",2.1520990326929
21,"Heart - Atrial Appendage",1.32838369322031
21,"Brain - Anterior cingulate cortex (BA24)",1.56525367693686
21,"Brain - Putamen (basal ganglia)",1.05886315636056
21,"Brain - Cerebellum",1.10151093947679
21,"Brain - Cerebellar Hemisphere",0.277298609010583
21,"Brain - Cortex",0.529356141092871
21,"Adrenal Gland",-1.26536872890509
21,"Muscle - Skeletal",0.261636596587289
21,"Nerve - Tibial",-0.945138252460255
21,"Prostate",-0.995566761471534
21,"Whole Blood",-0.910658249762217
21,"Breast - Mammary Tissue",-1.37258849298795
21,"Pituitary",-1.61485456284124
21,"Vagina",-1.46767092288367
21,"Pancreas",-1.71991935437786
21,"Stomach",-2.24925180975668
21,"Minor Salivary Gland",-2.05763471132604
21,"Small Intestine - Terminal Ileum",-1.64924285111564
21,"Artery - Coronary",-2.01142818110988
21,"Lung",-2.42232921036794
21,"Kidney - Cortex",
21,"Liver",-3.32664499748495
21,"Spleen",-3.01286514645131
21,"Esophagus - Gastroesophageal Junction",-2.61391019486336
21,"Esophagus - Muscularis",-2.12803059096343
21,"Brain - Amygdala",-2.37722099968871
21,"Thyroid",-1.73336305171113
21,"Brain - Hypothalamus",-2.81776428968663
21,"Brain - Substantia nigra",-2.15507641305378
21,"Testis",-1.38317081119698
21,"Artery - Aorta",-1.97508596352756
21,"Cells - Cultured fibroblasts",-0.96998530966523
21,"Adipose - Visceral (Omentum)",-2.28037466492408
21,"Colon - Sigmoid",-1.92855210379083
21,"Skin - Not Sun Exposed (Suprapubic)",-0.720588356669938
21,"Brain - Spinal cord (cervical c-1)",
21,"Colon - Transverse",-1.65143487975999
21,"Uterus",-1.94206844135319
21,"Artery - Tibial",-1.08610225606126
21,"Ovary",-1.0038471764109
22,"Esophagus - Mucosa",-0.0620039354972151
22,"Heart - Left Ventricle",0.498375451020972
22,"Skin - Sun Exposed (Lower leg)",2.45697664565729
22,"Brain - Caudate (basal ganglia)",1.2945459852781
22,"Cells - EBV-transformed lymphocytes",1.34596555163332
22,"Brain - Nucleus accumbens (basal ganglia)",1.4357165240237
22,"Adipose - Subcutaneous",2.39570655152465
22,"Brain - Frontal Cortex (BA9)",1.92748690971412
22,"Brain - Hippocampus",2.02200456717646
22,"Heart - Atrial Appendage",1.27992793493353
22,"Brain - Anterior cingulate cortex (BA24)",1.54457785325459
22,"Brain - Putamen (basal ganglia)",1.12643875973047
22,"Brain - Cerebellum",1.06694572498109
22,"Brain - Cerebellar Hemisphere",0.438975201549406
22,"Brain - Cortex",0.63478840231158
22,"Adrenal Gland",-1.19881270488064
22,"Muscle - Skeletal",0.127318816365672
22,"Nerve - Tibial",-0.939985048676541
22,"Prostate",-0.99091119890264
22,"Whole Blood",-0.929055389529613
22,"Breast - Mammary Tissue",-1.39200329766292
22,"Pituitary",-1.60653248179753
22,"Vagina",-1.4651047419752
22,"Pancreas",-1.61392453304584
22,"Stomach",-2.08217847517869
22,"Minor Salivary Gland",-1.944361583371
22,"Small Intestine - Terminal Ileum",-1.61612898527152
22,"Artery - Coronary",-1.86758170775212
22,"Lung",-2.23587460679111
22,"Kidney - Cortex",
22,"Liver",-2.87352185919165
22,"Spleen",-2.68325168359469
22,"Esophagus - Gastroesophageal Junction",-2.32002401021409
22,"Esophagus - Muscularis",-2.00839298885947
22,"Brain - Amygdala",-1.93583480378406
22,"Thyroid",-1.4618302413855
22,"Brain - Hypothalamus",-2.21547090176023
22,"Brain - Substantia nigra",-1.60133631841905
22,"Testis",-0.950047413331586
22,"Artery - Aorta",-1.58243240024806
22,"Cells - Cultured fibroblasts",-0.712341613577385
