"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Esophagus - Mucosa",-0.119932329936967
20,"Pancreas",
20,"Vagina",
20,"Whole Blood",0.949157669686538
20,"Ovary",
20,"Nerve - Tibial",1.56975354506575
20,"Prostate",
20,"Brain - Spinal cord (cervical c-1)",
20,"Adipose - Visceral (Omentum)",
20,"Pituitary",2.66785411976757
20,"Brain - Hypothalamus",2.37501864212987
20,"Small Intestine - Terminal Ileum",
20,"Esophagus - Muscularis",0.792675652428992
20,"Esophagus - Gastroesophageal Junction",1.47859214893863
20,"Testis",1.48537580787631
20,"Stomach",
20,"Brain - Substantia nigra",-0.372919340614633
20,"Adrenal Gland",
20,"Colon - Sigmoid",-0.0139106741625743
20,"Brain - Cerebellar Hemisphere",0.35285735784865
20,"Brain - Nucleus accumbens (basal ganglia)",-0.725402195780629
20,"Artery - Coronary",-1.25492991616172
20,"Brain - Putamen (basal ganglia)",-0.549058302512403
20,"Spleen",
20,"Brain - Anterior cingulate cortex (BA24)",-1.1555091745206
20,"Brain - Cerebellum",-0.919706914982703
20,"Minor Salivary Gland",
20,"Heart - Left Ventricle",-1.37711436506967
20,"Skin - Not Sun Exposed (Suprapubic)",-0.792700436619909
20,"Artery - Aorta",
20,"Artery - Tibial",-2.078034488204
20,"Kidney - Cortex",
20,"Brain - Cortex",-0.773002154683972
20,"Brain - Hippocampus",-1.92908291908083
20,"Heart - Atrial Appendage",-1.62712083267477
20,"Brain - Caudate (basal ganglia)",
20,"Lung",
20,"Brain - Frontal Cortex (BA9)",2.08829202617861
20,"Breast - Mammary Tissue",
20,"Adipose - Subcutaneous",
20,"Cells - EBV-transformed lymphocytes",
20,"Muscle - Skeletal",-1.22649872869443
20,"Thyroid",-0.394601999147296
20,"Cells - Cultured fibroblasts",2.37315621615543
20,"Liver",
20,"Colon - Transverse",
20,"Uterus",
20,"Brain - Amygdala",2.33526501802971
20,"Skin - Sun Exposed (Lower leg)",
21,"Esophagus - Mucosa",-0.17575280264265
21,"Pancreas",-2.31199116828382
21,"Vagina",0.973064453212604
21,"Whole Blood",0.821289942414532
21,"Ovary",0.186447133522099
21,"Nerve - Tibial",1.50032583385941
21,"Prostate",0.782822878857092
21,"Brain - Spinal cord (cervical c-1)",
21,"Adipose - Visceral (Omentum)",2.882430688297
21,"Pituitary",2.43435517020981
