"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Cells - EBV-transformed lymphocytes",
20,"Kidney - Cortex",
20,"Esophagus - Gastroesophageal Junction",1.00731733750656
20,"Muscle - Skeletal",0.495936670878217
20,"Thyroid",0.681778320911726
20,"Brain - Anterior cingulate cortex (BA24)",0.459140577446003
20,"Pituitary",0.50630638445601
20,"Artery - Tibial",0.100023527253027
20,"Breast - Mammary Tissue",
20,"Prostate",
20,"Brain - Amygdala",2.11486511973744
20,"Skin - Sun Exposed (Lower leg)",
20,"Esophagus - Mucosa",2.96099749222532
20,"Minor Salivary Gland",
20,"Artery - Coronary",-2.37495023043205
20,"Uterus",
20,"Spleen",
20,"Ovary",
20,"Brain - Caudate (basal ganglia)",
20,"Adrenal Gland",
20,"Whole Blood",-2.24751909682742
20,"Brain - Putamen (basal ganglia)",-0.153577383666724
20,"Heart - Left Ventricle",0.974296088589006
20,"Lung",
20,"Brain - Cortex",1.0846563664015
20,"Testis",2.09292709836378
20,"Esophagus - Muscularis",3.15603878055239
20,"Adipose - Subcutaneous",
20,"Nerve - Tibial",2.80816147607527
20,"Heart - Atrial Appendage",2.72170329459097
20,"Adipose - Visceral (Omentum)",
20,"Colon - Sigmoid",2.97604863127926
20,"Small Intestine - Terminal Ileum",
20,"Brain - Spinal cord (cervical c-1)",
20,"Brain - Frontal Cortex (BA9)",2.71520253097279
20,"Brain - Hypothalamus",2.88057074149487
20,"Brain - Hippocampus",1.89734230474347
20,"Stomach",
20,"Brain - Cerebellar Hemisphere",1.68622716618034
20,"Brain - Substantia nigra",1.65564952083544
20,"Vagina",
20,"Brain - Cerebellum",2.47320411131911
20,"Colon - Transverse",
20,"Liver",
20,"Artery - Aorta",
20,"Pancreas",
20,"Cells - Cultured fibroblasts",0.330719206310723
20,"Brain - Nucleus accumbens (basal ganglia)",-0.956089335622735
20,"Skin - Not Sun Exposed (Suprapubic)",0.700922891908023
21,"Cells - EBV-transformed lymphocytes",0.668176441826303
21,"Kidney - Cortex",
21,"Esophagus - Gastroesophageal Junction",0.925123173733628
21,"Muscle - Skeletal",0.394473332457906
21,"Thyroid",0.574246512179103
