GeneID,SRR6190102,SRR6190108,SRR6190114
A1BG,1.215269,1.261173,0.594416
A1CF,0.0,0.0,0.0
A2ML1,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.0
A4GALT,104.21199,75.845169,114.857948
A4GNT,0.0,0.0,0.0
AAAS,16.882759,13.335378,18.699862
AACS,25.985491,29.088318,27.507607
AADAC,4.578863,0.0,0.254455
AADACL2,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0
AADAT,12.87456,11.585385,9.250638
AAGAB,76.920235,63.703568,69.138107
AAK1,30.916582,31.99629,26.349699
AAMDC,12.149857,6.05992,7.999873
AAMP,70.163818,66.574493,80.131058
AANAT,0.0,0.0,0.0
AAR2,24.534433,25.404877,23.332758
AARD,0.349831,0.0,0.0
AARS1,184.190033,276.427338,257.277557
AARS2,6.756955,7.263762,9.59012
AARSD1,7.169327,6.240691,5.926042
AASDH,9.845364,6.608933,9.272243
AASDHPPT,72.212059,61.197987,59.682743
AASS,6.009379,3.275261,5.065017
AATF,48.115608,47.992027,58.060013
AATK,0.731134,0.449226,0.385702
ABAT,7.100212,7.450664,5.00444
ABCA1,19.864586,28.841307,26.434565
ABCA10,3.157213,6.217174,3.417732
ABCA12,0.0,0.0,0.0
ABCA13,0.624851,1.976315,0.131585
ABCA2,36.03154,40.940884,28.847021
ABCA3,0.685404,0.0,0.400781
ABCA4,0.0,0.0,0.0
ABCA5,22.226299,26.059208,24.432695
ABCA6,13.953763,16.298029,16.421309
ABCA7,1.403755,1.413466,1.023594
ABCA8,28.72327,34.093777,18.421783
ABCA9,7.07497,29.514421,7.872547
ABCB1,0.0,0.700653,0.0
ABCB10,11.918953,9.14889,13.265819
ABCB11,0.073561,0.0,0.0
ABCB4,2.923717,0.0,0.0
ABCB5,0.0,0.0,0.0
ABCB6,45.062344,61.774944,48.343147
ABCB7,27.693285,23.845383,26.102514
ABCB8,16.467052,24.91511,18.679512
ABCB9,3.082826,1.41439,3.709806
ABCC1,65.885086,64.860489,32.768276
ABCC10,12.746909,13.412134,13.882588
ABCC11,0.0,0.0,0.0
ABCC12,0.0,0.0,0.0
ABCC2,0.319523,1.142567,0.703402
ABCC3,45.087479,137.823273,89.86618
ABCC4,17.929943,23.995579,36.475315
ABCC5,20.08884,26.921661,23.890322
ABCC8,0.0,0.0,0.0
ABCC9,47.125912,27.359438,96.011497
ABCD1,10.385056,9.544157,11.132489
ABCD2,0.0,0.138214,0.0
ABCD3,49.590546,41.416275,44.52459
ABCD4,10.939591,19.375141,15.374938
ABCE1,97.56852,81.494743,82.959785
ABCF1,73.892395,69.01622,68.193214
ABCF2,64.626961,59.053425,57.902672
ABCF3,39.341961,39.352932,35.946068
ABCG1,0.0,0.0,0.752312
ABCG2,48.347355,52.251293,107.814484
ABCG4,0.772877,0.0,0.0
ABCG5,0.0,0.0,0.0
ABCG8,3.144624,3.649647,2.663243
ABHD1,0.0,0.0,0.0
ABHD10,29.640541,21.910742,29.908735
ABHD11,7.006227,3.504781,8.894192
ABHD12,33.008583,26.103941,35.092056
ABHD12B,0.0,0.13275,0.0
ABHD13,38.64645,36.819553,34.184132
ABHD14A,17.056412,19.847378,21.898085
ABHD14B,15.685348,26.866396,31.181381
ABHD15,22.066502,22.699663,23.095346
ABHD16A,34.452141,39.280148,39.510777
ABHD16B,1.970621,2.927282,1.822686
ABHD17A,8.854828,9.673445,10.748846
ABHD17B,25.501778,27.324421,27.03898
