GeneID,SRR6190084,SRR6190090,SRR6190096
A1BG,0.457988,0.0,0.0
A1CF,0.0,0.0,0.0
A2M,6.735523,0.26789,1.3432
A2ML1,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.0
A4GALT,54.981491,42.169025,64.854942
A4GNT,0.0,0.0,0.0
AAAS,22.900021,27.288942,27.563055
AACS,21.834026,24.729372,28.050898
AADAC,2.019547,0.532636,0.31397
AADACL2,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0
AADAT,6.751755,7.691473,7.475123
AAGAB,58.565041,53.548988,60.551155
AAK1,21.86153,30.307688,26.467602
AAMDC,24.68462,22.780617,25.919849
AAMP,95.810097,106.766769,130.752823
AANAT,0.0,0.0,0.0
AAR2,20.445799,16.213022,15.864132
AARD,0.250029,0.0,0.0
AARS1,160.444366,163.592682,191.10878
AARS2,10.040722,11.249222,9.201854
AARSD1,28.444462,27.732716,31.599287
AASDH,6.184725,5.328486,5.529251
AASDHPPT,54.729351,46.633316,48.06435
AASS,37.774818,4.10329,3.604061
AATF,48.383827,47.791004,49.075848
AATK,0.417589,0.388863,0.426432
ABAT,10.973025,32.832619,31.461559
ABCA1,4.329306,5.755795,4.318824
ABCA10,0.0,0.425607,0.130859
ABCA12,0.0,0.0,0.0
ABCA13,0.0,0.050665,0.0
ABCA2,29.466793,21.335279,17.97526
ABCA3,1.216401,0.0,0.42895
ABCA4,0.133973,0.0,0.0
ABCA5,11.049653,10.912061,15.350345
ABCA6,7.769762,6.96447,5.564521
ABCA7,1.398228,0.626255,1.107468
ABCA8,16.732376,14.221995,3.995362
ABCA9,2.3046,3.213367,2.510522
ABCB1,1.611065,1.923132,0.634425
ABCB10,7.584624,9.256276,10.202643
ABCB11,0.0,0.0,0.0
ABCB4,0.0,0.0,0.0
ABCB5,0.0,0.0,0.0
ABCB6,33.631882,44.841373,47.989582
ABCB7,20.12015,19.073721,21.845844
ABCB8,13.207305,14.417357,17.090157
ABCB9,2.39505,2.965131,3.44045
ABCC1,31.703659,45.287609,49.353397
ABCC10,11.339155,8.744452,10.462621
ABCC11,0.0,0.0,0.0
ABCC12,0.0,0.0,0.0
ABCC2,0.785664,0.856658,1.130304
ABCC3,79.922089,71.116074,51.745495
ABCC4,17.842129,15.949062,21.548019
ABCC5,29.881021,24.561356,21.868563
ABCC8,0.0,0.0,0.0
ABCC9,50.86021,36.709816,44.645718
ABCD1,11.345464,8.64523,12.641935
ABCD2,0.0,0.0,0.0
ABCD3,36.936047,42.885448,37.577885
ABCD4,13.224504,7.927515,10.446115
ABCE1,82.590508,95.625565,108.218292
ABCF1,71.299629,86.365707,78.446625
ABCF2,76.822945,92.794571,99.909752
ABCF3,52.790398,50.625031,46.168346
ABCG1,1.930773,1.086976,1.060546
ABCG2,16.88402,52.439823,34.832829
ABCG4,0.0,0.0,0.0
ABCG5,0.0,0.0,0.0
ABCG8,0.0,0.0,0.0
ABHD1,0.0,0.0,0.0
ABHD10,26.355949,32.488331,23.38719
ABHD11,13.216472,15.797989,12.749327
ABHD11-AS1,0.0,0.0,0.0
ABHD12,33.497864,43.550163,36.369164
ABHD12B,0.0,0.27562,0.0
ABHD13,18.147934,18.800312,21.664564
ABHD14A,21.605654,27.425175,24.979326
ABHD14B,5.321249,3.709666,11.196381
ABHD15,19.532303,16.547775,17.75773
ABHD16A,35.462883,20.052307,29.706522
ABHD16B,0.784495,0.701071,0.689061
ABHD17A,19.055742,21.601757,20.936825
ABHD17B,20.279829,15.780292,16.415947
ABHD17C,30.904348,34.636765,35.15403
ABHD18,6.866393,4.069872,5.749726
ABHD2,147.076157,73.032372,128.183105
ABHD3,11.063048,8.215939,8.67101
ABHD4,46.098732,35.411266,51.4291
ABHD5,37.044186,34.23259,27.068495
ABHD6,5.226508,1.279936,0.724478
ABHD8,11.460744,8.595181,10.283189
ABI1,49.534637,49.251259,55.47736
ABI2,32.469425,29.806406,48.679756
ABI3,0.0,0.0,0.0
ABI3BP,48.328373,132.290451,154.169571
