GeneID,SRR6190030,SRR6190036,SRR6190042
A1BG,0.0,0.0,0.0
A1CF,0.0,0.0,0.0
A2M,1.561531,3.355351,8.479278
A2ML1,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.0
A4GALT,61.054276,32.776371,25.221701
A4GNT,0.0,0.0,0.0
AAAS,13.999285,15.653584,12.032331
AACS,13.837688,8.516753,16.138298
AADAC,49.701962,0.0,0.0
AADACL2,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0
AADAT,5.242395,10.006548,13.412159
AAGAB,61.84967,68.066589,54.649666
AAK1,28.799936,40.106953,42.267654
AAMDC,6.502439,15.307206,18.225515
AAMP,53.942646,64.203224,49.312599
AANAT,0.0,0.0,0.0
AAR2,20.788046,24.94014,22.193567
AARD,0.306424,0.0,0.0
AARS1,89.82579,150.811111,122.553192
AARS2,5.128338,3.752268,4.132965
AARSD1,19.352779,18.37879,19.80365
AASDH,13.714173,21.831467,15.001493
AASDHPPT,82.723183,150.01268,147.092529
AASS,4.703523,5.371772,3.239225
AATF,14.338717,20.09119,20.583994
AATK,0.0,0.0,0.0
ABAT,1.23614,0.0,0.0
ABCA1,17.609356,12.921241,6.326923
ABCA10,1.889567,0.0,0.0
ABCA12,0.0,0.0,0.0
ABCA13,0.0,0.0,0.0
ABCA2,17.484747,10.314773,8.598344
ABCA3,4.753348,12.150478,6.652575
ABCA4,0.0,0.0,0.0
ABCA5,13.613142,24.562971,23.258644
ABCA6,43.535587,11.525222,2.211892
ABCA7,6.08893,2.67354,1.392404
ABCA8,51.287891,5.543827,2.796842
ABCA9,103.596451,9.608884,1.30744
ABCB1,2.759652,0.0,1.524584
ABCB10,18.1085,34.854343,20.053083
ABCB11,0.0,0.0,0.0
ABCB4,5.36691,1.724242,0.0
ABCB5,0.0,0.0,0.0
ABCB6,17.866787,32.399437,35.570755
ABCB7,33.263115,30.489784,34.112995
ABCB8,4.863933,6.950314,4.759231
ABCB9,1.192701,0.0,0.0
ABCC10,10.163857,8.236387,6.76796
ABCC11,0.0,0.0,0.0
ABCC12,0.0,0.0,0.0
ABCC13,0.0,0.0,0.0
ABCC2,12.805442,18.760828,6.813474
ABCC3,25.244736,27.400766,18.508669
ABCC4,32.66201,67.170197,59.0186
ABCC5,11.249974,13.880184,12.396006
ABCC6,0.353192,0.248898,0.0
ABCC8,0.0,0.0,0.0
ABCC9,25.420496,23.599052,16.577393
ABCD1,4.033049,2.135253,2.42671
ABCD2,0.0,0.0,0.0
ABCD3,25.65803,40.598194,37.623173
ABCD4,17.294201,6.10287,4.915871
ABCE1,111.643326,237.028595,232.504288
ABCF1,45.980808,39.245087,39.871811
ABCF2,32.195507,42.823242,38.045963
ABCF3,25.913853,22.347061,21.909632
ABCG1,0.0,0.0,0.0
ABCG2,5.508347,18.72143,5.273478
ABCG4,0.0,0.0,0.0
ABCG5,0.0,0.0,0.0
ABCG8,0.0,0.0,0.0
ABHD1,0.0,0.0,0.0
ABHD10,62.36515,80.071503,81.201538
ABHD11,14.150737,6.737485,7.532693
ABHD12,23.368483,13.970907,20.363729
ABHD12B,0.494423,0.0,0.0
ABHD13,21.767612,28.872385,30.451752
ABHD14A,32.347404,8.607947,10.719
ABHD14B,33.07843,16.258263,18.592318
ABHD15,16.423082,7.277579,6.433149
ABHD16A,25.972639,19.873066,16.896769
ABHD16B,0.428556,0.0,0.0
ABHD17A,7.795346,10.043644,5.940452
ABHD17B,28.892765,48.159908,31.296177
ABHD17C,47.823032,59.689594,47.272354
ABHD18,3.06086,4.771441,3.253176
ABHD2,121.181396,106.331833,87.402924
ABHD3,9.124409,20.766314,11.271633
ABHD4,47.740646,60.555641,41.687927
ABHD5,23.395983,33.941727,25.120905
ABHD6,13.408795,6.379768,6.899452
ABHD8,4.271918,0.0,1.001324
ABI1,70.456985,74.660187,53.761181
ABI2,39.205132,43.472218,37.831833
ABI3,0.0,0.0,0.0
ABI3BP,437.407928,58.574963,54.378403
ABITRAM,16.710772,19.397522,22.589981
ABL1,136.020126,129.770493,109.443237
ABL2,55.542496,75.152321,63.018505
ABLIM1,16.918966,4.584689,4.051809
ABLIM2,0.0,0.0,0.0
ABLIM3,48.713898,10.500593,28.043959
ABO,0.0,0.0,0.0
ABR,85.19709,51.780487,67.375755
ABRA,0.0,0.0,0.159516
ABRACL,57.627285,26.771259,56.447697
ABRAXAS1,36.657906,50.681545,32.187225
ABRAXAS2,20.551115,35.683243,29.447405
ABT1,43.104427,63.05529,72.763954
ABTB1,11.760758,0.0,0.0
ABTB2,3.432759,3.16995,1.83402
ABTB3,1.266753,0.684149,2.435493
ACAA1,43.774521,24.964991,32.448818
ACAA2,65.826927,31.303511,32.318699
ACACA,18.49501,23.090717,20.011019
