GeneID,SRR6190048,SRR6190054,SRR6190060
A1BG,0.0,0.0,2.496707
A1BG-AS1,16.825209,4.207366,2.625583
A1CF,0.0,0.0,0.0
A2M,2.319002,8.072623,15.51638
A2M-AS1,0.0,0.0,0.219884
A2ML1,0.0,0.0,0.0
A2ML1-AS1,0.0,0.0,0.0
A2MP1,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.0
A4GALT,67.35894,37.210262,21.056932
A4GNT,0.0,0.0,0.0
AA06,0.0,0.0,0.0
AAAS,23.040478,36.185154,41.820377
AACS,24.570948,35.546852,16.832363
AACSP1,0.0,0.0,0.0
AADAC,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0
AADAT,24.603184,13.108263,12.732785
AAGAB,67.17083,106.95813,70.383163
AAK1,26.883175,25.843046,27.36195
AAMDC,4.576979,41.742062,26.292446
AAMP,118.37252,304.514923,112.095909
AANAT,0.0,0.0,0.0
AAR2,33.095402,22.937641,33.612225
AARD,0.0,4.971036,2.62762
AARS1,98.657059,180.649841,152.220627
AARS2,11.726123,23.583595,14.474442
AARSD1,36.041832,10.896605,41.757267
AASDH,11.448509,6.455809,7.840833
AASDHPPT,66.49472,73.645599,46.773888
AASS,4.515723,5.315735,5.475401
AATBC,0.0,0.0,0.0
AATF,55.069794,114.959091,62.809566
AATK,0.0,0.0,0.0
ABAT,0.960696,0.849086,0.5351
ABCA1,12.007013,6.641501,4.918116
ABCA10,0.0,0.0,0.0
ABCA11P,3.555654,6.440931,7.178557
ABCA12,0.0,0.0,0.0
ABCA13,0.0,0.0,0.0
ABCA15P,1.341601,0.0,0.0
ABCA17P,0.0,0.0,0.164697
ABCA2,16.289652,17.141542,10.69553
ABCA3,2.832897,0.0,1.28054
ABCA4,0.0,0.0,0.151077
ABCA5,3.525372,2.105771,2.04868
ABCA6,4.71656,0.0,0.355342
ABCA7,0.0,0.0,0.622031
ABCA8,0.0,0.0,0.0
ABCA9,0.0,0.0,0.0
ABCA9-AS1,0.0,0.0,0.0
ABCB1,0.0,0.0,0.0
ABCB10,27.332697,18.807505,18.223005
ABCB11,0.0,0.0,0.0
ABCB4,1.087346,0.0,0.465184
ABCB5,0.0,0.0,0.0
ABCB6,13.621727,25.525724,14.553233
ABCB7,8.594733,14.521409,9.687417
ABCB8,14.464606,19.325859,11.602064
ABCB9,1.933072,1.058729,1.371147
ABCC1,32.866829,44.714211,44.309128
ABCC10,8.079453,14.414357,10.558867
