GeneID,SRR6190012,SRR6190018,SRR6190024
A1BG,0.0,0.0,0.0
A1CF,0.0,0.0,0.0
A2M,14.623078,5.680412,0.0
A2ML1,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.0
A4GALT,29.143673,14.895412,23.227867
A4GNT,0.0,0.0,0.0
AAAS,25.940781,34.218025,22.036547
AACS,36.877174,63.065491,69.657341
AADACL2,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0
AADAT,27.457075,17.258682,30.281816
AAGAB,73.671242,95.301537,63.506023
AAK1,44.312622,27.620752,44.665615
AAMDC,0.0,6.155018,1.656753
AAMP,72.534523,100.354355,73.101234
AANAT,0.0,0.0,0.0
AAR2,15.144298,19.483625,20.747164
AARD,0.0,0.0,0.0
AARS1,201.658096,214.190765,179.207901
AARS2,7.171735,12.364274,12.237145
AARSD1,9.422062,15.085149,11.077325
AASDH,12.864655,11.426449,8.367893
AASDHPPT,91.906975,88.845329,127.991341
AASS,5.927297,4.013215,8.15128
AATF,41.649765,49.489487,54.441307
AATK,0.0,0.0,0.0
ABAT,0.209515,2.196706,0.425104
ABCA1,6.208289,30.735538,17.099161
ABCA10,0.0,0.336557,0.0
ABCA12,0.0,0.0,0.0
ABCA13,0.310599,0.0,0.0
ABCA2,16.349205,29.758497,26.212267
ABCA3,6.780572,26.003325,17.735689
ABCA4,0.0,0.0,0.0
ABCA5,35.560963,25.495123,23.723759
ABCA6,7.375949,7.06705,6.941003
ABCA7,0.0,6.37666,3.274318
ABCA8,2.950314,17.13282,12.939642
ABCA9,0.740493,2.872421,1.105496
ABCB1,6.268689,9.489424,6.855266
ABCB10,16.117907,11.567969,12.368412
ABCB11,0.0,0.0,0.0
ABCB4,0.0,0.0,0.0
ABCB5,0.0,0.0,0.0
ABCB6,10.59176,23.434399,21.136738
ABCB7,52.292416,29.980093,43.280853
ABCB8,8.01017,6.350999,9.573213
ABCB9,0.919958,0.0,1.460968
ABCC1,89.358879,79.17868,87.73056
ABCC10,7.180272,8.145735,7.330324
ABCC11,0.0,0.0,0.0
ABCC12,0.0,0.0,0.0
ABCC2,0.0,0.0,0.582565
ABCC3,4.475588,6.732438,4.791231
ABCC4,84.24498,46.163052,107.410713
ABCC5,17.885715,37.173355,27.018166
ABCC6,0.0,0.0,0.0
ABCC8,0.0,0.0,0.0
ABCC9,35.886993,6.268948,14.169015
ABCD1,2.895762,3.992148,2.414561
ABCD2,0.0,0.0,0.0
ABCD3,88.160187,57.808601,75.632935
ABCD4,13.594876,23.776218,40.182953
ABCE1,194.393341,92.434242,173.802536
ABCF1,43.307247,48.174702,53.176308
ABCF2,54.860928,79.770325,73.584328
ABCF3,23.089544,34.000515,21.278271
ABCG1,0.412537,0.0,0.0
ABCG2,28.573603,15.936373,13.647082
ABCG4,0.0,0.15944,0.0
ABCG5,0.0,0.0,0.0
ABCG8,0.0,0.0,0.0
ABHD1,0.0,0.0,0.0
ABHD10,66.336334,43.68668,68.361221
ABHD11,9.894263,20.703531,28.187281
ABHD12,36.530624,35.727577,34.228565
ABHD12B,0.0,0.0,0.0
ABHD13,24.11727,19.561174,24.100691
ABHD14A,4.006401,29.380453,12.022802
ABHD14B,12.678761,12.785969,11.408043
ABHD15,3.224306,2.044112,1.591561
ABHD16A,7.400184,12.658454,8.822972
ABHD16B,0.893,1.392292,1.240875
ABHD17A,0.0,12.039989,0.0
ABHD17B,42.998795,19.190496,20.606028
ABHD17C,38.006226,32.308064,32.855896
ABHD18,9.131918,5.909761,8.586733
ABHD2,363.856323,161.030746,143.358353
ABHD3,0.0,4.180732,1.512902
ABHD4,53.320702,70.215714,38.220177
ABHD5,50.627728,41.964733,48.187668
ABHD6,17.78768,26.713017,13.540002
ABHD8,1.315093,2.494201,1.654293
ABI1,115.516998,82.880959,96.79808
ABI2,31.813541,43.907555,27.00172
ABI3,0.0,0.0,0.0
ABI3BP,29.931431,35.682388,35.352871
ABITRAM,35.938614,28.938284,43.618935
ABL1,47.567837,59.396294,62.559662
ABL2,30.82432,22.557894,44.071102
ABLIM1,4.988538,15.773918,4.379687
ABLIM2,0.0,0.237512,0.0
ABLIM3,44.906357,95.074806,148.267654
ABO,0.429259,0.0,0.310295
ABR,88.92495,58.38858,96.422325
ABRA,0.0,0.0,0.0
ABRACL,57.250515,36.255821,52.860104
ABRAXAS1,28.396019,19.940506,24.849758
ABRAXAS2,35.297035,17.423,27.672232
ABT1,27.327572,19.811512,21.407112
ABTB1,2.385607,7.346302,4.643945
ABTB2,0.292813,0.644993,0.0
ABTB3,0.0,0.71075,1.700541
ACAA1,24.752117,32.534584,26.394672
ACAA2,39.915604,109.47541,55.092705
ACACA,37.555927,35.92308,46.307156
ACACB,0.0,0.860183,0.0
