GeneID,SRR8750397,SRR8750398,SRR8750399
A1BG,13.189829,12.414705,12.351319
A1CF,0.068057,0.616116,0.0
A2ML1,1.099449,2.021928,0.448943
A3GALT2,0.336301,1.076615,0.0
A4GALT,8.663873,5.482116,1.946453
A4GNT,0.0,0.255469,0.0
AAAS,32.677284,26.892958,30.635578
AACS,53.326508,59.074375,21.480522
AADAC,0.0,1.381017,0.538281
AADACL2,0.0,1.281549,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.161756,0.0
AADAT,16.318766,11.440403,17.469902
AAGAB,52.161781,47.651737,31.235006
AAK1,62.577137,52.487598,41.90807
AAMDC,36.60461,24.901201,47.565128
AAMP,175.341736,158.283432,93.907562
AANAT,0.944993,4.324002,0.129429
AAR2,25.446495,13.774452,14.162669
AARD,1.729225,0.927197,2.356841
AARS1,283.624817,218.594009,135.62355
AARS2,13.448941,7.845689,6.492784
AARSD1,14.789635,22.743565,10.983848
AASDH,7.592961,2.935954,4.699838
AASDHPPT,103.217712,80.212723,89.247597
AASS,7.869974,6.595007,6.83865
AATF,16.754162,20.720554,15.311525
AATK,79.75132,42.657967,66.839928
ABAT,193.123566,66.130356,129.96843
ABCA1,4.623588,5.93398,4.979123
ABCA10,4.154633,1.692379,1.656019
ABCA12,0.132646,0.173247,0.240188
ABCA13,0.101606,0.531263,0.119943
ABCA2,131.049698,50.338295,70.182335
ABCA3,90.552208,38.369221,28.337908
ABCA4,0.438811,0.513988,0.121689
ABCA5,14.429976,7.554595,5.837351
ABCA6,2.036574,1.755122,0.59588
ABCA7,7.623857,4.803831,4.111382
ABCA8,11.529253,6.102252,2.051047
ABCA9,11.600348,2.991593,1.609298
ABCB1,19.718678,7.039924,10.05565
ABCB10,7.092453,5.24876,6.051395
ABCB11,0.316404,0.819154,0.259802
ABCB4,0.300102,0.566768,0.0
ABCB5,0.0,0.271815,0.0
ABCB6,37.720383,32.033794,17.948679
ABCB7,8.678554,4.864281,6.872912
ABCB8,42.101952,21.080479,20.305626
ABCB9,15.313,16.433855,9.520458
ABCC1,4.397699,6.149938,2.861869
