GeneID,SRR8750637,SRR8750669,SRR8750701
A1BG,3.939753,6.690135,9.841719
A1CF,0.0,0.028043,0.0
A2M,19.386047,28.711931,43.937511
A2ML1,1.85852,1.673058,2.163975
A3GALT2,0.0,0.0,0.995479
A4GALT,6.145303,13.011808,5.753517
A4GNT,0.0,0.295884,0.0
AAAS,29.073744,25.1959,40.118069
AACS,73.055435,47.447834,53.124115
AADAC,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0
AADAT,13.818346,9.392899,16.46907
AAGAB,58.278496,48.661957,77.764328
AAK1,88.710609,49.348713,87.385582
AAMDC,24.090933,39.44471,45.974831
AAMP,148.319473,127.112328,159.435883
AANAT,0.159886,0.0,0.0
AAR2,15.13483,12.322628,18.833113
AARD,0.751837,0.529278,1.004776
AARS1,239.155701,226.11113,218.879257
AARS2,13.033926,11.658071,6.078733
AARSD1,53.912163,33.487175,48.203766
AASDH,8.15169,6.910713,6.122129
AASDHPPT,116.89875,97.671616,94.818855
AASS,2.030561,2.627456,7.045651
AATF,13.022815,13.72852,16.517967
AATK,102.813721,59.716904,127.00518
ABAT,196.192245,186.354782,152.114349
ABCA1,3.342038,3.631163,3.469996
ABCA10,1.107854,1.049679,3.349325
ABCA12,0.0,0.0,0.248558
ABCA13,0.0,0.125838,0.067545
ABCA2,126.903992,91.29438,114.151672
ABCA3,75.31797,46.109444,122.604126
ABCA4,0.42849,0.340851,0.140946
ABCA5,13.467422,14.115422,16.824783
ABCA6,0.588593,0.744461,1.021928
ABCA7,3.878916,5.359378,8.961992
ABCA8,6.490978,10.483297,4.239168
ABCA9,4.781359,7.095167,4.649582
ABCB1,8.461489,14.403705,14.495951
ABCB10,4.610826,4.578924,9.646163
ABCB11,0.0,0.0,0.0
ABCB4,0.169869,0.293495,0.344181
ABCB5,0.0,0.027147,0.0
ABCB6,27.990921,24.109032,27.058672
ABCB7,10.989776,7.429525,9.419323
ABCB8,28.494078,21.27953,20.015461
ABCB9,31.203295,19.011194,30.406776
ABCC1,4.945278,3.913776,6.908947
ABCC10,7.108884,6.553377,9.09835
ABCC11,0.0,0.487787,0.325956
ABCC12,1.198761,0.482465,0.501743
ABCC2,0.0,0.0,0.779553
ABCC3,1.123268,2.030002,2.720129
ABCC4,2.092171,3.325211,4.764009
ABCC5,47.941914,36.685253,62.36512
ABCC8,16.703037,11.006111,27.882439
ABCC9,0.688695,0.849664,0.623548
ABCD1,2.391889,3.371912,5.546374
ABCD2,7.33267,7.869949,4.655737
ABCD3,20.497431,25.913597,24.111425
ABCD4,11.515072,10.43259,16.761816
ABCE1,36.953434,31.74585,36.460701
ABCF1,59.816826,51.995586,65.100372
ABCF2,48.569019,33.17358,40.740429
ABCF3,81.594521,65.357849,67.615768
ABCG1,15.934159,12.376106,21.191271
ABCG2,15.028666,20.765938,8.106213
ABCG4,20.732475,11.998414,14.061481
ABCG5,0.551701,0.365775,0.610719
ABCG8,0.334287,0.663507,1.474701
ABHD1,3.058784,1.462158,1.976796
ABHD10,32.991009,36.374229,36.140156
ABHD11,22.357155,18.122015,27.041348
ABHD11-AS1,0.0,0.0,0.0
ABHD12,222.406265,199.832199,228.660385
ABHD12B,3.667409,2.84985,2.836204
ABHD13,11.027281,12.200581,6.617055
ABHD14A,149.105484,129.939423,124.530853
ABHD14B,3.024572,3.867386,5.786
ABHD15,4.087612,4.864864,3.668821
ABHD16A,72.025261,62.928391,49.964916
ABHD16B,0.896603,0.67882,3.944675
ABHD17A,232.357361,247.270248,166.944534
ABHD17B,10.791094,7.471262,20.007301
ABHD17C,25.03758,26.187212,21.657238
ABHD18,5.571161,4.524449,9.938544
ABHD2,50.749943,37.22966,41.574776
ABHD3,10.07362,8.682447,9.064846
ABHD4,13.423129,17.475981,11.253561
ABHD5,9.515546,11.227879,8.352275
ABHD6,28.749754,29.946503,17.309013
ABHD8,243.564743,204.949463,184.67186
ABI1,68.933655,68.446602,60.687153
ABI2,149.663223,135.897202,116.030136
ABI3,14.837993,5.506596,12.400266
ABI3BP,3.209637,5.136931,3.991786
ABITRAM,12.649339,15.02098,15.649767
ABL1,21.755966,21.772343,20.536118
ABL2,10.550817,7.925292,8.767838
ABLIM1,60.260357,53.349949,56.600769
ABLIM2,116.434875,82.842361,96.264259
ABLIM3,33.583004,30.328142,40.12289
ABO,2.610779,3.828372,4.86563
ABR,433.4375,310.867859,273.474091
ABRA,0.269846,0.223604,0.0
ABRACL,22.371061,26.357296,37.750446
ABRAXAS1,4.419086,5.594889,8.771532
ABRAXAS2,20.738878,17.857946,23.63241
ABT1,12.096061,13.248246,15.698905
ABTB1,148.054779,99.446686,101.881691
ABTB2,5.595022,5.703265,5.413376
ABTB3,21.099251,12.468424,10.779912
ACAA1,67.071274,59.157314,111.031555
ACAA2,41.662304,51.697319,27.82375
ACACA,31.986637,23.86628,16.540386
ACACB,4.403561,3.580448,3.473205
ACAD10,5.244221,6.062999,7.536922
ACAD11,14.281639,13.755899,14.076185
ACAD8,12.097034,13.180136,24.287914
ACAD9,31.920704,23.157881,36.084675
ACADL,1.385066,3.526577,1.63478
ACADM,21.761963,37.002148,24.371965
ACADS,21.736929,23.236094,18.171694
ACADSB,20.503927,17.106525,18.178068
ACADVL,107.213646,106.480042,54.900082
ACAN,0.524,0.812729,0.629299
ACAP1,2.910593,4.534773,5.902293
ACAP2,10.835799,9.989583,9.26415
ACAP3,128.183075,102.102264,91.303253
ACAT1,64.310318,73.109779,80.994965
ACAT2,100.663124,89.591782,81.350891
ACBD3,26.10298,27.525465,22.515242
ACBD4,21.922977,21.610453,30.954432
ACBD5,39.011463,37.711712,33.954597
ACBD6,49.821762,39.75679,48.780056
ACBD7,14.740022,22.916883,8.907301
ACCS,2.153622,2.322308,5.646088
ACCSL,0.0,0.0,0.0
ACD,32.904549,26.010628,25.018557
ACE,5.928905,2.848786,7.133122
