GeneID,SRR8750495,SRR8750496,SRR8750497,SRR8750498
A1BG,4.062622,5.947993,5.280254,6.068581
A1BG-AS1,3.766635,7.656023,1.921753,1.516391
A1CF,0.056594,0.12026,0.0,0.052147
A2M,74.954605,64.779602,172.242828,33.122707
A2M-AS1,2.123846,2.354994,2.277267,1.385429
A2ML1,2.369052,2.779358,4.600798,1.054109
A2ML1-AS1,1.294392,1.360446,2.218571,1.489479
A2MP1,0.118475,0.653559,0.220331,0.163234
A3GALT2,0.0,0.0,0.0,0.0
A4GALT,5.465104,6.289925,21.127096,7.464634
A4GNT,0.0,0.0,0.0,0.0
AA06,0.376901,0.0,0.0,0.0
AAAS,41.277473,33.596058,43.218975,27.91567
AACS,68.007881,62.821213,20.049797,59.794498
AACSP1,0.794037,0.21895,0.071027,0.473786
AADAC,0.0,0.14758,0.46431,0.0
AADACL2,0.0,0.102159,0.055468,0.0
AADACL2-AS1,0.0,0.537689,0.390695,0.0
AADACL3,0.0,0.0,0.0,0.0
AADACL4,0.120317,0.300771,0.0,0.0
AADACP1,0.167134,0.174295,0.435582,0.0
AADAT,11.693964,7.568338,5.881528,11.461627
AAGAB,45.644203,37.637104,20.10903,41.826275
AAK1,35.347267,27.915506,20.772623,30.144232
AAMDC,18.804588,12.787045,28.962521,21.368286
AAMP,156.897552,149.382019,113.239235,151.562653
AANAT,1.01185,0.239109,3.682886,0.956577
AAR2,18.630518,14.05573,20.770964,17.712727
AARD,1.097542,2.22266,0.830641,1.512988
AARS1,271.597717,197.034607,135.9711,252.653
AARS2,19.75547,15.034042,10.710527,12.917559
AARSD1,75.579185,54.450188,30.159412,42.464329
AASDH,10.371043,8.048788,17.296064,8.783239
AASDHPPT,99.588882,79.12014,46.862911,98.930199
AASS,10.192386,7.466687,13.805914,9.355317
AATBC,0.73271,0.143014,0.67154,0.287781
AATF,36.083832,29.384071,47.7756,29.129185
AATK,88.545105,87.418449,51.865009,96.132935
ABAT,178.362869,124.839645,172.015991,167.099762
ABCA1,4.549776,2.834598,14.657615,3.88715
ABCA10,1.769518,0.933976,1.329504,1.621424
ABCA11P,10.194738,6.580892,1.395225,8.829963
ABCA12,0.113218,0.214082,0.054921,0.0
ABCA13,0.036474,0.166317,0.132163,0.041241
ABCA15P,0.0,0.0,0.0,0.0
ABCA17P,2.336591,1.540705,2.483995,2.054008
ABCA2,150.133682,106.861092,93.461113,139.523087
ABCA3,93.189232,71.256645,46.650913,74.777725
ABCA4,0.572421,0.570097,1.116016,0.227098
ABCA5,14.644152,8.744058,5.701989,9.830955
ABCA6,0.809809,1.029687,0.951091,0.534722
ABCA7,10.512857,7.994085,10.721837,7.557795
ABCA8,10.333832,3.803477,10.698828,5.129908
ABCA9,6.971436,2.687973,5.337565,3.226162
ABCA9-AS1,0.175384,0.0,0.245425,0.283951
ABCB1,9.538353,7.190138,14.329157,5.034633
ABCB10,10.018181,5.72666,8.137504,8.235198
ABCB11,0.132943,0.128922,0.130863,0.024769
ABCB4,0.539501,0.401514,1.416218,0.426349
ABCB5,0.0,0.0,0.0,0.0
ABCB6,35.723614,31.428078,31.884062,29.567427
ABCB7,6.297822,6.731966,10.984207,5.567662
ABCB8,27.49917,21.73554,14.56447,25.1255
ABCB9,26.791649,31.923159,13.487108,28.279263
ABCC1,7.868183,5.065671,4.031067,4.23536
ABCC10,16.493698,10.523166,12.060915,9.114688
ABCC11,0.648851,0.410452,0.469442,0.255701
ABCC12,3.976311,5.703181,0.599648,4.30612
ABCC13,0.147423,0.112192,0.0,0.0
ABCC2,0.093296,0.515622,0.288033,0.14168
ABCC3,0.902869,0.819287,0.829665,0.250708
ABCC4,3.230224,1.900261,6.853476,1.463421
ABCC5,66.845589,38.548496,38.723553,47.667332
ABCC5-AS1,0.0,0.0,0.0,0.0
ABCC6,2.403504,1.222515,1.947935,0.983872
ABCC6P1,1.055635,1.676598,0.640503,0.729116
ABCC6P2,1.266749,1.282525,1.840663,0.554929
ABCC8,26.722441,21.43239,9.535794,23.944265
ABCC9,4.673116,2.366518,5.898911,1.697692
ABCD1,2.953956,3.513107,10.17363,4.231417
ABCD2,7.593203,4.634007,4.372183,7.334026
ABCD3,25.2694,19.037575,36.105362,24.332489
ABCD4,21.596582,16.488888,28.182487,14.150887
ABCE1,27.552843,22.692234,17.411285,25.279848
ABCF1,56.906757,54.005974,62.07431,53.782993
ABCF2,42.985714,33.461914,26.409676,36.663326
ABCF2-H2BK1,0.0,0.807812,1.605579,0.051185
ABCF3,80.570976,71.60553,33.141705,64.530327
ABCG1,12.258001,8.466342,10.979484,10.695571
ABCG2,13.119223,6.798985,17.771595,6.158353
ABCG4,21.248177,19.229198,6.577601,15.193537
ABCG5,2.101247,1.42382,0.965584,1.10165
ABCG8,0.866288,0.617051,0.307939,0.95406
ABHD1,2.346617,1.539701,5.466881,1.767948
ABHD10,45.228859,37.444492,24.641043,34.98806
ABHD11,20.941553,27.867201,17.245298,24.232891
ABHD12,177.048157,229.01384,118.998962,222.93689
ABHD12B,8.864343,11.094151,1.843441,8.631874
ABHD13,8.835865,8.228995,7.820252,7.967463
ABHD14A,133.798325,186.711288,73.17424,161.420807
ABHD14A-ACY1,0.0,0.0,0.0,0.0
ABHD14B,14.926451,21.197737,36.625275,15.125334
ABHD15,4.71071,3.934494,11.455857,4.307524
ABHD16A,76.524117,75.150146,52.266979,72.007118
ABHD16B,0.0,0.0,0.0,0.0
ABHD16B-AS1,2.793182,1.968397,5.241437,5.069798
ABHD17A,65.490067,338.375671,180.552155,195.238922
ABHD17B,21.63262,14.656884,17.700918,22.620533
ABHD17C,21.849277,17.575689,28.047537,21.184866
ABHD18,7.062117,4.802269,6.401289,5.017244
ABHD2,48.540287,33.030846,42.406132,43.597092
ABHD3,10.75424,13.12598,27.010916,7.836153
ABHD4,14.346931,11.363063,46.177528,15.159663
ABHD5,7.671758,7.123912,16.147224,7.443031
ABHD6,43.075813,32.10305,38.609146,38.504673
ABHD8,150.451141,300.051941,231.508377,272.526855
ABI1,64.037125,53.796833,61.541466,68.448288
ABI2,114.718781,84.466621,70.012115,109.40435
ABI3,4.999214,3.128333,13.17932,5.063343
ABI3BP,2.939228,3.640692,8.019085,1.679061
ABITRAM,30.80661,20.401958,22.784538,20.414696
ABL1,26.153036,21.792103,54.507961,20.997381
ABL2,8.919946,9.744201,8.139094,7.290082
ABLIM1,67.865013,43.590137,90.078026,65.570038
ABLIM2,97.208237,88.277626,31.948256,75.452461
ABLIM3,26.414211,18.316114,20.775419,24.564255
ABO,0.401168,0.070752,1.530093,0.83902
ABR,337.698547,297.89563,247.180481,339.979889
ABR-AS1,3.464567,1.335497,0.288008,2.742498
ABRA,0.0,0.501047,0.0,0.542018
ABRACL,44.673119,41.897339,18.555929,12.898178
ABRAXAS1,3.290672,2.54404,4.367997,1.874067
ABRAXAS2,20.780212,16.561167,14.20762,18.861694
ABT1,14.609558,14.965788,13.427427,15.779945
ABTB1,128.607422,164.488708,90.236336,124.739868
ABTB2,4.722591,4.651345,10.613834,7.168375
ABTB3,14.023087,7.629914,2.224443,12.370727
ACAA1,91.854927,93.771378,99.342506,105.235405
ACAA2,24.510992,26.453081,59.64743,35.930397
ACACA,31.651587,21.763844,14.923017,24.802956
ACACB,10.000752,7.674267,19.227333,10.849115
ACAD10,12.023174,8.370864,8.433363,9.081284
ACAD11,7.023509,10.114323,26.131927,9.923306
ACAD8,50.750389,35.993305,27.301846,45.232964
ACAD9,43.258896,33.040112,18.786587,38.058567
ACAD9-DT,1.272444,0.0,0.898449,0.506182
ACADL,3.530342,1.711746,5.483149,3.131568
ACADM,57.451134,41.705185,48.162838,48.962669
ACADS,16.313032,26.218298,26.744263,26.554102
ACADSB,22.574198,15.487744,6.907587,18.224449
ACADVL,191.885559,177.742706,343.332489,135.540741
ACAN,0.734294,0.843098,1.129836,0.669945
ACAP1,2.072497,3.307151,4.34383,2.07878
ACAP2,17.29847,11.078068,12.781391,11.326962
ACAP3,132.094299,150.110855,114.463684,183.749435
