GeneID,SRR7885663
LOC134729026,0.0
LOC129397705,0.155456
PGBD2,7.202527
LOC112438858,0.0
ZNF692,23.062063
ZNF672,21.870796
LOC100973282,0.0
LOC100972251,0.004014
LOC103784743,0.062832
LOC100991907,0.0
LOC100970998,54.240993
LOC100974640,0.0
LOC100974311,0.003004
LOC100974984,0.026533
SH3BP5L,15.237786
LOC100988794,0.085174
LOC129393148,0.0
LOC129392906,1.508443
LOC100992178,0.193217
LOC100979694,0.0
GCSAML,0.14332
LOC100980406,0.000792
NLRP3,0.06152
LOC100989812,0.210401
LOC117977749,0.001416
LOC100977334,0.0
LOC100976999,0.003617
LOC100976330,0.0
LOC100977675,0.0
LOC100990488,0.0
LOC106634333,0.0
LOC100976667,0.0
LOC100991478,0.034197
LOC103785525,0.013197
LOC100993580,4.715542
ZNF124,3.467459
LOC134731166,0.516294
ZNF496,33.849689
LOC129393335,0.258114
LINC02897,0.253586
LOC117977716,2.715759
ZNF669,12.029034
ZNF670,10.729332
LOC103785522,1.044905
LOC134731233,0.635883
SCCPDH,24.516579
AHCTF1,14.870738
LOC129394312,0.540168
LOC134731219,0.995282
LOC100987775,1.306708
CNST,20.921408
TFB2M,14.644513
SMYD3,61.630684
LOC112438313,0.0
KIF26B,12.888147
LOC134731265,0.021809
LOC134729015,0.081234
LOC112438752,0.0
EFCAB2,3.672729
LOC112438372,0.0
LOC112438269,0.0
LOC134731258,0.171321
C1H1orf202,0.001019
LOC117977669,0.035681
CATSPERE,0.563306
DESI2,24.768946
LOC117977667,0.147805
ADSS2,68.164154
HNRNPU,199.644501
LOC100992118,49.700829
LOC134729040,0.015277
ZBTB18,53.80563
LOC100995450,0.0
BECN2,0.023546
MAP1LC3C,44.996071
EXO1,5.219947
LOC117977605,0.748425
WDR64,0.037666
AKT3,110.901352
LOC134728533,0.016643
SDCCAG8,9.183358
LOC134728529,0.206791
CEP170,162.37558
OPN3,33.658127
CHML,5.778277
KMO,0.492339
LOC134728618,0.158578
RGS7,10.61514
PLD5,5.339148
LOC130541026,0.022669
FH,76.389893
LOC106634287,4.9187
LOC100989293,228.539566
CHRM3,4.938956
LOC130540776,0.0
GREM2,4.263501
FMN2,24.425842
LOC100975038,0.042971
ZP4,0.0
LOC100987964,7.278435
MT1HL1,0.003132
LOC100975373,165.920029
LOC100986607,0.894706
LOC117977550,0.151171
RYR2,0.918201
ACTN2,1.245508
HEATR1,14.500463
LGALS8,14.104464
MTR,8.681322
ERO1B,7.550332
GPR137B,44.518448
EDARADD,0.159716
NID1,19.310179
LYST,10.057775
GNG4,83.499435
B3GALNT2,21.708105
TBCE,27.258333
GGPS1,72.068398
ARID4B,37.469162
LOC130540873,0.031688
LOC100975372,0.237898
LOC117977513,0.140652
LOC134728739,0.0
RBM34,37.830231
TOMM20,137.79982
LOC112438467,0.0
LOC112439800,2.076458
LOC130540884,0.193089
IRF2BP2,88.454506
TARBP1,8.9825
PCNX2,12.164531
NTPCR,71.227455
SLC35F3,5.225874
LOC100973340,24.545086
LOC117977509,1.614829
LOC117977507,0.258417
MAP3K21,3.651548
KCNK1,4.790457
MAP10,0.400895
LOC112438719,0.0
SIPA1L2,54.422989
DISC1,1.337371
LOC112438254,0.0
TSNAX,48.228558
LOC130540932,0.391892
EGLN1,30.5863
SPRTN,12.464753
EXOC8,13.210232
TRIM67,5.415915
GNPAT,57.953793
C1H1orf131,20.456173
FAM89A,12.289712
LOC100993046,1.231109
ARV1,30.995058
TTC13,45.793217
COG2,30.133718
LOC134729069,1.904167
C1H1orf198,108.271904
LOC103787092,0.44021
CAPN9,0.346101
AGT,190.525436
PGBD5,36.833546
ABCB10,7.515575
LOC112438236,0.0
URB2,4.574416
TAF5L,16.096958
GALNT2,121.303886
LOC130541001,0.0
NUP133,48.475979
ACTA1,3.894826
LOC134729074,0.0
CCSAP,34.273197
RAB4A,72.760208
LOC134729956,0.090383
LOC134729962,0.277604
LOC134729975,0.146871
LOC129395177,0.146871
LOC134730000,0.046805
LOC134730026,0.129118
LOC134730038,0.146871
LOC134730043,0.275989
LOC134730047,0.145257
LOC134730049,0.146871
LOC134730057,0.122662
LOC134730061,0.146871
LOC134730060,0.090383
LOC134730074,0.193677
LOC134730079,0.146871
LOC134730080,0.146871
LOC134730096,0.146871
LOC134730100,0.146871
RHOU,65.736549
LOC129394803,0.214087
LOC129395077,0.146871
LOC134729959,0.085541
LOC134730041,0.146872
LOC134730063,0.0
LOC134730099,0.0
LOC129395115,0.146871
LOC129395124,0.0
LOC129395123,0.0
LOC129395127,0.146869
LOC129395129,0.146871
LOC129395130,0.0
LOC129395135,0.0
LOC134730102,0.146871
LOC129395058,0.164626
LOC129395085,0.145257
LOC129395089,0.035508
LOC129395048,0.439001
LOC134730028,0.046805
LOC129395073,0.079085
LOC129395117,0.146871
LOC129395119,0.146871
LOC129395044,0.146871
LOC129395136,0.193677
LOC129395098,0.122662
LOC129395122,0.129118
LOC117978670,0.146871
LOC129395102,0.046805
LOC129395104,0.230798
LOC117978445,0.146871
LOC117977966,0.292129
LOC134729934,0.125889
LOC134729935,0.130731
LOC134729939,0.130731
LOC129395090,0.146871
LOC129395111,0.046805
LOC134729941,0.146871
LOC134729943,0.201746
LOC134729942,0.122662
LOC134729944,0.237254
LOC134729948,0.046805
LOC129395152,0.079085
LOC129395189,0.046805
LOC129395285,0.129118
LOC129395375,0.145257
LOC129395242,0.129118
LOC129395264,0.182379
LOC129395116,0.146871
LOC129395300,0.146871
LOC129395304,0.146871
LOC129395311,0.046805
LOC129395316,0.146871
LOC134729965,0.145257
LOC129395344,0.269533
LOC134729964,0.146871
LOC129395112,0.146871
LOC129395334,0.035508
LOC134729968,0.035508
LOC134729973,0.146871
LOC134729977,0.146871
LOC134729981,0.145257
LOC134729983,0.035508
LOC134729992,0.146871
LOC134729986,0.130731
LOC134730001,0.145257
LOC134730002,0.090383
LOC134729993,0.146871
LOC134730004,0.146871
LOC134730006,0.085541
LOC134730012,0.130731
LOC134730013,0.146871
LOC134730016,0.085541
LOC134730031,0.145257
LOC134730029,0.146871
LOC134730017,0.090383
LOC117977400,0.0
LOC117977399,0.402385
H3-4,0.264805
TRIM17,0.570468
