GeneID,SRR7885659
LOC134806929,2.423009
LOC112207492,1.995433
LOC744661,2.256189
LOC112207044,0.0
LOC134807914,0.0
ZNF692,2.271373
ZNF672,19.439425
SH3BP5L,25.587822
LOC134807922,0.0
LOC741803,0.0
LOC740716,48.0569
LOC469775,0.0
NLRP3,0.0
LOC107970839,0.0
LOC107970835,0.341326
TRIM58,0.282619
OR2W3,0.0
LOC129138287,0.0
LOC134807931,0.0
OR2L13,1.522047
LOC739832,0.001612
LOC134809814,0.0
LOC469761,0.0
LOC107970862,0.0
LOC469759,0.0
LOC469758,0.099816
LOC104004835,0.0
LOC100608066,0.0
LOC469756,0.0
LOC469755,0.054331
LOC100615576,0.0
LOC101056983,4.898395
ZNF496,31.775869
ZNF124,11.220728
ZNF670,11.665403
ZNF695,3.380175
LOC101059730,0.699618
LOC134809855,0.409662
SCCPDH,81.841232
LOC104004823,0.031407
AHCTF1,15.183649
SMYD3,25.586823
LOC112207001,0.0
LOC107970782,0.0
LOC107970781,0.0
LOC134809846,0.907694
ZNF669,16.726772
LOC129138253,0.0
KIF26B,7.394315
LOC107970780,0.0
LOC104004819,316.417114
CNST,14.567327
TFB2M,10.741367
EFCAB2,7.415527
LOC112207073,0.0
LOC112206969,0.0
DESI2,43.359665
LOC129138230,0.555834
HNRNPU,264.898987
LOC134809868,9.833992
COX20,148.93689
CATSPERE,0.37887
ADSS2,37.994678
AKT3,82.65287
LOC134809889,0.029644
SDCCAG8,7.540822
MIR4677,0.0
rna-NR_162088.1,0.0
CEP170,83.962906
LOC134809890,0.0
LOC134806928,0.619909
ZBTB18,87.973381
MAP1LC3C,4.522954
PLD5,1.680372
LOC107970744,0.0
EXO1,16.25371
LOC134807951,1.267242
WDR64,0.0
OPN3,31.387798
CHML,6.772501
KMO,0.0
LOC100613624,0.0
GREM2,3.106693
LOC107974298,0.0
LOC112206954,0.0
RGS7,4.408658
LOC134807952,0.0
CHRM3,2.224617
LOC134807953,0.464881
LOC107970713,0.0
FMN2,38.918777
