GeneID,SRR7885667,SRR7885671
A1BG,13.64508,21.04785
A1CF,0.0,0.0
A2M,81.907219,14.336577
A2ML1,0.225321,0.289282
A3GALT2,1.07737,0.646724
A4GALT,0.176199,0.0
A4GNT,0.0,0.0
AAAS,40.900726,40.489952
AACS,20.117104,14.995642
AADAC,0.0,0.0
AADACL2,0.0,0.0
AADACL3,0.0,0.0
AADACL4,0.0,0.0
AADAT,36.697296,33.982216
AAGAB,53.500038,27.231995
AAK1,17.33783,23.256317
AAMDC,41.241627,27.919355
AAMP,85.58268,108.559509
AANAT,0.460402,0.0
AAR2,35.543285,43.891529
AARD,0.330457,0.129023
AARS1,116.565788,119.867744
AARS2,10.912168,13.214484
AARSD1,64.367615,80.654808
AASDH,12.528621,14.234237
AASDHPPT,168.199783,143.090546
AASS,24.791578,19.946411
AATF,13.931126,16.014971
AATK,5.777253,1.441638
ABAT,149.412537,122.996002
ABCA1,14.853447,30.016972
ABCA10,0.16982,0.0
ABCA12,0.169845,0.061729
ABCA13,0.242103,0.067142
ABCA2,43.329067,33.824757
ABCA3,32.366165,34.468296
ABCA4,0.338459,0.199085
ABCA5,3.015592,0.666927
ABCA6,0.414848,0.085503
ABCA7,9.779793,7.233577
ABCA8,61.596058,11.497922
ABCA9,2.432236,0.21411
ABCB1,0.476616,5.037116
ABCB10,12.396202,11.596913
ABCB11,0.0,0.034146
ABCB4,1.261323,0.326566
ABCB5,0.342918,0.038106
ABCB6,25.682686,35.79467
ABCB7,12.953632,16.968616
ABCB8,23.715435,21.469942
ABCB9,7.470362,6.400685
ABCC10,15.355319,10.466952
ABCC11,0.028597,0.0
ABCC12,0.146377,0.830023
ABCC13,0.0,0.0
ABCC2,0.471629,0.272594
ABCC3,0.0,0.210807
ABCC4,12.028156,2.228418
ABCC5,24.450481,38.898422
ABCC6,0.699092,0.426344
ABCC8,2.740677,3.47392
ABCC9,1.472508,0.344971
ABCD1,5.800686,5.931855
ABCD2,5.873935,14.252702
ABCD3,62.713261,76.069771
ABCD4,28.069975,33.610207
ABCE1,61.008827,74.864876
ABCF1,56.235992,51.776463
ABCF2,31.912476,36.941883
ABCF3,39.167656,49.071892
ABCG1,13.931611,10.387484
ABCG2,0.0,0.061479
ABCG4,3.281197,0.435951
ABCG5,0.0,0.260155
ABCG8,0.0,0.0
ABHD1,0.350789,0.350962
ABHD10,39.232872,52.13979
ABHD11,18.447559,21.136181
ABHD12,50.130402,50.581863
ABHD12B,0.191845,0.0
ABHD13,17.704742,18.302589
ABHD14A,34.238464,21.46718
ABHD14B,5.234853,2.108845
ABHD15,7.165272,4.35153
ABHD16A,53.094208,62.592304
ABHD16B,1.159544,1.360615
ABHD17A,30.18597,40.697174
ABHD17B,49.289589,65.678474
ABHD17C,50.550472,27.742706
ABHD18,6.519687,5.340576
ABHD2,40.461575,43.580891
ABHD3,6.172815,6.203821
ABHD4,45.747234,65.693596
ABHD5,15.250934,17.02453
ABHD6,47.622318,35.512676
ABHD8,36.177944,21.924744
ABI1,42.015591,62.361973
ABI2,136.985916,140.807495
ABI3,0.0,0.0
ABI3BP,1.967005,1.028098
ABITRAM,41.406136,34.502869
ABL1,83.883919,104.34362
ABL2,10.511479,13.10609
ABLIM1,39.075653,13.191865
ABLIM2,1.963938,1.414658
ABLIM3,23.275059,0.540238
ABO,0.616997,0.0
ABR,167.150574,193.963531
ABRA,0.169597,0.075414
ABRACL,74.133659,75.659958
ABRAXAS1,17.921541,11.541638
ABRAXAS2,25.863817,26.850164
ABT1,24.485849,32.209141
ABTB1,7.885909,14.482099
ABTB2,7.748638,7.332187
ABTB3,5.459906,2.221591
ACAA1,52.059849,44.051231
ACAA2,75.93811,74.254944
ACACA,24.945404,20.247042
ACACB,6.699038,3.037683
ACAD10,9.445514,7.17317
ACAD11,23.303848,22.391556
ACAD8,27.071413,32.698544
ACAD9,20.771631,26.230827
ACADL,0.777883,0.433916
ACADM,41.433338,48.122128
ACADS,13.157942,12.886171
ACADSB,19.965101,14.131896
ACADVL,170.161667,79.854584
ACAN,0.071536,0.0
ACAP1,1.898713,0.706717
ACAP2,17.912298,24.690413
ACAP3,59.889534,59.73418
ACAT1,83.847656,78.022911
ACAT2,189.0961,145.788177
ACBD3,31.26087,24.838076
ACBD4,8.268723,2.127318
ACBD5,45.904316,46.228043
ACBD6,33.273102,27.533756
ACBD7,7.996353,5.045603
ACCS,0.0,0.0
ACCSL,0.0,0.0
ACD,23.786196,28.156561
ACE2,0.0,0.0
ACER1,0.0,0.0
ACER2,3.489137,4.049252
ACER3,14.483724,12.470011
