GeneID,SRR7885633,SRR7885642,SRR7885643
A1BG,9.590678,6.821091,7.404856
A1BG-AS1,3.355985,3.206537,3.366528
A1CF,0.093259,0.030522,0.03651
A2M,64.611496,12.817215,14.046969
A2M-AS1,0.779388,0.094611,0.228855
A2ML1,0.0,0.0,0.0
A2ML1-AS1,0.0,0.0,0.0
A2MP1,0.083631,0.299908,0.288303
A3GALT2,2.139745,0.460078,0.743945
A4GALT,5.057096,0.165905,0.204695
A4GNT,0.0,0.0,0.109878
AA06,0.0,0.0,0.0
AAAS,76.664024,91.25563,87.654175
AACS,29.945889,31.434919,27.1863
AACSP1,0.404705,0.298666,0.400979
AADAC,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0
AADAT,12.088815,41.098469,43.446289
AAGAB,39.440895,47.288391,49.944084
AAK1,7.693104,17.859373,17.539972
AAMDC,24.608793,27.883631,18.188988
AAMP,119.569221,131.429337,135.6772
AANAT,0.09133,0.085765,0.143626
AAR2,65.304573,54.653412,53.249851
AARD,0.358639,0.473374,0.332193
AARS1,62.113804,115.256805,116.850777
AARS2,13.993325,18.181707,16.715576
AARSD1,55.630093,67.156143,70.184517
AASDH,8.344952,11.956223,12.020779
AASDHPPT,60.289047,117.236977,119.070145
AASS,25.253054,40.609646,42.752823
AATBC,4.225729,0.786829,0.618408
AATF,26.895395,46.783352,45.62215
AATK,5.420882,13.907804,14.442429
ABAT,73.866882,241.165115,245.224915
ABCA1,12.759737,23.679926,25.427771
ABCA10,0.146599,0.432397,0.444456
ABCA11P,7.207302,12.836758,13.144979
ABCA12,0.0,0.491596,0.514549
ABCA13,0.11266,0.450242,0.44962
ABCA15P,0.062676,0.0,0.0
ABCA17P,0.190565,0.290096,0.222376
ABCA2,45.207291,64.710205,64.608559
ABCA3,37.362,57.526943,56.443459
ABCA4,3.942444,0.0,0.113112
ABCA5,1.187128,4.243473,3.877172
ABCA6,0.038206,0.146534,0.127986
ABCA7,22.82563,34.926533,32.9277
ABCA8,6.196462,34.560673,35.416824
ABCA9,0.0,0.444858,0.274551
ABCA9-AS1,0.0,0.0,0.0
ABCB1,0.491498,0.854497,0.808596
ABCB10,6.410837,10.244984,11.831128
ABCB11,0.0,0.620052,0.470949
ABCB4,0.632024,0.936335,1.028495
ABCB5,0.0,0.0,0.0
ABCB6,34.501415,29.048115,29.151123
ABCB7,14.70259,10.436827,10.369611
ABCB8,11.648212,25.891481,26.389446
ABCB9,9.573839,12.672524,11.971493
ABCC1,16.908169,19.042534,18.251112
ABCC10,11.164382,26.856678,26.308506
ABCC11,0.0,0.185064,0.0
ABCC12,0.055603,0.0,0.069805
ABCC13,0.0,0.0,0.0
ABCC2,3.707907,0.460238,0.425632
ABCC3,0.723037,0.0,0.0
ABCC4,9.226131,3.754483,3.878102
ABCC5,32.90461,68.501633,65.566933
ABCC5-AS1,0.0,0.0,0.0
ABCC6,0.557153,2.754422,2.305593
ABCC6P1,0.084851,1.275432,1.450592
ABCC6P2,0.409079,1.829383,1.777642
ABCC8,4.309632,8.115384,8.041101
ABCC9,4.84825,2.447929,2.552076
ABCD1,10.487271,7.892336,6.273305
