organism_name_asm_name	species_taxid	group	genome_size	gc_percent	Genomic_density	robust_z_score	robust_z_score_normalized	filter_category	bin
Halalkalicoccus_sp_CGA53_ASM3642947v1	3117733	Archaea	4035917	65.5	114.47212616116734	-10.419098801361669	0.3720985957269287	Archaea	
Halapricum_desulfuricans_ASM1709450v1	2841257	Archaea	2940338	64.5	53.05512495502218	-10.698329817217784	0.367765288072471	Archaea	
Halapricum_salinum_ASM479966v1	1457250	Archaea	3452056	63.5	53.0118862498175	-9.021676793552384	0.3937847951069718	Archaea	
Haloarcula_halophila_ASM2927856v1	3032584	Archaea	4041616	64.0	68.90808033222355	-9.3541059009088	0.3886259212223658	Archaea	
Haloarcula_marina_ASM2421877v1	2961574	Archaea	3739652	65.0	72.1992313723309	-10.927253142370876	0.364212691330564	Archaea	
Haloarcula_ordinaria_ASM2933827v1	3033390	Archaea	3525489	64.5	65.94829823607448	-10.28744492980466	0.3741416951570112	Archaea	
Haloarcula_pelagica_ASM3012710v1	3033389	Archaea	4458205	65.0	80.0770713773817	-10.676198929303345	0.3681087311019122	Archaea	
Haloarcula_rara_ASM2933823v1	3033387	Archaea	3282213	65.5	98.56154978363683	-10.92614351630018	0.3642299113056839	Archaea	
Haloarcula_sp_GH36_ASM3566629v1	3111776	Archaea	3749431	64.0	70.67739078276145	-9.297720777476902	0.3895009461053139	Archaea	
Haloarcula_sp_JP_L23_ASM1160244v1	2716717	Archaea	4930832	63.5	52.93224348345269	-9.024214889107936	0.3937454071154018	Archaea	
Halobacterium_noricense_ASM2123343v1	223182	Archaea	3316796	65.0	46.12885447281051	-11.758074532765828	0.351319407683518	Archaea	
Halobellus_inordinatus_ASM2449833v1	1126236	Archaea	2853958	64.0	32.586323975335304	-10.511622411755807	0.3706627478218894	Archaea	
Halobellus_sp_DFY28_ASM3211341v1	3075123	Archaea	4157617	63.5	49.186829859508464	-9.143575235767411	0.3918930874429885	Archaea	
Halobiforma_lacisalsi_AJ5_ASM22697v3	229731	Archaea	4381543	65.5	81.70637604149954	-11.46329106495392	0.3558940694687087	Archaea	
Halococcoides_cellulosivorans_ASM305836v1	1679096	Archaea	2723120	65.5	95.66232850553776	-11.018537071724491	0.3627960816871681	Archaea	
Halococcus_qingdaonensis_ASM2450823v1	224402	Archaea	2703393	65.0	46.978001348675534	-11.73101357038735	0.351739359152921	Archaea	
Haloplanus_sp_CK5_1_ASM3720191v1	2949994	Archaea	3243851	65.0	82.61785143645623	-10.595228317628347	0.3693652912669126	Archaea	
Haloplanus_sp_HW8_1_ASM2370379v1	2949995	Archaea	3839886	65.5	85.28899035023436	-11.349118863120076	0.357665875779752	Archaea	
Haloprofundus_halobius_ASM2009783v1	2876194	Archaea	3947132	64.0	37.74892757576894	-10.347098445211769	0.3732159490176133	Archaea	
Haloprofundus_salilacus_ASM2015081v1	2876190	Archaea	3727714	64.0	28.70391880922196	-10.635348475256016	0.3687426778168523	Archaea	
Haloprofundus_salinisoli_ASM2009781v1	2876193	Archaea	3421753	64.5	34.192999903850456	-11.299435697593175	0.3584368948616234	Archaea	
Halorientalis_litorea_ASM2302822v1	2931977	Archaea	3214077	65.5	78.56065676086789	-11.563540119019068	0.3543383325746507	Archaea	
Halorientalis_marina_ASM2302834v1	2931976	Archaea	4754137	65.5	85.92516370479017	-11.328845011030667	0.3579804999921628	Archaea	
Halorientalis_sp_IM1011_ASM198961v1	1932360	Archaea	3778989	65.5	95.52819550414144	-11.022811676789004	0.3627297452925916	Archaea	
Halorubrum_lacusprofundi_ATCC_49239_ASM2220v1	2247	Archaea	3692576	64.0	68.92207499588363	-9.353659902549872	0.3886328425455458	Archaea	
Halorussus_aquaticus_ASM2421879v1	2953748	Archaea	4739434	64.5	63.72068901054429	-10.358435280524803	0.3730400158567191	Archaea	
Halorussus_caseinilyticus_ASM2933839v1	3034025	Archaea	4392332	64.5	75.01709797893237	-9.998436718484443	0.3786267323598998	Archaea	
Halorussus_limi_ASM2323820v1	2938695	Archaea	4624940	65.0	68.21710119482631	-11.054157282780256	0.362243301643203	Archaea	
Halorussus_pelagicus_ASM408783v1	2505977	Archaea	3490924	64.0	51.41905123113536	-9.911453398815622	0.3799766020503258	Archaea	
Halorussus_salilacus_ASM2413812v1	2953750	Archaea	3596520	66.5	132.62820726702478	-11.51852440041238	0.355036918859599	Archaea	
Halosolutus_gelatinilyticus_ASM2302810v1	2931975	Archaea	4757880	65.0	46.869614197920086	-11.73446769143979	0.3516857556191228	Archaea	
Halosolutus_halophilus_ASM2286980v1	1552990	Archaea	5058678	64.0	54.75738918349813	-9.80506588402179	0.3816275999911577	Archaea	
Halospeciosus_flavus_ASM2981417v1	3032283	Archaea	3557264	65.0	68.3109265997688	-11.051167197605224	0.3622897039346416	Archaea	
Haloterrigena_alkaliphila_ASM1735215v2	2816475	Archaea	4270687	65.0	53.15304071686827	-11.534224881119664	0.3547932675122767	Archaea	
Haloterrigena_salifodinae_ASM1690602v1	2675099	Archaea	5087240	64.0	39.51061872449501	-10.290956159042825	0.3740872053773295	Archaea	
Haloterrigena_sp_KLK7_ASM3791494v1	3132747	Archaea	4641606	65.0	46.32017452579991	-11.751977437229703	0.3514140267954947	Archaea	
Haloterrigena_turkmenica_DSM_5511_ASM2532v1	62320	Archaea	5440782	64.5	39.97587111558596	-11.11514480971324	0.3612968533538722	Archaea	
Halovivax_cerinus_ASM2449819v1	1487865	Archaea	3902757	65.0	60.59818738394422	-11.29695993664213	0.3584753154999858	Archaea	
Halovivax_gelatinilyticus_ASM2430062v1	2961597	Archaea	3700630	63.0	37.020723498431344	-8.692274196960446	0.3988967014216543	Archaea	
Halovivax_ruber_XH_70_ASM32852v1	387341	Archaea	3223876	64.5	51.64590697657106	-10.743239350291644	0.3670683496509621	Archaea	
Natrarchaeobaculum_aegyptiacum_ASM215670v1	745377	Archaea	3930546	64.0	53.17327414562761	-9.855549105911734	0.3808441650594519	Archaea	
Natrialbaceae_archaeon_AArc_T1_2_ASM3027331v1	3053904	Archaea	3358102	63.5	42.43468483089554	-9.35875534217893	0.3885537678500657	Archaea	
